,budget_assignment,num_positions,amount,budget_category,service_type,location_code,fiscal_year
117,23,1.0,"$ 75,820",Classroom Teacher,WHOLE CLASS,K770,2020
118,3,2.0,"$ 151,640",Classroom Teacher,ICT - Special Ed Teacher,K770,2020
119,3,2.0,"$ 151,640",Classroom Teacher,WHOLE CLASS,K770,2020
120,3,4.0,"$ 303,280",Classroom Teacher,Sub-Total,K770,2020
121,4,1.0,"$ 75,820",Classroom Teacher,ICT - Special Ed Teacher,K770,2020
122,4,1.0,"$ 75,820",Classroom Teacher,WHOLE CLASS,K770,2020
123,4,2.0,"$ 151,640",Classroom Teacher,Sub-Total,K770,2020
124,5,1.0,"$ 75,820",Classroom Teacher,WHOLE CLASS,K770,2020
125,DANCE ALL OTHER,1.0,"$ 84,094",Elementary Cluster/Quota,WHOLE CLASS,K770,2020
126,ESL,1.0,"$ 75,820",Elementary Cluster/Quota,SUBJECT SPECIFIC,K770,2020
127,MUSIC,1.0,"$ 83,993",Elementary Cluster/Quota,WHOLE CLASS,K770,2020
128,PHYSICAL EDUCATION,1.0,"$ 89,082",Elementary Cluster/Quota,SUBJECT SPECIFIC,K770,2020
129,SETSS,1.0,"$ 75,820",Special Needs - Support Services,PUSH IN/PULL OUT,K770,2020
130,SPEECH,1.0,"$ 96,693",Special Needs - Support Services,PULL-OUT -all students,K770,2020
131,GUIDANCE COUNSELOR,1.0,"$ 103,434",Guidance/Social Workers,,K770,2020
132,SCHOOL SOCIAL WORKER,1.0,"$ 50,871",Guidance/Social Workers,,K770,2020
133,IEP-CRISIS MANAGEMENT(CIT),5.0,"$ 173,905",Paraprofessionals,,K770,2020
134,PRE-K,3.0,"$ 185,087",Paraprofessionals,,K770,2020
135,School Aides and Other Support Staff,1.0,"$ 37,879",School Aides and Other Support Staff,,K770,2020
136,ABSENCE COVERAGE,,$ 998,Per Diem,,K770,2020
137,IEP-CRISIS MANAGEMENT(CIT),,"$ 135,638",Per Diem,,K770,2020
138,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 24,724",Per Session,,K770,2020
139,PARENT INVOLVEMENT,,"$ 2,773",Per Session,,K770,2020
140,PUPIL PERSONNEL SERVICES,,$ 583,Per Session,,K770,2020
141,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,"$ 4,525",OTPS,,K770,2020
142,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 8,556",OTPS,,K770,2020
143,EDUCATIONAL CONSULTANTS,,"$ 19,700",OTPS,,K770,2020
144,EDUCATIONAL SOFTWARE,,$ 380,OTPS,,K770,2020
145,EQUIPMENT - GENERAL,,"$ 3,200",OTPS,,K770,2020
146,LIBRARY BOOKS,,"$ 1,679",OTPS,,K770,2020
147,NON-CONTRACTUAL SERVICES,,"$ 13,542",OTPS,,K770,2020
148,PROFESSIONAL SERVICES OTHER,,"$ 3,000",OTPS,,K770,2020
149,SUPPLIES - GENERAL,,"$ 29,693",OTPS,,K770,2020
150,TEXTBOOKS,,"$ 11,096",OTPS,,K770,2020
151,People Working Partial Year,,"$ 115,792",People Working Partial Year,,K770,2020
152,Main School,40.0,"$ 3,193,324",School Site,,K770,2020
153,HEAD OF SCHOOL,1.0,"$ 146,605",Leadership,,K770,2019
154,PARENT COORDINATOR,1.0,"$ 40,929",Coordinator/Supervisor/Dean,,K770,2019
155,SCHOOL SECRETARY,1.0,"$ 45,495",Secretary,,K770,2019
156,Pre K,3.0,"$ 315,850",Classroom Teacher,WHOLE CLASS,K770,2019
157,K,3.0,"$ 227,132",Classroom Teacher,WHOLE CLASS,K770,2019
158,"K,1,2",1.0,"$ 74,442",Classroom Teacher,SELF-CONTAINED SP ED,K770,2019
159,1,1.0,"$ 74,442",Classroom Teacher,ICT - Special Ed Teacher,K770,2019
160,1,3.0,"$ 196,262",Classroom Teacher,WHOLE CLASS,K770,2019
161,1,4.0,"$ 270,704",Classroom Teacher,Sub-Total,K770,2019
162,2,1.0,"$ 74,442",Classroom Teacher,SELF-CONTAINED SP ED,K770,2019
163,2,1.0,"$ 74,442",Classroom Teacher,WHOLE CLASS,K770,2019
164,2,2.0,"$ 148,884",Classroom Teacher,Sub-Total,K770,2019
165,3,2.0,"$ 86,986",Classroom Teacher,ICT - Special Ed Teacher,K770,2019
166,3,3.0,"$ 201,868",Classroom Teacher,WHOLE CLASS,K770,2019
167,3,5.0,"$ 288,854",Classroom Teacher,Sub-Total,K770,2019
168,4,1.0,"$ 79,272",Classroom Teacher,WHOLE CLASS,K770,2019
169,5,1.0,"$ 74,442",Classroom Teacher,ICT - Special Ed Teacher,K770,2019
170,5,1.0,"$ 74,442",Classroom Teacher,WHOLE CLASS,K770,2019
171,5,2.0,"$ 148,884",Classroom Teacher,Sub-Total,K770,2019
172,DANCE ALL OTHER,1.0,"$ 36,477",Elementary Cluster/Quota,WHOLE CLASS,K770,2019
173,ESL,0.0,"$ 19,032",Elementary Cluster/Quota,PUSH IN/PULL OUT,K770,2019
174,MUSIC,1.0,"$ 138,650",Elementary Cluster/Quota,WHOLE CLASS,K770,2019
175,PHYSICAL EDUCATION,1.0,"$ 74,442",Elementary Cluster/Quota,SUBJECT SPECIFIC,K770,2019
176,OCCUPATIONAL THERAPY,1.0,"$ 75,145",Special Needs - Support Services,PULL-OUT -all students,K770,2019
177,SETSS,1.0,"$ 74,442",Special Needs - Support Services,PUSH IN/PULL OUT,K770,2019
178,SPEECH,1.0,"$ 93,637",Special Needs - Support Services,PULL-OUT -all students,K770,2019
179,GUIDANCE COUNSELOR,1.0,"$ 98,803",Guidance/Social Workers,,K770,2019
180,SCHOOL PSYCHOLOGIST,1.0,"$ 99,227",SBST,,K770,2019
181,IEP-CRISIS MANAGEMENT(CIT),3.0,"$ 108,060",Paraprofessionals,,K770,2019
182,IEP-HEALTH,2.0,"$ 100,996",Paraprofessionals,,K770,2019
183,PRE-K,3.0,"$ 175,911",Paraprofessionals,,K770,2019
184,School Aides and Other Support Staff,1.0,"$ 35,592",School Aides and Other Support Staff,,K770,2019
185,504,,"$ 15,942",Per Diem,,K770,2019
186,ABSENCE COVERAGE,,"$ 51,314",Per Diem,,K770,2019
187,IEP-CRISIS MANAGEMENT(CIT),,"$ 79,194",Per Diem,,K770,2019
188,IEP-HEALTH,,"$ 44,237",Per Diem,,K770,2019
189,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 36,134",Per Session,,K770,2019
190,PROFESSIONAL DEVELOPMENT,,"$ 21,440",Per Session,,K770,2019
191,PUPIL PERSONNEL SERVICES,,$ 712,Per Session,,K770,2019
192,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,$ 300,OTPS,,K770,2019
193,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 3,000",OTPS,,K770,2019
194,EDUCATIONAL CONSULTANTS,,"$ 14,900",OTPS,,K770,2019
195,EQUIPMENT - GENERAL,,"$ 6,335",OTPS,,K770,2019
196,FURNITURE (OBJECT 300),,"$ 17,000",OTPS,,K770,2019
197,LIBRARY BOOKS,,"$ 1,576",OTPS,,K770,2019
198,NON-CONTRACTUAL SERVICES,,"$ 12,215",OTPS,,K770,2019
199,SUPPLIES - GENERAL,,"$ 40,537",OTPS,,K770,2019
200,People Working Partial Year,,"$ 94,445",People Working Partial Year,,K770,2019
201,CB GE All Other Salaries Set Aside,,"$ 3,498",Setasides,,K770,2019
202,CB GE Classroom Teachers Set Aside,,"$ 11,263",Setasides,,K770,2019
203,CB GE Pupil Support Services Set Aside,,$ 616,Setasides,,K770,2019
204,CB Pre-K GE Set Aside,,"$ 5,432",Setasides,,K770,2019
205,CB SE All Other Salaries Set Aside,,"$ 3,036",Setasides,,K770,2019
206,CB SE Classroom Teachers Set Aside,,$ 190,Setasides,,K770,2019
207,CB SE Pupil Support Services Set Aside,,"$ 10,209",Setasides,,K770,2019
208,School Funded Copier,,"$ 15,900",Setasides,,K770,2019
209,Main School,41.0,"$ 3,406,890",School Site,,K770,2019
210,HEAD OF SCHOOL,1.0,"$ 138,764",Leadership,,K770,2018
211,PARENT COORDINATOR,1.0,"$ 40,929",Coordinator/Supervisor/Dean,,K770,2018
212,SUB ASSG - SCHOOL SECRETARY,1.0,"$ 37,717",Secretary,,K770,2018
213,Pre K,2.0,"$ 251,591",Classroom Teacher,WHOLE CLASS,K770,2018
214,K,1.0,"$ 89,700",Classroom Teacher,ICT - Special Ed Teacher,K770,2018
215,K,2.0,"$ 179,400",Classroom Teacher,WHOLE CLASS,K770,2018
216,K,3.0,"$ 269,100",Classroom Teacher,Sub-Total,K770,2018
217,"K,1,2,3,4,5",1.0,"$ 89,700",Classroom Teacher,ICT - Special Ed Teacher,K770,2018
218,1,1.0,"$ 89,700",Classroom Teacher,ICT - General Ed Teacher,K770,2018
219,1,3.0,"$ 224,741",Classroom Teacher,WHOLE CLASS,K770,2018
220,1,4.0,"$ 314,441",Classroom Teacher,Sub-Total,K770,2018
221,2,1.0,"$ 89,700",Classroom Teacher,ICT - Special Ed Teacher,K770,2018
222,2,2.0,"$ 186,900",Classroom Teacher,WHOLE CLASS,K770,2018
223,2,3.0,"$ 276,600",Classroom Teacher,Sub-Total,K770,2018
224,3,1.0,"$ 89,700",Classroom Teacher,ICT - Special Ed Teacher,K770,2018
225,3,2.0,"$ 170,403",Classroom Teacher,WHOLE CLASS,K770,2018
226,3,3.0,"$ 260,103",Classroom Teacher,Sub-Total,K770,2018
227,4,1.0,"$ 89,700",Classroom Teacher,ICT - Special Ed Teacher,K770,2018
228,4,1.0,"$ 89,700",Classroom Teacher,WHOLE CLASS,K770,2018
229,4,2.0,"$ 179,400",Classroom Teacher,Sub-Total,K770,2018
230,5,1.0,"$ 97,200",Classroom Teacher,WHOLE CLASS,K770,2018
231,MUSIC,1.0,"$ 89,700",Elementary Cluster/Quota,SUBJECT SPECIFIC,K770,2018
232,PHYSICAL EDUCATION,1.0,"$ 89,700",Elementary Cluster/Quota,SUBJECT SPECIFIC,K770,2018
233,OCCUPATIONAL THERAPY,1.0,"$ 72,148",Special Needs - Support Services,PULL-OUT -all students,K770,2018
234,SPEECH,1.0,"$ 65,136",Special Needs - Support Services,PULL-OUT -all students,K770,2018
235,GUIDANCE COUNSELOR,1.0,"$ 89,437",Guidance/Social Workers,,K770,2018
236,SCHOOL PSYCHOLOGIST,1.0,"$ 95,255",SBST,,K770,2018
237,504,1.0,"$ 31,880",Paraprofessionals,,K770,2018
238,IEP-CRISIS MANAGEMENT(CIT),2.0,"$ 14,855",Paraprofessionals,,K770,2018
239,IEP-HEALTH,2.0,"$ 50,273",Paraprofessionals,,K770,2018
240,PRE-K,2.0,"$ 78,964",Paraprofessionals,,K770,2018
241,School Aides and Other Support Staff,1.0,"$ 35,592",School Aides and Other Support Staff,,K770,2018
242,504,,"$ 16,152",Per Diem,,K770,2018
243,ABSENCE COVERAGE,,"$ 40,526",Per Diem,,K770,2018
244,IEP-CRISIS MANAGEMENT(CIT),,"$ 155,837",Per Diem,,K770,2018
245,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 60,000",Per Session,,K770,2018
246,PARENT INVOLVEMENT,,"$ 7,837",Per Session,,K770,2018
247,PROFESSIONAL DEVELOPMENT,,"$ 11,630",Per Session,,K770,2018
248,Building Permit Fees,,$ 660,OTPS,,K770,2018
249,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,"$ 20,792",OTPS,,K770,2018
250,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 6,574",OTPS,,K770,2018
251,EDUCATIONAL CONSULTANTS,,"$ 20,000",OTPS,,K770,2018
252,LIBRARY BOOKS,,"$ 1,488",OTPS,,K770,2018
253,NON-CONTRACTUAL SERVICES,,"$ 10,000",OTPS,,K770,2018
254,SUPPLIES - GENERAL,,"$ 76,676",OTPS,,K770,2018
255,TELEPHONE AND OTHER COMMUNICATIONS,,"$ 1,219",OTPS,,K770,2018
256,TEXTBOOKS,,"$ 10,861",OTPS,,K770,2018
257,People Working Partial Year,,"$ 214,492",People Working Partial Year,,K770,2018
258,School Funded Copier,,"$ 15,900",Setasides,,K770,2018
259,Main School,36.0,"$ 3,339,129",School Site,,K770,2018
260,AP - ORGANIZATION,1.0,"$ 155,103",Leadership,,K751,2022
261,AP - SUPERVISION,1.0,"$ 47,889",Leadership,,K751,2022
262,INTERIM ACTING - PRINCIPAL,1.0,"$ 192,726",Leadership,,K751,2022
263,School Secretary,1.0,"$ 72,362",Secretary,,K751,2022
264,ENGLISH LANGUAGE ARTS,1.0,"$ 93,750",High School Departments,REDUCED CLASS SIZE,K751,2022
265,ENGLISH LANGUAGE ARTS,1.0,"$ 93,750",High School Departments,SUBJECT SPECIFIC,K751,2022
266,ENGLISH LANGUAGE ARTS,1.0,"$ 94,087",High School Departments,WHOLE CLASS,K751,2022
267,ENGLISH LANGUAGE ARTS,3.0,"$ 281,587",High School Departments,Sub-Total,K751,2022
268,ESL,1.0,"$ 85,491",High School Departments,PUSH IN/PULL OUT,K751,2022
269,FL - FRENCH,1.0,"$ 93,750",High School Departments,WHOLE CLASS,K751,2022
270,MATH,2.0,"$ 187,500",High School Departments,WHOLE CLASS,K751,2022
271,Medical Assisting DHS,1.0,"$ 93,750",High School Departments,SUBJECT SPECIFIC,K751,2022
272,NURSING,1.0,"$ 93,750",High School Departments,WHOLE CLASS,K751,2022
273,PHYSICAL EDUCATION,1.0,"$ 93,750",High School Departments,WHOLE CLASS,K751,2022
274,SCIENCE - BIOLOGY,1.0,"$ 93,750",High School Departments,SUBJECT SPECIFIC,K751,2022
275,SCIENCE - BIOLOGY,1.0,"$ 93,750",High School Departments,WHOLE CLASS,K751,2022
276,SCIENCE - BIOLOGY,2.0,"$ 187,500",High School Departments,Sub-Total,K751,2022
277,SOCIAL STUDIES,2.0,"$ 187,500",High School Departments,WHOLE CLASS,K751,2022
278,SPECIAL EDUCATION,4.0,"$ 354,177",High School Departments,ICT - Special Ed Teacher,K751,2022
279,SPECIAL EDUCATION,1.0,"$ 93,750",High School Departments,PUSH-IN -special ed,K751,2022
280,SPECIAL EDUCATION,5.0,"$ 447,927",High School Departments,Sub-Total,K751,2022
281,SPEECH,1.0,"$ 103,083",Special Needs - Support Services,PULL-OUT -all students,K751,2022
282,Guidance Counselor,1.0,"$ 16,209",Guidance/Social Workers,,K751,2022
283,School Social Worker,1.0,"$ 154,225",Guidance/Social Workers,,K751,2022
284,School Aides and Other Support Staff,0.0,"$ 89,429",School Aides and Other Support Staff,,K751,2022
285,ABSENCE COVERAGE,,"$ 21,999",Per Diem,,K751,2022
286,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 195,529",Per Session,,K751,2022
287,Counseling - Mandated,,"$ 13,717",Per Session,,K751,2022
288,PARENT INVOLVEMENT,,"$ 6,477",Per Session,,K751,2022
289,PROFESSIONAL DEVELOPMENT,,"$ 24,342",Per Session,,K751,2022
290,PUPIL PERSONNEL SERVICES,,"$ 15,017",Per Session,,K751,2022
291,SPECIAL ED INSTRUCTIONAL PGMS,,"$ 8,624",Per Session,,K751,2022
292,SUMMER STUDENT PROGRAMS,,"$ 37,142",Per Session,,K751,2022
293,Curriculum & Staff Development Contracts,,"$ 14,000",OTPS,,K751,2022
294,Data Processing Repair - Contractual,,"$ 9,438",OTPS,,K751,2022
295,Educational Consultants,,"$ 58,907",OTPS,,K751,2022
296,Educational Software,,"$ 35,992",OTPS,,K751,2022
297,Equipment - General,,"$ 85,527",OTPS,,K751,2022
298,Library Books,,"$ 34,478",OTPS,,K751,2022
299,Non-Contractual Services,,"$ 43,381",OTPS,,K751,2022
300,Professional Services Other,,"$ 7,000",OTPS,,K751,2022
301,Supplies - General,,"$ 372,627",OTPS,,K751,2022
302,Textbooks,,"$ 46,022",OTPS,,K751,2022
303,Transportation of Pupils - Contractual,,$ 275,OTPS,,K751,2022
304,Not Available,,"$ 30,277",Sixth period coverage,,K751,2022
305,People Working Partial Year,,"$ 120,228",People Working Partial Year,,K751,2022
306,Main School,26.0,"$ 3,764,530",School Site,,K751,2022
307,AP - ORGANIZATION,1.0,"$ 151,378",Leadership,,K751,2021
308,INTERIM ACTING - PRINCIPAL,1.0,"$ 185,963",Leadership,,K751,2021
309,School Secretary,1.0,"$ 69,457",Secretary,,K751,2021
310,Elec Install and Prac,1.0,"$ 90,116",High School Departments,WHOLE CLASS,K751,2021
311,Emergency Management DHS,1.0,"$ 90,116",High School Departments,WHOLE CLASS,K751,2021
312,ENGLISH LANGUAGE ARTS,1.0,"$ 90,116",High School Departments,REDUCED CLASS SIZE,K751,2021
313,ENGLISH LANGUAGE ARTS,1.0,"$ 90,116",High School Departments,SUBJECT SPECIFIC,K751,2021
314,ENGLISH LANGUAGE ARTS,1.0,"$ 90,116",High School Departments,WHOLE CLASS,K751,2021
315,ENGLISH LANGUAGE ARTS,3.0,"$ 270,348",High School Departments,Sub-Total,K751,2021
316,ESL,1.0,"$ 90,116",High School Departments,WHOLE CLASS,K751,2021
317,FL - FRENCH,1.0,"$ 90,116",High School Departments,WHOLE CLASS,K751,2021
318,MATH,2.0,"$ 180,232",High School Departments,WHOLE CLASS,K751,2021
319,NURSING,1.0,"$ 90,116",High School Departments,WHOLE CLASS,K751,2021
320,PHYSICAL EDUCATION,1.0,"$ 90,116",High School Departments,WHOLE CLASS,K751,2021
321,SCIENCE - BIOLOGY,1.0,"$ 90,116",High School Departments,SUBJECT SPECIFIC,K751,2021
322,SCIENCE - BIOLOGY,2.0,"$ 180,232",High School Departments,WHOLE CLASS,K751,2021
323,SCIENCE - BIOLOGY,3.0,"$ 270,348",High School Departments,Sub-Total,K751,2021
324,SOCIAL STUDIES,2.0,"$ 180,232",High School Departments,WHOLE CLASS,K751,2021
325,SPECIAL EDUCATION,3.0,"$ 270,348",High School Departments,ICT - Special Ed Teacher,K751,2021
326,SPECIAL EDUCATION,2.0,"$ 180,232",High School Departments,PUSH-IN -special ed,K751,2021
327,SPECIAL EDUCATION,5.0,"$ 450,580",High School Departments,Sub-Total,K751,2021
328,SPEECH,1.0,"$ 99,109",Special Needs - Support Services,PULL-OUT -all students,K751,2021
329,Guidance Counselor,1.0,"$ 115,788",Guidance/Social Workers,,K751,2021
