,allocation_category,amount,location_code,fiscal_year
79,TL Parent and Arts Partner Program OTPS,"$ 2,500",K770,2021
80,TL Parent Coordinator,"$ 43,968",K770,2021
81,TL Parent Coordinator OTPS,$ 500,K770,2021
82,TL Periodic Assessment,"$ 1,500",K770,2021
83,TL RS IEP Para,"$ 242,227",K770,2021
84,TL RS Mandated Counseling Shared,"$ 49,815",K770,2021
85,TL RS Mandated Speech Shared,"$ 105,109",K770,2021
86,TL School COVID Planning Supplement,"$ 4,291",K770,2021
87,TL Social Worker Support High Need,"$ 104,088",K770,2021
88,TL Summer in the City Shared,"$ 4,390",K770,2021
89,TL Translation Services,$ 765,K770,2021
90,4K for All,"$ 592,175",K770,2020
91,Contract for Excellence FY 09,"$ 106,314",K770,2020
92,High Need Support for Title I STH,$ 612,K770,2020
93,IDEA RS IEP Para,"$ 80,013",K770,2020
94,Title I STH for Non Title I Schools,"$ 18,439",K770,2020
95,Title III Translation Services,"$ 2,141",K770,2020
96,TL Admissions Diversity,"$ 20,000",K770,2020
97,TL Arts Studio,"$ 1,730",K770,2020
98,TL CB School Staff,"$ 20,467",K770,2020
99,TL City Council Member Items,"$ 10,000",K770,2020
100,TL Computer Maintenance,"$ 8,556",K770,2020
101,TL Continuous Improvement,"$ 16,000",K770,2020
102,TL ELA/Math Student Support,"$ 9,719",K770,2020
103,TL ELL/Special Needs Partner Arts Project OTPS,"$ 15,000",K770,2020
104,TL ELL/Special Needs Partner Arts Project PS,"$ 1,227",K770,2020
105,TL Fair Student Funding,"$ 1,761,479",K770,2020
106,TL Implicit Bias CCER,"$ 1,077",K770,2020
107,TL Instructional Leadership Framework,"$ 19,097",K770,2020
108,TL MOSL,"$ 1,500",K770,2020
109,TL NYSTL Hardware,"$ 2,738",K770,2020
110,TL NYSTL Library Books,"$ 1,679",K770,2020
111,TL NYSTL Software,"$ 2,708",K770,2020
112,TL NYSTL Textbooks,"$ 9,230",K770,2020
113,TL Parent and Arts Partner Program OTPS,"$ 2,500",K770,2020
114,TL Parent and Arts Partner Program PS,$ 307,K770,2020
115,TL Parent Coordinator,"$ 43,558",K770,2020
116,TL Parent Coordinator OTPS,$ 500,K770,2020
117,TL Potential Mid Year Adj to be Repaid,"$ 12,851",K770,2020
118,TL RS IEP Para,"$ 229,530",K770,2020
119,TL RS Mandated Counseling Shared,"$ 63,627",K770,2020
120,TL RS Mandated Speech Shared,"$ 96,693",K770,2020
121,TL School Operational Support,"$ 8,212",K770,2020
122,TL Social Worker Support High Need,"$ 103,102",K770,2020
123,TL Summer in the City Shared,"$ 1,947",K770,2020
124,TL Translation Services,$ 632,K770,2020
125,4K for All,"$ 592,544",K770,2019
126,Contract for Excellence FY 09,"$ 118,281",K770,2019
127,Funds Pub Schl 82 -Arnhold Dance Program,"$ 2,500",K770,2019
128,IDEA RS IEP Para,"$ 127,863",K770,2019
129,Rollover PROSE Grant Collapsed Previous FYs 82990,"$ 1,474",K770,2019
130,Sequester Aid IDEA RS IEP Paras,"$ 1,190",K770,2019
131,Sequester Aid Title I STH for Non-Title I Schools,$ 362,K770,2019
132,Title I 1003a Summer,"$ 16,979",K770,2019
133,Title I STH for Non Title I Schools,"$ 10,678",K770,2019
134,Title III Translation Services,"$ 2,050",K770,2019
135,TL CB Per Session Per Diem Prep,$ 591,K770,2019
136,TL CB School Staff,"$ 14,594",K770,2019
137,TL CB School Staff PK,"$ 5,432",K770,2019
138,TL CB School Staff Related Services,"$ 1,908",K770,2019
139,TL City Council Member Items,"$ 10,000",K770,2019
140,TL Computer Maintenance,"$ 9,335",K770,2019
141,TL Core Curriculum Support,$ 858,K770,2019
142,TL ELA/Math Student Support,"$ 9,384",K770,2019
143,TL Fair Student Funding,"$ 1,772,656",K770,2019
144,TL FSF Post-IEP Support,$ 980,K770,2019
145,TL GE CB School Staff,"$ 15,567",K770,2019
146,TL Learning Partners Program,"$ 15,000",K770,2019
147,TL Learning Partners Program Support,"$ 7,000",K770,2019
148,TL MOSL,"$ 1,500",K770,2019
149,TL NYSTL Library Books,"$ 1,576",K770,2019
150,TL Parent Coordinator,"$ 40,929",K770,2019
151,TL Parent Coordinator OTPS,$ 500,K770,2019
152,TL RS IEP Para,"$ 192,008",K770,2019
153,TL RS Mandated Counseling Shared,"$ 42,490",K770,2019
154,TL RS Mandated Speech Shared,"$ 93,637",K770,2019
155,TL RS Occupational Therapist PS Shared,"$ 75,145",K770,2019
156,TL SBST Shared,"$ 99,227",K770,2019
157,TL SE CB School Staff,"$ 11,337",K770,2019
158,TL Section 504,"$ 15,942",K770,2019
159,TL Strong Schools Strong Communities,"$ 16,000",K770,2019
160,TL Translation Services,$ 605,K770,2019
161,TL Vision for School Improvement,"$ 19,097",K770,2019
162,Contract for Excellence FY 09,"$ 118,281",K770,2018
163,IDEA RS IEP Para,"$ 22,059",K770,2018
164,Pre-K,"$ 221,127",K770,2018
165,Priority/Focus Parent Education,"$ 9,837",K770,2018
166,Priority/Focus Schools,"$ 32,947",K770,2018
167,Sequester Aid IDEA RS IEP Paras,"$ 2,357",K770,2018
168,Sequester Aid Title I STH for Non-Title I Schools,$ 510,K770,2018
169,Title I 1003a Summer,"$ 16,979",K770,2018
170,Title I STH for Non Title I Schools,"$ 14,502",K770,2018
171,Title III Translation Services,"$ 2,118",K770,2018
172,TL Arts Studio,"$ 1,165",K770,2018
173,TL CB School Staff,"$ 5,069",K770,2018
174,TL Computer Maintenance,"$ 6,574",K770,2018
175,TL Core Curriculum Support,$ 429,K770,2018
176,TL ELL/Special Needs Partner Arts Project OTPS,"$ 15,000",K770,2018
177,TL ELL/Special Needs Partner Arts Project PS,"$ 1,146",K770,2018
178,TL Fair Student Funding,"$ 1,755,551",K770,2018
179,TL Funds Over Formula,"$ 6,399",K770,2018
180,TL Learning Partners Program,"$ 15,000",K770,2018
181,TL Learning Partners Program Support,"$ 12,000",K770,2018
182,TL MOSL,"$ 1,500",K770,2018
183,TL NYSTL Library Books,"$ 1,488",K770,2018
184,TL NYSTL Textbooks,"$ 10,861",K770,2018
185,TL Parent Coordinator,"$ 40,929",K770,2018
186,TL Parent Coordinator OTPS,$ 500,K770,2018
187,TL Physical Education Initiative - Cohort 1,"$ 44,850",K770,2018
188,TL RS IEP Para,"$ 161,859",K770,2018
189,TL RS Mandated Counseling Shared,"$ 27,593",K770,2018
190,TL RS Mandated Speech Shared,"$ 77,498",K770,2018
191,TL RS Occupational Therapist PS Shared,"$ 72,148",K770,2018
192,TL SBST Shared,"$ 95,255",K770,2018
193,TL Section 504,"$ 48,032",K770,2018
194,TL Strong Schools Strong Communities,"$ 16,000",K770,2018
195,TL Summer in the City Shared,"$ 1,201",K770,2018
196,TL Temporary Shortfall Per Diem,"$ 1,058",K770,2018
197,TL Temporary Shortfall Support Staff,"$ 15,094",K770,2018
198,TL Temporary Shortfall Teachers,"$ 238,943",K770,2018
199,TL Translation Services,$ 625,K770,2018
200,TL Vision for School Improvement,"$ 19,097",K770,2018
201,Universal PreK Quality Full-Day,"$ 205,776",K770,2018
202,ARPA Academic Recovery,"$ 73,227",K751,2022
203,ARPA Academic Recovery Arts,"$ 18,307",K751,2022
204,ARPA Academic Recovery Para Summer Rising,"$ 4,304",K751,2022
205,ARPA Academic Recovery SE After-School Instruction,"$ 28,546",K751,2022
206,ARPA Academic Recovery SE Counseling,"$ 2,089",K751,2022
207,ARPA Academic Recovery SE Intervention Training,"$ 2,363",K751,2022
208,ARPA Academic Recovery SE Planning Prep,"$ 2,955",K751,2022
209,ARPA Academic Recovery SE RS Related Services,"$ 5,742",K751,2022
210,ARPA Academic Recovery SE Support Summer Rising,"$ 9,764",K751,2022
211,ARPA Academic Recovery Social Worker,"$ 154,225",K751,2022
212,ARPA Election Day Remote Planning,"$ 4,258",K751,2022
213,ARPA LA MYA Register Relief,"$ 144,564",K751,2022
214,ARPA School COVID Planning Expansion,"$ 12,353",K751,2022
215,ARPA Vaccine Policy Coverage,"$ 40,267",K751,2022
216,CRRSA Computer Maintenance,"$ 1,610",K751,2022
217,CRRSA Situation Room,"$ 2,050",K751,2022
218,High Need Support for Title I,"$ 7,406",K751,2022
219,High Need Support for Title I STH,$ 946,K751,2022
220,New Visions 18 - NSI Gates,"$ 2,006",K751,2022
221,Rollover Smart Schools Bond Act,"$ 10,789",K751,2022
222,Title I SWP,"$ 212,206",K751,2022
223,Title I SWP Carry Over,"$ 29,455",K751,2022
224,Title I SWP Carry Over Parent and Family Engage,"$ 1,195",K751,2022
225,Title I SWP Parent and Family Engagement,"$ 2,122",K751,2022
226,Title I SWP STH,"$ 27,110",K751,2022
227,Title I SWP Translation Services,"$ 2,046",K751,2022
228,Title IV Fall Reopening Planning Grant,"$ 5,466",K751,2022
229,Title IV Safe Healthy Counseling Summer Rising,"$ 6,179",K751,2022
230,Title IV Well Rounded ELA Math Support,"$ 4,270",K751,2022
231,TL 12-Month AP HS,"$ 14,868",K751,2022
232,TL CB School Staff,"$ 75,485",K751,2022
233,TL Computer Maintenance HS,"$ 7,828",K751,2022
234,TL CRRSA COVID MYA Register Relief HS,"$ 40,775",K751,2022
235,TL CTE WBL HS,"$ 16,122",K751,2022
236,TL E&E AP for All PSPD HS,"$ 5,310",K751,2022
237,TL E&E AP for All Support HS,"$ 41,700",K751,2022
238,TL E&E College Access 4 All HS,"$ 35,000",K751,2022
239,TL ELA/Math Student Support,"$ 12,363",K751,2022
240,TL Fair Student Funding HS,"$ 2,509,353",K751,2022
241,TL FSF Post-IEP Support HS,$ 507,K751,2022
242,TL Host School HS,"$ 10,000",K751,2022
243,TL MOSL,"$ 1,500",K751,2022
244,TL NYSTL Hardware HS,"$ 2,953",K751,2022
245,TL NYSTL Library Books HS,"$ 1,728",K751,2022
246,TL NYSTL Software HS,"$ 2,716",K751,2022
247,TL NYSTL Textbooks HS,"$ 16,022",K751,2022
248,TL Parent Coordinator HS - Flexible,"$ 49,205",K751,2022
249,TL Parent Coordinator OTPS HS,$ 500,K751,2022
250,TL RS Mandated Counseling Shared,"$ 20,547",K751,2022
251,TL RS Mandated Speech Shared,"$ 103,083",K751,2022
252,TL RS Speech Sixth Period Coverage,"$ 3,941",K751,2022
253,TL Summer Rising Shared,"$ 34,222",K751,2022
254,TL Summer Rising Support Shared,"$ 4,989",K751,2022
255,TL Translation Services,"$ 1,434",K751,2022
256,High Need Support for Title I,"$ 7,731",K751,2021
257,New Visions 10 - Summer Counseling,$ 809,K751,2021
258,Title I STH,"$ 3,100",K751,2021
259,Title I STH Carry Over,"$ 3,100",K751,2021
260,Title I SWP,"$ 221,283",K751,2021
261,Title I SWP Carry Over,"$ 32,405",K751,2021
262,Title I SWP Parent and Family Engagement,"$ 3,644",K751,2021
263,Title I SWP Translation Services,"$ 1,982",K751,2021
264,Title IV Summer Rising Reopening Planning,"$ 2,273",K751,2021
265,Title IV Well Rounded ELA Math Support,"$ 3,430",K751,2021
266,TL 12-Month AP HS,"$ 15,395",K751,2021
267,TL CB School Staff,"$ 16,408",K751,2021
268,TL Computer Maintenance HS,"$ 9,614",K751,2021
269,TL CRRSA COVID Teacher Support,"$ 30,818",K751,2021
270,TL CTE WBL HS,"$ 11,627",K751,2021
271,TL E&E AP for All PSPD HS,"$ 1,732",K751,2021
272,TL E&E AP for All Support HS,"$ 6,000",K751,2021
273,TL E&E College Access 4 All HS,"$ 35,800",K751,2021
274,TL ELA/Math Student Support,"$ 9,602",K751,2021
275,TL Fair Student Funding HS,"$ 2,662,309",K751,2021
276,TL Host School HS,"$ 10,000",K751,2021
277,TL Implicit Bias Awareness,$ 364,K751,2021
278,TL Instructional Leadership Framework,"$ 18,938",K751,2021
279,TL NYSTL Hardware HS,"$ 5,810",K751,2021
280,TL NYSTL Library Books HS,"$ 1,670",K751,2021
281,TL NYSTL Software HS,"$ 2,679",K751,2021
282,TL NYSTL Textbooks HS,"$ 10,464",K751,2021
283,TL Parent Coordinator HS - Flexible,"$ 49,205",K751,2021
284,TL Parent Coordinator OTPS HS,$ 500,K751,2021
285,TL Periodic Assessment,"$ 1,500",K751,2021
286,TL RS Mandated Counseling Shared,"$ 19,664",K751,2021
287,TL RS Mandated Speech Shared,"$ 99,109",K751,2021
288,TL School COVID Planning Supplement,"$ 4,201",K751,2021
289,TL Translation Services,"$ 1,388",K751,2021
290,High Need Support for Title I,"$ 7,984",K751,2020
291,New Visions 03 - College Advsng Pilot Data Portal,$ 266,K751,2020
292,Title I SWP,"$ 238,321",K751,2020
293,Title I SWP Parent and Family Engagement,"$ 2,407",K751,2020
294,Title I SWP Translation Services,"$ 2,101",K751,2020
295,TL Arts Studio HS,$ 865,K751,2020
296,TL CB School Staff,"$ 21,168",K751,2020
297,TL Computer Maintenance HS,"$ 9,614",K751,2020
298,TL Continuous Improvement HS,"$ 16,000",K751,2020
299,TL CTE WBL HS,"$ 18,310",K751,2020
300,TL E&E AP for All PSPD HS,"$ 13,500",K751,2020
301,TL E&E AP for All Support HS,"$ 28,648",K751,2020
302,TL E&E College Access 4 All HS,"$ 29,952",K751,2020
303,TL ELA/Math Student Support,"$ 13,199",K751,2020
304,TL Fair Student Funding HS,"$ 2,400,710",K751,2020
305,TL FSF School to School Transfers Shared HS,"$ 122,193",K751,2020
306,TL Host School HS,"$ 10,000",K751,2020
307,TL Implicit Bias Awareness,"$ 2,792",K751,2020
308,TL Instructional Leadership Framework,"$ 19,097",K751,2020
309,TL Learning and Practicing Tolerance HS,"$ 1,367",K751,2020
310,TL MOSL,"$ 1,500",K751,2020
311,TL NYSTL Hardware HS,"$ 2,959",K751,2020
312,TL NYSTL Library Books HS,"$ 1,814",K751,2020
313,TL NYSTL Software HS,"$ 2,926",K751,2020
314,TL NYSTL Textbooks HS,"$ 16,933",K751,2020
315,TL Parent Coordinator HS - Flexible,"$ 48,743",K751,2020
316,TL Parent Coordinator OTPS HS,$ 500,K751,2020
317,TL RS Mandated Counseling Shared,"$ 15,582",K751,2020
318,TL RS Mandated Speech Shared,"$ 96,693",K751,2020
319,TL Summer in the City Shared,"$ 5,980",K751,2020
320,TL Temporary Shortfall Per Session-OTPS,"$ 5,497",K751,2020
321,TL Terminal and Paid Leaves,"$ 74,987",K751,2020
322,TL Translation Services,"$ 1,234",K751,2020
323,IDEA RS IEP Para,"$ 7,319",K751,2019
324,New Visions 09 - Curriculum Professional Develop,$ 552,K751,2019
325,New Visions 13-Data Portal-College Advising Pilot,$ 326,K751,2019
326,Sequester/2010 Census Title I SWP,"$ 9,159",K751,2019
327,Title I SWP,"$ 267,151",K751,2019
328,Title I SWP Parent and Family Engagement,"$ 2,699",K751,2019
329,Title I SWP Translation Services,"$ 2,141",K751,2019
330,TL Arts Studio HS,$ 850,K751,2019
331,TL CB Per Session Per Diem Prep,"$ 1,230",K751,2019
332,TL CB School Staff,"$ 16,998",K751,2019
333,TL Computer Maintenance HS,"$ 11,780",K751,2019
334,TL CTE WBL HS,"$ 16,908",K751,2019
335,TL Deferred Program Planning Initiative HS,"$ 28,107",K751,2019
336,TL E&E AP for All PSPD HS,"$ 13,302",K751,2019
337,TL E&E AP for All Support HS,"$ 14,700",K751,2019
338,TL E&E College Access 4 All HS,"$ 30,000",K751,2019
339,TL ELA/Math Student Support,"$ 14,356",K751,2019
340,TL Fair Student Funding HS,"$ 2,739,027",K751,2019
341,TL GE CB School Staff,"$ 29,478",K751,2019
342,TL Host School HS,"$ 10,000",K751,2019
343,TL Implicit Bias Awareness,$ 652,K751,2019
344,TL LEAP HS,"$ 1,250",K751,2019
345,TL MOSL,"$ 1,500",K751,2019
346,TL NYSTL Hardware HS,"$ 3,682",K751,2019
347,TL NYSTL Library Books HS,"$ 2,162",K751,2019
348,TL NYSTL Software HS,"$ 3,539",K751,2019
349,TL NYSTL Textbooks HS,"$ 20,102",K751,2019
350,TL Parent Coordinator HS - Flexible,"$ 45,957",K751,2019
351,TL Parent Coordinator OTPS HS,$ 500,K751,2019
352,TL Potential Mid Year Adj to be Repaid,"$ 256,008",K751,2019
353,TL RS Mandated Counseling Shared,"$ 19,995",K751,2019
354,TL SE CB School Staff,"$ 3,896",K751,2019
355,TL Social and Emotional Learning HS,"$ 9,000",K751,2019
356,TL Strong Schools Strong Communities HS,"$ 16,000",K751,2019
357,TL Summer in the City Shared,"$ 6,971",K751,2019
358,TL Translation Services,"$ 1,257",K751,2019
359,TL Vision for School Improvement,"$ 19,097",K751,2019
360,VATEA,"$ 70,109",K751,2019
361,Private Grant 74-New Visions Science Curr Sum Inst,$ 317,K751,2018
362,Private Grant 79,$ 231,K751,2018
363,Private Grant 84 - Global History Curric,$ 290,K751,2018
364,Sequester/2010 Census Title I SWP,"$ 9,785",K751,2018
365,Title I SWP,"$ 275,653",K751,2018
366,Title I SWP Parent Involvement,"$ 2,784",K751,2018
367,Title I SWP Translation Services,"$ 1,974",K751,2018
368,TL Arts Studio HS,"$ 1,165",K751,2018
369,TL CB School Staff,"$ 11,597",K751,2018
370,TL Computer Maintenance HS,"$ 13,350",K751,2018
371,TL CTE WBL HS,"$ 15,279",K751,2018
372,TL Deferred Program Planning Initiative HS,"$ 29,808",K751,2018
373,TL E&E AP for All Support HS,"$ 7,810",K751,2018
374,TL Fair Student Funding HS,"$ 3,022,442",K751,2018
375,TL FSF School to School Transfers Shared HS,"$ 20,668",K751,2018
376,TL Funds Over Formula HS,"$ 7,924",K751,2018
377,TL Host School HS,$ 796,K751,2018
378,TL MOSL,"$ 1,500",K751,2018
379,TL NYSTL Hardware HS,"$ 3,982",K751,2018
380,TL NYSTL Library Books HS,"$ 2,269",K751,2018
381,TL NYSTL Software HS,"$ 3,723",K751,2018
382,TL NYSTL Textbooks HS,"$ 21,140",K751,2018
383,TL Parent Coordinator HS - Flexible,"$ 45,957",K751,2018
384,TL Parent Coordinator OTPS HS,$ 500,K751,2018
385,TL RS Mandated Counseling Shared,"$ 23,994",K751,2018
386,TL Sabbaticals,"$ 14,623",K751,2018
387,TL Social and Emotional Learning HS,"$ 5,000",K751,2018
388,TL Strong Schools Strong Communities HS,"$ 16,000",K751,2018
389,TL Summer in the City Shared,"$ 7,272",K751,2018
390,TL Summer in the City Support Shared,"$ 4,854",K751,2018
391,TL Translation Services,"$ 1,159",K751,2018
392,TL Vision for School Improvement,"$ 19,097",K751,2018
393,VATEA,"$ 64,184",K751,2018
394,ARPA Academic Recovery,"$ 201,285",K745,2022
395,ARPA Academic Recovery AP Summer Rising,"$ 17,990",K745,2022
396,ARPA Academic Recovery Arts,"$ 50,321",K745,2022
397,ARPA Academic Recovery Para Summer Rising,"$ 4,304",K745,2022
398,ARPA Academic Recovery SE After-School Instruction,"$ 65,459",K745,2022
399,ARPA Academic Recovery SE Counseling,"$ 5,390",K745,2022
400,ARPA Academic Recovery SE Intervention Training,"$ 2,363",K745,2022
401,ARPA Academic Recovery SE Planning Prep,"$ 6,775",K745,2022
402,ARPA Academic Recovery SE RS Related Services,"$ 14,964",K745,2022
403,ARPA Academic Recovery SE Support Summer Rising,"$ 7,838",K745,2022
404,ARPA Academic Recovery Summer Rising,"$ 11,495",K745,2022
405,ARPA Election Day Remote Planning,"$ 4,258",K745,2022
406,ARPA LA MYA Register Relief,"$ 375,230",K745,2022
407,ARPA School COVID Planning Expansion,"$ 16,960",K745,2022
408,CRRSA Computer Maintenance,"$ 2,181",K745,2022
409,CRRSA CRSE Arts Studio,$ 963,K745,2022
410,CRRSA Restoration Arts Studio,"$ 2,442",K745,2022
411,CRRSA Situation Room,"$ 4,783",K745,2022
412,High Need Support for Title I,"$ 13,245",K745,2022
413,High Need Support for Title I STH,"$ 1,566",K745,2022
414,IDEA RS IEP Para,"$ 48,820",K745,2022
415,Rollover Smart Schools Bond Act,"$ 13,936",K745,2022
416,Title I SWP,"$ 379,539",K745,2022
417,Title I SWP Carry Over,"$ 52,682",K745,2022
418,Title I SWP Carry Over Parent and Family Engage,"$ 2,137",K745,2022
419,Title I SWP Parent and Family Engagement,"$ 3,795",K745,2022
420,Title I SWP STH,"$ 44,872",K745,2022
421,Title I SWP Translation Services,"$ 2,543",K745,2022
422,Title IV Fall Reopening Planning Grant,"$ 7,438",K745,2022
423,Title IV Safe Healthy Counseling Summer Rising,"$ 7,218",K745,2022
424,Title IV Well Rounded ELA Math Support,"$ 7,451",K745,2022
425,TL 09 C4E ICT HS,"$ 56,865",K745,2022
426,TL CB School Staff,"$ 2,703",K745,2022
427,TL Computer Maintenance HS,"$ 10,604",K745,2022
428,TL CRRSA COVID MYA Register Relief HS,"$ 105,834",K745,2022
429,TL CRRSA Surplus Rollover HS,"$ 37,008",K745,2022
430,TL E&E AP for All PSPD HS,"$ 5,310",K745,2022
431,TL E&E AP for All Support HS,"$ 17,550",K745,2022
432,TL E&E College Access 4 All HS,"$ 25,000",K745,2022
433,TL ELA/Math Student Support,"$ 21,570",K745,2022
434,TL Fair Student Funding HS,"$ 4,100,686",K745,2022
435,TL MOSL,"$ 1,700",K745,2022
436,TL NYSTL Hardware HS,"$ 5,500",K745,2022
437,TL NYSTL Library Books HS,"$ 3,218",K745,2022
438,TL NYSTL Software HS,"$ 5,058",K745,2022
439,TL NYSTL Textbooks HS,"$ 29,838",K745,2022
440,TL Parent Coordinator HS,"$ 43,965",K745,2022
441,TL Parent Coordinator OTPS HS,$ 500,K745,2022
442,TL RS IEP Para,"$ 169,952",K745,2022
443,TL RS IEP Teacher HS,"$ 79,289",K745,2022
444,TL RS Mandated Counseling Shared,"$ 91,776",K745,2022
445,TL RS Mandated Speech Shared,"$ 103,083",K745,2022
446,TL Situation Room,$ 847,K745,2022
447,TL Summer Rising Shared,"$ 31,722",K745,2022
448,TL Summer Rising Support Shared,"$ 4,989",K745,2022
449,TL Terminal and Paid Leaves,"$ 14,248",K745,2022
450,TL Translation Services,"$ 1,782",K745,2022
451,High Need Support for Title I,"$ 12,120",K745,2021
452,IDEA RS IEP Para,"$ 56,274",K745,2021
453,Rollover FY20 NYS Senate Grant-in-Aid (08669),"$ 10,000",K745,2021
454,Title I STH,"$ 4,400",K745,2021
455,Title I STH Carry Over,"$ 4,400",K745,2021
456,Title I SWP,"$ 347,336",K745,2021
457,Title I SWP Carry Over,"$ 51,256",K745,2021
458,Title I SWP Parent and Family Engagement,"$ 5,158",K745,2021
459,Title I SWP Translation Services,"$ 2,326",K745,2021
460,Title III Immigrant Carryover,"$ 6,365",K745,2021
461,Title IV Summer Rising Reopening Planning,"$ 3,132",K745,2021
462,Title IV Well Rounded ELA Math Support,"$ 5,873",K745,2021
463,TL 09 C4E ICT HS,"$ 106,622",K745,2021
464,TL Arts Studio HS,"$ 1,120",K745,2021
465,TL CB School Staff,"$ 40,645",K745,2021
466,TL Computer Maintenance HS,"$ 7,337",K745,2021
467,TL E&E AP for All PSPD HS,"$ 1,732",K745,2021
468,TL E&E AP for All Support HS,"$ 9,484",K745,2021
469,TL E&E College Access 4 All HS,"$ 26,000",K745,2021
470,TL ELA/Math Student Support,"$ 16,443",K745,2021
471,TL Fair Student Funding HS,"$ 3,857,495",K745,2021
472,TL FSF Post-IEP Support HS,$ 497,K745,2021
