,fiscal_year,system_code,location_code,location_name,BEDS,Managed_by_name,location_type_description,Location_Category_Description,Grades_text,Grades_final_text,open_date,Status_descriptions,Primary_building_code,primary_address_line_1,State_code,X_COORDINATE,Y_COORDINATE,LONGITUDE,LATITUDE,Community_district,Council-district,Census_tract,Borough_block_lot,NTA,NTA_Name,Principal_Name,Principal_title,Principal_phone_number,fax_number,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,community_school_sup_name,Tier_3_Support_Location_Name,Tier_3_Support_Leader_Name,Tier_2_Support_Location_Name,HighSchool_Network_Location_Code,HighSchool_Network_Name,HighSchool_Network_Superintendent,Community_district 1,Police_precinct
795,2020,05M148,M148,Eagle Academy for Young Men of Harlem,310500011148,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",2013-07-01T00:00:00.000,Open,M136,6 EDGECOMBE AVENUE,NY,998878.0,237020.0,-73.947151,40.817228,110.0,9.0,22102.0,1019600001.0,MN03,Central Harlem North-Polo Grounds,Mahaliel H. Bethea II,Principal,212-694-6051,212-694-6053,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 5- Manhattan,,,,110.0,32.0
801,2020,05M154,M154,P.S. 154 Harriet Tubman,310500010154,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1964-07-01T00:00:00.000,Open,M154,250 WEST 127 STREET,NY,998395.0,234568.0,-73.948902,40.810499,110.0,9.0,22400.0,1019320010.0,MN03,Central Harlem North-Polo Grounds,ELIZABETH JARRETT,Principal,212-864-2400,212-864-3933,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 6- Manhattan,,,,110.0,28.0
803,2020,05M157,M157,The Urban Assembly School for Global Commerce,310500011157,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12",2013-07-01T00:00:00.000,Open,M501,2005 MADISON AVENUE,NY,1001216.0,233302.0,-73.938714,40.807019,111.0,9.0,20600.0,1017520022.0,MN03,Central Harlem North-Polo Grounds,ROONY VIZCAINO,Principal,212-831-5201,212-831-5206,5,5,,,NYCDOE Citywide Office - Affinity Schools,,School Support Team 4- Affinity Group,HS03,HS Network 03 Superintendent Office,"WALSH, FRED",111.0,25.0
805,2020,05M161,M161,P.S. 161 Pedro Albizu Campos,310500010161,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1962-07-01T00:00:00.000,Open,M161,499 WEST 133 STREET,NY,997404.0,237198.0,-73.952476,40.817719,109.0,9.0,21303.0,1019710001.0,MN06,Manhattanville,Patricia Balbuena,I.A. Principal,212-690-5945,917-507-0524,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 6- Manhattan,,,,109.0,26.0
816,2020,05M172,M172,Powell M.S. for Law & Social Justice,310500010172,DOE,General Academic,Junior High-Intermediate-Middle,"08,SE","06,07,08",2000-07-01T00:00:00.000,Closed,M043,509 WEST 129 STREET,NY,996616.0,236300.0,-73.9553,40.8153,109.0,7.0,21900.0,1019840033.0,MN06,Manhattanville,Winston Riley,PRINCIPAL,212-690-5977,212-690-5980,5,5,COMMUNITY SCHOOL DISTRICT 05,Gale Reeves,,,,,,,109.0,26.0
819,2020,05M175,M175,P.S. 175 Henry H Garnet,310500010175,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1958-07-01T00:00:00.000,Open,M175,175 WEST 134 STREET,NY,1000109.0,235986.0,-73.942706,40.814388,110.0,9.0,22800.0,1019190006.0,MN03,Central Harlem North-Polo Grounds,Kavita Pereira,Principal,212-283-0426,212-286-6319,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 6- Manhattan,,,,110.0,32.0
834,2020,05M194,M194,P.S. 194 Countee Cullen,310500010194,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1940-07-01T00:00:00.000,Open,M194,244 WEST 144 STREET,NY,1000549.0,238471.0,-73.941111,40.821208,110.0,9.0,23200.0,1020290011.0,MN03,Central Harlem North-Polo Grounds,KERIANNE HARRISON,Principal,212-690-5954,212-862-5743,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 6- Manhattan,,,,110.0,32.0
835,2020,05M195,M195,I.S. 195 Roberto Clemente,310500010195,DOE,General Academic,Junior High-Intermediate-Middle,8,"06,07,08",1975-07-01T00:00:00.000,Closed,M195,625 WEST 133 STREET,NY,996203.0,237953.0,-73.956814,40.819793,109.0,7.0,22302.0,1020010005.0,MN06,Manhattanville,RASHAUNDA SHAW,PRINCIPAL,212-690-5848,212-690-5999,5,5,COMMUNITY SCHOOL DISTRICT 05,"REEVES, GALE",,,,,,,109.0,30.0
837,2020,05M197,M197,P.S. 197 John B. Russwurm,310500010197,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1956-07-01T00:00:00.000,Open,M197,2230 5 AVENUE,NY,1001316.0,235675.0,-73.938347,40.813532,110.0,9.0,21200.0,1017330017.0,MN03,Central Harlem North-Polo Grounds,Natasha Spann,Principal,212-690-5960,212-690-5959,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 6- Manhattan,,,,110.0,32.0
840,2020,05M200,M200,P.S. 200- The James McCune Smith School,310500010200,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1969-07-01T00:00:00.000,Open,M200,2589 7 AVENUE,NY,1002033.0,239485.0,-73.935746,40.823988,110.0,9.0,23600.0,1020160100.0,MN03,Central Harlem North-Polo Grounds,RENEE BELTON,Principal,212-491-6636,212-491-6925,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 6- Manhattan,,,,110.0,32.0
873,2020,05M275,M275,I S 275,310500010275,DOE,General Academic,Junior High-Intermediate-Middle,SE,"06,07,08",1999-07-01T00:00:00.000,Closed,M175,175 WEST 134 STREET,NY,999966.0,235930.0,-73.9433,40.8143,110.0,9.0,22800.0,1019190006.0,MN03,Central Harlem North-Polo Grounds,Sal Fernandez,Principal,212-283-1903,212-283-3415,5,5,COMMUNITY SCHOOL DISTRICT 05,Gale Reeves,,,,,,,110.0,32.0
882,2020,05M285,M285,Harlem Renaissance High School,310500011285,DOE,Transfer School,High school,"09,10,11,12,SE","09,10,11,12",2004-09-13T00:00:00.000,Open,M911,22 EAST 128 STREET,NY,1000867.0,233547.0,-73.939974,40.807692,111.0,9.0,20600.0,1017520059.0,MN03,Central Harlem North-Polo Grounds,James Caputo,I.A. Principal,212-996-3795,212-996-4354,5,5,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL",111.0,25.0
883,2020,05M286,M286,Urban Assembly Academy for Future Leaders,310500010286,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1999-07-01T00:00:00.000,Open,M043,509 WEST 129 STREET,NY,996562.0,236479.0,-73.95552,40.815747,109.0,7.0,21900.0,1019840033.0,MN06,Manhattanville,Joseph Gates,Principal,212-543-4960,212-694-4124,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Citywide Office - Affinity Schools,,School Support Team 4- Affinity Group,,,,109.0,26.0
898,2020,05M302,M302,KAPPA IV,310500010302,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",2004-09-08T00:00:00.000,Closed,M136,6 EDGECOMBE AVENUE,NY,998878.0,237020.0,-73.947151,40.817228,110.0,9.0,22102.0,1019600001.0,MN03,Central Harlem North-Polo Grounds,Juan Vives,PRINCIPAL,212-694-6040,212-690-8056,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",,,,,,,110.0,32.0
900,2020,05M304,M304,Mott Hall High School,310500011304,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2004-09-08T00:00:00.000,Open,M136,6 EDGECOMBE AVENUE,NY,998878.0,237020.0,-73.947151,40.817228,110.0,9.0,22102.0,1019600001.0,MN03,Central Harlem North-Polo Grounds,Altagracia Villalona,Principal,212-694-6020,212-690-5047,5,5,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",110.0,32.0
912,2020,05M317,M317,Kappa II,310500010317,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",2004-09-08T00:00:00.000,Closed,M030,144-176 EAST 128 STREET,NY,1002117.0,232805.0,-73.935461,40.805653,111.0,9.0,24200.0,1017760020.0,MN34,East Harlem North,Sean Dunning,PRINCIPAL,212-828-6892,212-828-6896,5,5,COMMUNITY SCHOOL DISTRICT 05,"REEVES, GALE",,,,,,,111.0,25.0
913,2020,05M318,M318,Thurgood Marshall Academy Lower School,310500010318,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",2005-07-01T00:00:00.000,Open,M371,276 WEST 151ST STREET,NY,1001455.0,240156.0,-73.937833,40.825831,110.0,9.0,23600.0,1020360047.0,MN03,Central Harlem North-Polo Grounds,DAWN BROOKS DECOSTA,Principal,212-368-8731,212-368-8641,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 6- Manhattan,,,,110.0,32.0
936,2020,05M344,M344,Academy of Collaborative Education,310500010344,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",2006-07-01T00:00:00.000,Closed,M092,222 WEST 134 STREET,NY,999242.0,236178.0,-73.945838,40.814917,110.0,9.0,22600.0,1019390011.0,MN03,Central Harlem North-Polo Grounds,RASHAUNDA SHAW,PRINCIPAL,212-694-8750,212-694-5875,5,5,COMMUNITY SCHOOL DISTRICT 05,"REEVES, GALE",,,,,,,110.0,32.0
949,2020,05M362,M362,Columbia Secondary School,310500011362,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",2007-07-01T00:00:00.000,Open,M125,425 WEST 123 STREET,NY,996507.0,234674.0,-73.955722,40.810793,109.0,7.0,20901.0,1019640012.0,MN09,Morningside Heights,Miriam Nightengale,Principal,212-666-1278,212-666-3805,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 6- Manhattan,,,,109.0,26.0
950,2020,05M362,M362,Columbia Secondary School,310500011362,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",2007-07-01T00:00:00.000,Open,M125,425 WEST 123 STREET,NY,996507.0,234674.0,-73.955722,40.810793,109.0,7.0,20901.0,1019640012.0,MN09,Morningside Heights,Miriam Nightengale,Principal,212-666-1278,212-666-3805,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 6- Manhattan,,,,109.0,26.0
954,2020,05M367,M367,Academy for Social Action,310500011367,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12,SE",2007-07-01T00:00:00.000,Closed,M043,509 WEST 129 STREET,NY,996562.0,236479.0,-73.95552,40.815747,109.0,7.0,21900.0,1019840033.0,MN06,Manhattanville,Kairis Cox,PRINCIPAL,212-543-6301,212-234-8597,5,5,,,,,,HS07,H.S. Network 07 Superintendent Office,"CONYERS, DONALD",109.0,26.0
956,2020,05M369,M369,Urban Assembly School for the Performing Arts,310500011369,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2007-07-01T00:00:00.000,Open,M043,509 WEST 129 STREET,NY,996562.0,236479.0,-73.95552,40.815747,109.0,7.0,21900.0,1019840033.0,MN06,Manhattanville,Meghan Mcmahon,Principal,212-543-4460,212-234-4975,5,5,,,NYCDOE Citywide Office - Affinity Schools,,School Support Team 4- Affinity Group,HS03,HS Network 03 Superintendent Office,"WALSH, FRED",109.0,26.0
988,2020,05M410,M410,The Urban Assembly Institute for New Technologies,310500010410,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",2009-07-01T00:00:00.000,Closed,M043,509 WEST 129 STREET,NY,996562.0,236479.0,-73.95552,40.815747,109.0,7.0,21900.0,1019840033.0,MN06,Manhattanville,Roxanne Brown,PRINCIPAL,212-543-3840,212-690-5980,5,5,COMMUNITY SCHOOL DISTRICT 05,"REEVES, GALE",,,,,,,109.0,26.0
1009,2020,05M436,M436,New School HS D5,310500011436,DOE,General Academic,High school,"09,10,11,12,SE",,2010-07-01T00:00:00.000,"Initiated, never opened",M501,2005 MADISON AVENUE,NY,1001216.0,233302.0,-73.938714,40.807019,111.0,9.0,20600.0,1017520022.0,MN03,Central Harlem North-Polo Grounds,,,,,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",,,,,,,111.0,25.0
1027,2020,05M469,M469,Choir Academy of Harlem,310500011469,DOE,General Academic,Secondary School,12,"06,07,08,09,10,11,12",1996-06-05T00:00:00.000,Closed,M501,2005 MADISON AVENUE,NY,1001216.0,233302.0,-73.938714,40.807019,111.0,9.0,20600.0,1017520022.0,MN03,Central Harlem North-Polo Grounds,LENNEL GEORGE,PRINCIPAL,212-289-6227,212-289-4195,5,5,,,,,,HS07,H.S. Network 07 Superintendent Office,"CONYERS, DONALD",111.0,25.0
1043,2020,05M499,M499,Frederick Douglass Academy,310500011499,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",1996-06-05T00:00:00.000,Open,M010,2581 7TH AVENUE,NY,1002033.0,239485.0,-73.935746,40.823988,110.0,9.0,23600.0,1020160100.0,MN03,Central Harlem North-Polo Grounds,Ayisha Fullerton,Principal,212-491-4107,212-491-4414,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 6- Manhattan,,,,110.0,32.0
1050,2020,05M514,M514,New Design Middle School,310500010514,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",2011-07-01T00:00:00.000,Open,M195,625 WEST 133 STREET,NY,996203.0,237953.0,-73.956814,40.819793,109.0,7.0,22302.0,1020010005.0,MN06,Manhattanville,Marcellus Stovall,Principal,212-281-6339,212-281-6674,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 6- Manhattan,,,,109.0,30.0
1052,2020,05M517,M517,Teachers College Community School,310500010517,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",2011-07-01T00:00:00.000,Open,M916,168 MORNINGSIDE AVENUE,NY,997098.0,235351.0,-73.953317,40.812428,109.0,7.0,21303.0,1019670024.0,MN06,Manhattanville,Michelle Verdiner,Principal,212-316-8080,212-316-8085,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 6- Manhattan,,,,109.0,26.0
1064,2020,05M532,M532,People's School Of The Arts,310500011532,DOE,General Academic,High school,,,2012-07-01T00:00:00.000,"Initiated, never opened",M136,6 EDGECOMBE AVENUE,NY,998878.0,237020.0,-73.947151,40.817228,110.0,9.0,22102.0,1019600001.0,MN03,Central Harlem North-Polo Grounds,,,,,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",,,,,,,110.0,32.0
1102,2020,05M670,M670,Thurgood Marshall Academy for Learning and Social,310500011670,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","07,08,09,10,11,12",1999-07-01T00:00:00.000,Open,M970,200-214 WEST 135TH STREET,NY,999668.0,236295.0,-73.944299,40.815237,110.0,9.0,22800.0,1019400035.0,MN03,Central Harlem North-Polo Grounds,MAJOR FAREED,Principal,212-283-8055,212-283-8109,5,5,COMMUNITY SCHOOL DISTRICT 05,"RUX, DANIKA",NYCDOE Citywide Office - Affinity Schools,,School Support Team 3- Affinity Group,,,,110.0,32.0
1104,2020,05M685,M685,Bread & Roses Integrated Arts High School,310500011685,DOE,General Academic,High school,"10,12,SE","09,10,11,12",1997-04-29T00:00:00.000,Closed,M136,6 EDGECOMBE AVENUE,NY,998878.0,237020.0,-73.947151,40.817228,110.0,9.0,22102.0,1019600001.0,MN03,Central Harlem North-Polo Grounds,Kairis Cox,I.A. PRINCIPAL,212-694-6001,212-926-4317,5,5,,,,,,HS07,H.S. Network 07 Superintendent Office,"CONYERS, DONALD",110.0,32.0
1106,2020,05M692,M692,"High School for Mathematics, Science and Engineeri",310500011692,DOE,General Academic,High school,"09,10,11,12","09,10,11,12",2002-07-01T00:00:00.000,Open,M812,240 CONVENT AVE,NY,997991.0,238105.0,-73.950354,40.820208,109.0,9.0,21703.0,1019570200.0,MN06,Manhattanville,Crystal Bonds,Principal,212-281-6490,212-281-6918,6,5,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",109.0,26.0
