,location_code,fiscal_year,allocation_category,amount
2,M692,2019,TL NYSTL Library Books HS,"$ 3,109"
3,M692,2019,TL NYSTL Software HS,"$ 5,090"
4,M692,2019,TL NYSTL Textbooks HS,"$ 28,907"
5,M692,2019,TL OTPS for PSAL HS,"$ 1,156"
6,M692,2019,TL Parent Coordinator HS,"$ 35,592"
7,M692,2019,TL Parent Coordinator OTPS HS,$ 500
8,M692,2019,TL RS IEP Para,"$ 28,439"
9,M692,2019,TL RS Mandated Counseling Shared,"$ 26,244"
10,M692,2019,TL SBST Shared,"$ 99,227"
11,M692,2019,TL SE CB School Staff,"$ 1,169"
12,M692,2019,TL Strong Schools Strong Communities HS,"$ 16,000"
13,M692,2019,TL Summer in the City Discovery Program,"$ 16,442"
14,M692,2019,TL Summer in the City Shared,"$ 4,869"
15,M692,2019,TL Terminal and Paid Leaves,"$ 95,348"
16,M692,2019,TL Translation Services,$ 978
17,M692,2019,TL Vision for School Improvement,"$ 24,888"
0,M692,2018,AIDP Attendance Shared,"$ 130,303"
1,M692,2018,Contract for Excellence FY 09 HS,"$ 52,732"
2,M692,2018,IDEA RS IEP Para,"$ 11,030"
3,M692,2018,Private Grant 30,"$ 11,000"
4,M692,2018,Private Grant 35,"$ 2,200"
5,M692,2018,Sequester Aid IDEA RS IEP Paras,"$ 1,178"
6,M692,2018,Sequester Aid Title I STH for Non-Title I Schools,$ 307
7,M692,2018,Title I STH for Non Title I Schools,"$ 7,213"
8,M692,2018,Title III Translation Services,"$ 2,642"
9,M692,2018,TL 12-Month AP HS,"$ 13,678"
10,M692,2018,TL Arts Studio HS,"$ 1,165"
11,M692,2018,TL CB School Staff,"$ 8,289"
12,M692,2018,TL Computer Maintenance HS,"$ 6,549"
13,M692,2018,TL E&E College Access 4 All HS,"$ 30,000"
14,M692,2018,TL Fair Student Funding HS,"$ 3,284,280"
15,M692,2018,TL FSF Post-IEP Support HS,$ 490
16,M692,2018,TL Funds Over Formula HS,"$ 562,608"
17,M692,2018,TL MOSL,"$ 1,700"
18,M692,2018,TL NYSTL Hardware HS,"$ 4,996"
19,M692,2018,TL NYSTL Library Books HS,"$ 2,847"
20,M692,2018,TL NYSTL Software HS,"$ 4,672"
0,M692,2018,TL NYSTL Textbooks HS,"$ 26,525"
1,M692,2018,TL OTPS for PSAL HS,"$ 1,131"
2,M692,2018,TL Parent Coordinator HS,"$ 35,592"
3,M692,2018,TL Parent Coordinator OTPS HS,$ 500
4,M692,2018,TL RS IEP Para,"$ 27,109"
5,M692,2018,TL RS Mandated Counseling Shared,"$ 23,994"
6,M692,2018,TL SBST Shared,"$ 95,255"
7,M692,2018,TL Strong Schools Strong Communities HS,"$ 16,000"
8,M692,2018,TL Summer in the City Discovery Program,"$ 15,321"
9,M692,2018,TL Summer in the City Shared,"$ 5,930"
10,M692,2018,TL Translation Services,$ 780
11,M692,2018,TL Vision for School Improvement,"$ 19,097"
0,M670,2022,ARPA Academic Recovery,"$ 205,349"
1,M670,2022,ARPA Academic Recovery AP Summer Rising,"$ 17,990"
2,M670,2022,ARPA Academic Recovery Arts,"$ 51,337"
3,M670,2022,ARPA Academic Recovery Para Summer Rising,"$ 3,382"
4,M670,2022,ARPA Academic Recovery SE After-School Instruction,"$ 82,686"
5,M670,2022,ARPA Academic Recovery SE Counseling,"$ 6,468"
6,M670,2022,ARPA Academic Recovery SE Intervention Training,"$ 4,726"
7,M670,2022,ARPA Academic Recovery SE Planning Prep,"$ 8,558"
8,M670,2022,ARPA Academic Recovery SE RS Related Services,"$ 20,880"
9,M670,2022,ARPA Academic Recovery SE Support Summer Rising,"$ 14,109"
10,M670,2022,ARPA Academic Recovery Social Worker,"$ 154,225"
11,M670,2022,ARPA Academic Recovery Summer Rising,"$ 19,277"
12,M670,2022,ARPA COVID Staffing Support,"$ 91,092"
13,M670,2022,ARPA Election Day Remote Planning,"$ 7,452"
14,M670,2022,ARPA LA MYA Register Relief,"$ 304,670"
15,M670,2022,ARPA Restorative Justice Action Teams,"$ 11,736"
16,M670,2022,ARPA School COVID Planning Expansion,"$ 17,152"
17,M670,2022,ARPA Vaccine Policy Coverage,"$ 6,840"
18,M670,2022,Contract for Excellence FY 09 HS,"$ 75,719"
19,M670,2022,CRRSA Computer Maintenance,"$ 1,005"
20,M670,2022,CRRSA CRSE Arts Studio,$ 963
0,M670,2022,CRRSA OTPS for PSAL,$ 845
1,M670,2022,CRRSA Restoration Arts Studio,"$ 2,442"
2,M670,2022,CRRSA SHSAT,$ 176
3,M670,2022,CRRSA Situation Room,"$ 4,441"
4,M670,2022,Funds Pub Schl 359 - PS 670M - Per Session,"$ 20,908"
5,M670,2022,High Need Support for Title I,"$ 13,884"
6,M670,2022,High Need Support for Title I STH,"$ 2,063"
7,M670,2022,IDEA RS IEP Para,"$ 4,788"
8,M670,2022,OASAS Sub Abuse,"$ 17,204"
9,M670,2022,Rollover MBK Exemplry Model D5M670 (08656),"$ 249,837"
10,M670,2022,Rollover Smart Schools Bond Act,"$ 21,458"
11,M670,2022,Title I SWP,"$ 335,370"
12,M670,2022,Title I SWP Carry Over,"$ 43,904"
13,M670,2022,Title I SWP Carry Over Parent and Family Engage,"$ 1,665"
14,M670,2022,Title I SWP Parent and Family Engagement,"$ 3,354"
15,M670,2022,Title I SWP STH,"$ 49,831"
16,M670,2022,Title I SWP Translation Services,"$ 2,570"
17,M670,2022,Title IV Fall Reopening Planning Grant,"$ 7,516"
18,M670,2022,Title IV Safe Healthy Counseling Summer Rising,"$ 6,179"
19,M670,2022,Title IV Well Rounded ELA Math Support,"$ 10,639"
20,M670,2022,TL 12-Month AP HS,"$ 14,868"
21,M670,2022,TL CB School Staff,"$ 183,259"
22,M670,2022,TL Computer Maintenance HS,"$ 4,883"
23,M670,2022,TL CRRSA COVID MYA Register Relief HS,"$ 85,933"
24,M670,2022,TL CRRSA FSF Floor Raise HS,"$ 163,757"
25,M670,2022,TL E&E AP for All PSPD HS,"$ 5,310"
26,M670,2022,TL E&E AP for All Support HS,"$ 6,500"
27,M670,2022,TL E&E College Access 4 All HS,"$ 27,000"
0,M670,2022,TL ELA/Math Student Support,"$ 30,800"
1,M670,2022,TL Fair Student Funding HS,"$ 4,364,177"
2,M670,2022,TL FSF Floor Raise HS,"$ 277,423"
3,M670,2022,TL MOSL,"$ 1,700"
4,M670,2022,TL NYSTL Hardware HS,"$ 5,639"
5,M670,2022,TL NYSTL Library Books HS,"$ 3,299"
6,M670,2022,TL NYSTL Software HS,"$ 5,186"
7,M670,2022,TL NYSTL Textbooks HS,"$ 10,579"
8,M670,2022,TL Parent Coordinator HS,"$ 43,890"
9,M670,2022,TL Parent Coordinator OTPS HS,$ 500
10,M670,2022,TL Permanent Placement Incentive,"$ 105,800"
11,M670,2022,TL RS IEP Para,"$ 214,506"
12,M670,2022,TL RS IEP Teacher HS,"$ 105,800"
13,M670,2022,TL RS Mandated Counseling Shared,"$ 82,188"
14,M670,2022,TL RS Mandated Speech Shared,"$ 103,083"
15,M670,2022,TL School to School Summer Rising Transfers Shared,"$ 25,000"
16,M670,2022,TL Situation Room,"$ 1,694"
17,M670,2022,TL Specialized Admissions HS,"$ 1,058"
18,M670,2022,TL Summer Rising Shared,"$ 40,470"
19,M670,2022,TL Summer Rising Support Shared,"$ 2,927"
20,M670,2022,TL Temporary Shortfall Teachers,"$ 85,422"
21,M670,2022,TL Translation Services,"$ 1,801"
22,M670,2022,TL YMI Peer to Peer Mentoring,"$ 20,000"
0,M670,2021,Contract for Excellence FY 09 HS,"$ 75,719"
1,M670,2021,ESY Student Summer in the City Services RS,"$ 343,053"
2,M670,2021,Funds Pub Schl 355 - PS 670M - Per Session,"$ 33,150"
3,M670,2021,High Need Support for Title I,"$ 14,800"
4,M670,2021,IDEA RS IEP Para,"$ 42,207"
5,M670,2021,OASAS Sub Abuse,"$ 89,442"
6,M670,2021,ROLLOVER MBK Exmplry Model D5 M670,"$ 249,973"
7,M670,2021,Title I STH,"$ 6,100"
8,M670,2021,Title I STH Carry Over,"$ 6,100"
9,M670,2021,Title I SWP,"$ 377,674"
10,M670,2021,Title I SWP Carry Over,"$ 44,529"
11,M670,2021,Title I SWP Parent and Family Engagement,"$ 6,933"
12,M670,2021,Title I SWP Summer in the City,$ 857
13,M670,2021,Title I SWP Translation Services,"$ 2,486"
14,M670,2021,Title IV Summer Rising Reopening Planning,"$ 3,166"
15,M670,2021,Title IV Well Rounded ELA Math Support,"$ 9,426"
16,M670,2021,TL 12-Month AP HS,"$ 15,395"
17,M670,2021,TL Arts Studio HS,"$ 1,120"
18,M670,2021,TL CB School Staff,"$ 27,392"
19,M670,2021,TL Computer Maintenance HS,"$ 4,761"
20,M670,2021,TL CRRSA COVID Teacher Support,"$ 102,417"
0,M670,2021,TL E&E College Access 4 All HS,"$ 26,000"
1,M670,2021,TL ELA/Math Student Support,"$ 26,388"
2,M670,2021,TL Fair Student Funding HS,"$ 4,326,225"
3,M670,2021,TL Implicit Bias Awareness,"$ 1,855"
4,M670,2021,TL Implicit Bias CCER,$ 486
5,M670,2021,TL Instructional Leadership Framework,"$ 24,568"
6,M670,2021,TL NYSTL Hardware HS,"$ 5,767"
7,M670,2021,TL NYSTL Library Books HS,"$ 3,316"
8,M670,2021,TL NYSTL Software HS,"$ 5,319"
9,M670,2021,TL NYSTL Textbooks HS,"$ 20,908"
10,M670,2021,TL Parent Coordinator HS,"$ 43,890"
11,M670,2021,TL Parent Coordinator OTPS HS,$ 500
12,M670,2021,TL Periodic Assessment,"$ 1,700"
13,M670,2021,TL Permanent Placement Incentive,"$ 102,002"
14,M670,2021,TL RS IEP Para,"$ 235,770"
15,M670,2021,TL RS IEP Teacher HS,"$ 102,002"
16,M670,2021,TL RS Mandated Counseling Shared,"$ 74,723"
17,M670,2021,TL RS Mandated Speech Shared,"$ 99,109"
18,M670,2021,TL RS Student Summer In the City Services,"$ 64,947"
19,M670,2021,TL School COVID Planning Supplement,"$ 6,201"
20,M670,2021,TL School Incentive 2021C1,"$ 20,209"
21,M670,2021,TL School to School Summer Transfers Shared,$ 517
22,M670,2021,TL Specialized Admissions HS,$ 685
23,M670,2021,TL Summer in the City Shared,"$ 15,534"
24,M670,2021,TL Summer in the City Support Shared,"$ 5,706"
25,M670,2021,TL Temporary Shortfall Per Diem,"$ 20,302"
26,M670,2021,TL Temporary Shortfall Per Session-OTPS,"$ 35,277"
27,M670,2021,TL Temporary Shortfall Teachers,"$ 362,874"
0,M670,2021,TL Translation Services,"$ 1,742"
1,M670,2021,TL YMI Peer to Peer Mentoring,"$ 20,000"
0,M670,2020,Contract for Excellence FY 09 HS,"$ 75,719"
1,M670,2020,Funds Pub Schl 84 - PSM670 - B.O.N.D.,"$ 14,000"
2,M670,2020,High Need Support for Title I,"$ 13,329"
3,M670,2020,IC REV DOMH Dental 09032,"$ 1,600"
4,M670,2020,IDEA RS IEP Para,"$ 82,915"
5,M670,2020,OASAS Sub Abuse,"$ 87,947"
6,M670,2020,OASAS Sub Abuse OTPS,"$ 1,000"
7,M670,2020,Rollover MBK Exemplary Schl Model Grant,"$ 249,837"
8,M670,2020,Rollover Private Grant 38 (72938),"$ 3,256"
9,M670,2020,Title I SWP,"$ 325,267"
10,M670,2020,Title I SWP Parent and Family Engagement,"$ 3,286"
11,M670,2020,Title I SWP Translation Services,"$ 2,551"
12,M670,2020,TL Arts Studio HS,"$ 1,730"
13,M670,2020,TL CB School Staff,"$ 42,225"
14,M670,2020,TL Computer Maintenance HS,"$ 4,761"
15,M670,2020,TL Continuous Improvement HS,"$ 16,000"
16,M670,2020,TL E&E Advanced Placement for All HS,"$ 31,745"
17,M670,2020,TL E&E AP for All PSPD HS,"$ 13,500"
18,M670,2020,TL E&E AP for All Support HS,"$ 12,959"
19,M670,2020,TL E&E College Access 4 All HS,"$ 32,476"
20,M670,2020,TL E&E MS College Access OTPS,"$ 10,665"
0,M670,2020,TL E&E MS College Access PS,"$ 4,639"
1,M670,2020,TL ELA/Math Student Support,"$ 26,918"
2,M670,2020,TL Fair Student Funding HS,"$ 4,150,704"
3,M670,2020,TL Instructional Leadership Framework,"$ 24,888"
4,M670,2020,TL MOSL,"$ 1,700"
5,M670,2020,TL MS Task Force,"$ 2,000"
6,M670,2020,TL NYSTL Hardware HS,"$ 5,744"
7,M670,2020,TL NYSTL Library Books HS,"$ 3,364"
8,M670,2020,TL NYSTL Software HS,"$ 5,683"
9,M670,2020,TL NYSTL Textbooks HS,"$ 13,103"
10,M670,2020,TL OTPS for PSAL HS,$ 845
11,M670,2020,TL Parent Coordinator HS,"$ 43,481"
12,M670,2020,TL Parent Coordinator OTPS HS,$ 500
13,M670,2020,TL Peer to Peer Mentoring HS,"$ 20,000"
14,M670,2020,TL Permanent Placement Incentive,"$ 62,132"
15,M670,2020,TL Prior Year Encumbrance,"$ 5,743"
16,M670,2020,TL RS IEP Para,"$ 114,591"
17,M670,2020,TL RS IEP Teacher HS,"$ 96,224"
18,M670,2020,TL RS Mandated Counseling Shared,"$ 74,015"
19,M670,2020,TL RS Mandated Speech Shared,"$ 96,693"
20,M670,2020,TL RS Speech Sixth Period Coverage,"$ 10,269"
21,M670,2020,TL School Incentive 2021C1,"$ 48,112"
22,M670,2020,TL School to School Summer Transfers Shared,"$ 14,900"
23,M670,2020,TL Summer in the City Shared,"$ 42,149"
24,M670,2020,TL Summer in the City Support Shared,"$ 4,161"
25,M670,2020,TL Temporary Shortfall Per Diem,"$ 19,429"
26,M670,2020,TL Temporary Shortfall Per Session-OTPS,"$ 42,412"
27,M670,2020,TL Temporary Shortfall Teachers,"$ 273,775"
0,M670,2020,TL Translation Services,"$ 1,498"
0,M670,2019,Contract for Excellence FY 09 HS,"$ 75,719"
1,M670,2019,Funds Pub Schl 12,"$ 20,000"
2,M670,2019,Funds Pub Schl 12 - PS 05M670,"$ 17,002"
3,M670,2019,IC REV DOMH Dental 99032,"$ 1,600"
4,M670,2019,IDEA RS IEP Para,"$ 65,948"
5,M670,2019,New Visions 09 - Curriculum Professional Develop,$ 638
6,M670,2019,OASAS Sub Abuse,"$ 83,059"
7,M670,2019,OASAS Sub Abuse OTPS,$ 500
8,M670,2019,Private Grant 56 - PlayOn Sports,$ 525
9,M670,2019,Rollover Private Grant 38 (72938),"$ 5,548"
10,M670,2019,Sequester/2010 Census Title I SWP,"$ 12,577"
11,M670,2019,Title I SWP,"$ 292,958"
12,M670,2019,Title I SWP Parent and Family Engagement,"$ 2,959"
13,M670,2019,Title I SWP Translation Services,"$ 2,443"
14,M670,2019,Title IV Safe and Healthy,"$ 29,000"
15,M670,2019,TL Arts Studio HS,"$ 1,700"
16,M670,2019,TL CB Per Session Per Diem Prep,"$ 1,623"
17,M670,2019,TL CB School Staff,"$ 39,414"
18,M670,2019,TL City Council Member Items,"$ 30,000"
19,M670,2019,TL Computer Maintenance HS,"$ 4,213"
20,M670,2019,TL Core Curriculum Support,$ 429
0,M670,2019,TL E&E Advanced Placement for All HS,"$ 31,054"
1,M670,2019,TL E&E Algebra for All,"$ 13,342"
2,M670,2019,TL E&E AP for All PSPD HS,"$ 11,302"
3,M670,2019,TL E&E AP for All Support HS,"$ 11,800"
4,M670,2019,TL E&E College Access 4 All HS,"$ 30,000"
5,M670,2019,TL E&E MS College Access OTPS,"$ 10,714"
6,M670,2019,TL E&E MS College Access PS,"$ 4,603"
7,M670,2019,TL ELA/Math Student Support,"$ 25,166"
8,M670,2019,TL Fair Student Funding HS,"$ 3,785,369"
9,M670,2019,TL FSF Floor Raise HS,"$ 42,504"
10,M670,2019,TL GE CB School Staff,"$ 48,065"
11,M670,2019,TL Implicit Bias Awareness,"$ 1,304"
12,M670,2019,TL MOSL,"$ 1,700"
13,M670,2019,TL MS Task Force,"$ 10,950"
14,M670,2019,TL NYSTL Hardware HS,"$ 5,645"
15,M670,2019,TL NYSTL Library Books HS,"$ 3,314"
16,M670,2019,TL NYSTL Software HS,"$ 5,426"
17,M670,2019,TL NYSTL Textbooks HS,"$ 21,923"
18,M670,2019,TL OTPS for PSAL HS,$ 845
19,M670,2019,TL Parent Coordinator HS,"$ 40,929"
20,M670,2019,TL Parent Coordinator OTPS HS,$ 500
21,M670,2019,TL RS IEP Para,"$ 72,040"
22,M670,2019,TL RS IEP Teacher HS,"$ 92,771"
23,M670,2019,TL RS Mandated Counseling Shared,"$ 59,986"
24,M670,2019,TL RS Mandated Speech Shared,"$ 93,637"
25,M670,2019,TL RS Speech Sixth Period Coverage,"$ 11,301"
26,M670,2019,TL School Incentive 2021C1,"$ 92,771"
27,M670,2019,TL School to School Summer Transfers Shared,"$ 63,740"
0,M670,2019,TL SE CB School Staff,"$ 10,671"
1,M670,2019,TL Showcase School Support,"$ 6,000"
2,M670,2019,TL Strong Schools Strong Communities HS,"$ 16,000"
3,M670,2019,TL Summer in the City Shared,"$ 50,440"
4,M670,2019,TL Summer in the City Support Shared,"$ 5,097"
5,M670,2019,TL Temporary Shortfall Per Diem,"$ 7,285"
6,M670,2019,TL Temporary Shortfall Teachers,"$ 201,666"
7,M670,2019,TL Translation Services,"$ 1,434"
8,M670,2019,TL Vision for School Improvement,"$ 24,888"
9,M670,2019,TL YMI Peer to Peer Mentoring,"$ 20,000"
0,M670,2018,Contract for Excellence FY 09 HS,"$ 63,955"
1,M670,2018,IDEA RS IEP Para,"$ 36,860"
2,M670,2018,OASAS Sub Abuse,"$ 82,483"
3,M670,2018,OASAS Sub Abuse OTPS,$ 500
4,M670,2018,Self Sustaining 60,$ 525
5,M670,2018,Sequester/2010 Census Title I SWP,"$ 12,328"
6,M670,2018,Title I SWP,"$ 287,208"
7,M670,2018,Title I SWP Parent Involvement,"$ 2,901"
8,M670,2018,Title I SWP Translation Services,"$ 2,320"
9,M670,2018,TL Arts Continuum Program OTPS HS,"$ 12,000"
10,M670,2018,TL Arts Continuum Program PS HS,"$ 1,289"
11,M670,2018,TL Arts Studio HS,"$ 1,165"
12,M670,2018,TL CB School Staff,"$ 39,761"
13,M670,2018,TL Computer Maintenance HS,"$ 4,036"
14,M670,2018,TL Core Curriculum Support,$ 286
15,M670,2018,TL E&E Algebra for All,"$ 15,000"
16,M670,2018,TL E&E AP for All Support HS,"$ 31,383"
17,M670,2018,TL E&E MS College Access,"$ 14,943"
18,M670,2018,TL ELA/Math Student Support,"$ 22,155"
19,M670,2018,TL Fair Student Funding HS,"$ 3,475,928"
20,M670,2018,TL MOSL,"$ 1,700"
0,M670,2018,TL MS Task Force,"$ 10,950"
1,M670,2018,TL New School Planning,"$ 41,014"
2,M670,2018,TL NYSTL Library Books HS,"$ 3,370"
3,M670,2018,TL NYSTL Textbooks HS,"$ 39,892"
4,M670,2018,TL OTPS for PSAL HS,$ 832
5,M670,2018,TL Parent Coordinator HS,"$ 35,592"
6,M670,2018,TL Parent Coordinator OTPS HS,$ 500
7,M670,2018,TL Peer to Peer Mentoring HS,"$ 20,000"
8,M670,2018,TL RS IEP Para,"$ 83,906"
9,M670,2018,TL RS IEP Teacher HS,"$ 87,097"
