,location_code,fiscal_year,budget_category,budget_assignment,num_positions,service_type,amount
0,M692,2021,Per Diem,ABSENCE COVERAGE,,,"$ 10,522"
0,M692,2021,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 85,921"
1,M692,2021,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 21,735"
0,M692,2021,OTPS,Data Processing Repair - Contractual,,,"$ 8,211"
1,M692,2021,OTPS,Educational Consultants,,,"$ 29,000"
2,M692,2021,OTPS,Educational Software,,,"$ 15,916"
3,M692,2021,OTPS,Equipment - General,,,"$ 112,676"
4,M692,2021,OTPS,Library Books,,,"$ 5,012"
5,M692,2021,OTPS,Non-Contractual Services,,,"$ 3,600"
6,M692,2021,OTPS,Office Temp Services - Contractual,,,"$ 3,600"
7,M692,2021,OTPS,Professional Services Other,,,"$ 22,486"
8,M692,2021,OTPS,Supplies - General,,,"$ 62,035"
9,M692,2021,OTPS,Telephone and Other Communications,,,$ 876
10,M692,2021,OTPS,Textbooks,,,"$ 68,924"
0,M692,2021,Setasides,AP Exam Fees Eco. Disadvantaged Students Set Aside,,,"$ 4,935"
1,M692,2021,Setasides,School Funded Copier,,,"$ 10,404"
0,M692,2020,Leadership,HEAD OF SCHOOL,1.0,,"$ 173,693"
1,M692,2020,Leadership,AP - ORGANIZATION,2.0,,"$ 250,697"
0,M692,2020,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 41,611"
0,M692,2020,Secretary,SCHOOL SECRETARY,2.0,,"$ 150,726"
0,M692,2020,High School Departments,ENGLISH LANGUAGE ARTS,1.0,SUBJECT SPECIFIC,"$ 98,322"
1,M692,2020,High School Departments,ENGLISH LANGUAGE ARTS,2.0,WHOLE CLASS,"$ 209,962"
3,M692,2020,High School Departments,FL - GERMAN,1.0,WHOLE CLASS,"$ 98,322"
4,M692,2020,High School Departments,FL - SPANISH,1.0,WHOLE CLASS,"$ 98,322"
5,M692,2020,High School Departments,HUMANITIES,1.0,WHOLE CLASS,"$ 98,322"
6,M692,2020,High School Departments,MATH,7.0,WHOLE CLASS,"$ 628,681"
7,M692,2020,High School Departments,MUSIC,1.0,WHOLE CLASS,"$ 98,322"
8,M692,2020,High School Departments,PHYSICAL EDUCATION,2.0,WHOLE CLASS,"$ 196,644"
9,M692,2020,High School Departments,SCIENCE - BIOLOGY,2.0,WHOLE CLASS,"$ 196,644"
10,M692,2020,High School Departments,SCIENCE - CHEMISTRY,2.0,WHOLE CLASS,"$ 196,644"
11,M692,2020,High School Departments,SCIENCE - EARTH SCIENCE,1.0,WHOLE CLASS,"$ 98,322"
12,M692,2020,High School Departments,SCIENCE - PHYSICS,2.0,WHOLE CLASS,"$ 196,644"
13,M692,2020,High School Departments,SOCIAL STUDIES,4.0,WHOLE CLASS,"$ 393,288"
14,M692,2020,High School Departments,SPECIAL EDUCATION,1.0,SUBJECT SPECIFIC,"$ 98,322"
15,M692,2020,High School Departments,TECHNOLOGY,3.0,WHOLE CLASS,"$ 294,966"
0,M692,2020,Special Needs - Support Services,ATTENDANCE,1.0,PUSH IN/PULL OUT,"$ 142,660"
0,M692,2020,Guidance/Social Workers,GUIDANCE COUNSELOR,2.0,,"$ 198,550"
0,M692,2020,SBST,SCHOOL SOCIAL WORKERS (MANDATED SERVICES),1.0,,"$ 103,102"
0,M692,2020,School Aides and Other Support Staff,School Aides and Other Support Staff,3.0,,"$ 218,061"
0,M692,2020,Per Diem,ABSENCE COVERAGE,,,"$ 5,000"
0,M692,2020,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 93,706"
1,M692,2020,Per Session,PROFESSIONAL DEVELOPMENT,,,"$ 1,500"
2,M692,2020,Per Session,PUPIL PERSONNEL SERVICES,,,$ 0
3,M692,2020,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 11,839"
0,M692,2020,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 8,211"
1,M692,2020,OTPS,EDUCATIONAL SOFTWARE,,,$ 800
2,M692,2020,OTPS,EQUIPMENT - GENERAL,,,"$ 52,142"
3,M692,2020,OTPS,FURNITURE (OBJECT 300),,,$ 295
4,M692,2020,OTPS,LIBRARY BOOKS,,,"$ 3,007"
5,M692,2020,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 13,446"
6,M692,2020,OTPS,OFFICE TEMP SERVICES - CONTRACTUAL,,,"$ 6,000"
7,M692,2020,OTPS,PROFESSIONAL SERVICES OTHER,,,"$ 106,290"
8,M692,2020,OTPS,SUPPLIES - GENERAL,,,"$ 42,689"
9,M692,2020,OTPS,TELEPHONE AND OTHER COMMUNICATIONS,,,$ 876
10,M692,2020,OTPS,TEXTBOOKS,,,"$ 28,069"
11,M692,2020,OTPS,TRANSPORTATION OF PUPILS - CONTRACTUAL,,,"$ 2,500"
12,M692,2020,OTPS,TRANSPORTATION OF PUPILS - OTHER,,,"$ 3,000"
13,M692,2020,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,"$ 7,000"
0,M692,2020,Sixth period coverage,Not Available,,,"$ 13,624"
0,M692,2020,People Working Partial Year,People Working Partial Year,,,"$ 46,106"
0,M692,2019,Leadership,HEAD OF SCHOOL,1.0,,"$ 171,327"
1,M692,2019,Leadership,AP - ORGANIZATION,2.0,,"$ 222,706"
2,M692,2019,Leadership,AP - SUPERVISION,0.0,,"$ 24,691"
0,M692,2019,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 35,592"
0,M692,2019,Secretary,SCHOOL SECRETARY,2.0,,"$ 139,928"
0,M692,2019,High School Departments,ENGLISH LANGUAGE ARTS,1.0,SUBJECT SPECIFIC,"$ 95,712"
1,M692,2019,High School Departments,ENGLISH LANGUAGE ARTS,2.0,WHOLE CLASS,"$ 205,687"
3,M692,2019,High School Departments,FL - GERMAN,1.0,WHOLE CLASS,"$ 95,712"
4,M692,2019,High School Departments,HUMANITIES,1.0,WHOLE CLASS,"$ 95,712"
5,M692,2019,High School Departments,MATH,6.0,WHOLE CLASS,"$ 574,272"
6,M692,2019,High School Departments,PHYSICAL EDUCATION,2.0,WHOLE CLASS,"$ 143,568"
7,M692,2019,High School Departments,SCIENCE - BIOLOGY,2.0,WHOLE CLASS,"$ 182,169"
8,M692,2019,High School Departments,SCIENCE - CHEMISTRY,2.0,WHOLE CLASS,"$ 191,424"
9,M692,2019,High School Departments,SCIENCE - EARTH SCIENCE,1.0,WHOLE CLASS,"$ 95,712"
10,M692,2019,High School Departments,SCIENCE - PHYSICS,2.0,WHOLE CLASS,"$ 191,424"
11,M692,2019,High School Departments,SOCIAL STUDIES,4.0,WHOLE CLASS,"$ 382,848"
12,M692,2019,High School Departments,SPECIAL EDUCATION,1.0,SUBJECT SPECIFIC,"$ 95,712"
13,M692,2019,High School Departments,TECHNOLOGY,3.0,WHOLE CLASS,"$ 287,136"
0,M692,2019,Special Needs - Support Services,ATTENDANCE,1.0,PUSH IN/PULL OUT,"$ 138,934"
0,M692,2019,Guidance/Social Workers,GUIDANCE COUNSELOR,2.0,,"$ 192,192"
0,M692,2019,SBST,SCHOOL SOCIAL WORKERS (MANDATED SERVICES),1.0,,"$ 99,227"
0,M692,2019,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),1.0,,"$ 40,779"
0,M692,2019,School Aides and Other Support Staff,School Aides and Other Support Staff,3.0,,"$ 208,315"
0,M692,2019,Per Diem,ABSENCE COVERAGE,,,"$ 44,146"
0,M692,2019,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 93,596"
1,M692,2019,Per Session,PARENT INVOLVEMENT,,,"$ 7,250"
2,M692,2019,Per Session,PROFESSIONAL DEVELOPMENT,,,"$ 4,000"
3,M692,2019,Per Session,PUPIL PERSONNEL SERVICES,,,"$ 3,700"
4,M692,2019,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 21,308"
0,M692,2019,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 9,533"
1,M692,2019,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 30,500"
2,M692,2019,OTPS,EDUCATIONAL SOFTWARE,,,$ 1
3,M692,2019,OTPS,EQUIPMENT - GENERAL,,,"$ 70,892"
4,M692,2019,OTPS,LIBRARY BOOKS,,,"$ 3,109"
5,M692,2019,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 3,500"
6,M692,2019,OTPS,PROFESSIONAL SERVICES OTHER,,,"$ 96,601"
7,M692,2019,OTPS,SUPPLIES - GENERAL,,,"$ 72,883"
8,M692,2019,OTPS,TELEPHONE AND OTHER COMMUNICATIONS,,,$ 876
9,M692,2019,OTPS,TEXTBOOKS,,,"$ 32,100"
10,M692,2019,OTPS,TRANSPORTATION OF PUPILS - CONTRACTUAL,,,"$ 10,800"
11,M692,2019,OTPS,TRANSPORTATION OF PUPILS - OTHER,,,"$ 5,000"
12,M692,2019,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,"$ 9,000"
0,M692,2019,Sixth period coverage,Not Available,,,"$ 13,518"
0,M692,2019,People Working Partial Year,People Working Partial Year,,,"$ 145,166"
0,M692,2019,Setasides,CB GE All Other Salaries Set Aside,,,"$ 10,760"
1,M692,2019,Setasides,CB GE Classroom Teachers Set Aside,,,"$ 30,481"
2,M692,2019,Setasides,CB GE Pupil Support Services Set Aside,,,"$ 1,790"
3,M692,2019,Setasides,CB SE All Other Salaries Set Aside,,,$ 185
4,M692,2019,Setasides,CB SE Classroom Teachers Set Aside,,,"$ 1,048"
5,M692,2019,Setasides,CB SE Pupil Support Services Set Aside,,,"$ 2,070"
6,M692,2019,Setasides,School Funded Copier,,,"$ 10,404"
0,M692,2018,Leadership,HEAD OF SCHOOL,1.0,,"$ 161,301"
1,M692,2018,Leadership,AP - ORGANIZATION,1.0,,"$ 125,124"
2,M692,2018,Leadership,AP - SUPERVISION,0.0,,"$ 6,153"
0,M692,2018,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 23,110"
0,M692,2018,Secretary,SCHOOL SECRETARY,2.0,,"$ 135,036"
0,M692,2018,High School Departments,ENGLISH LANGUAGE ARTS,2.0,SUBJECT SPECIFIC,"$ 184,654"
1,M692,2018,High School Departments,ENGLISH LANGUAGE ARTS,1.0,WHOLE CLASS,"$ 107,455"
3,M692,2018,High School Departments,FL - GERMAN,1.0,SUBJECT SPECIFIC,"$ 73,178"
4,M692,2018,High School Departments,FL - GERMAN,1.0,WHOLE CLASS,"$ 92,327"
6,M692,2018,High School Departments,FL - SPANISH,1.0,WHOLE CLASS,"$ 92,327"
7,M692,2018,High School Departments,HUMANITIES,1.0,WHOLE CLASS,"$ 92,327"
8,M692,2018,High School Departments,MATH,6.0,WHOLE CLASS,"$ 553,962"
9,M692,2018,High School Departments,MUSIC,1.0,WHOLE CLASS,"$ 92,327"
10,M692,2018,High School Departments,PHYSICAL EDUCATION,2.0,WHOLE CLASS,"$ 184,654"
11,M692,2018,High School Departments,SCIENCE - BIOLOGY,2.0,WHOLE CLASS,"$ 184,654"
12,M692,2018,High School Departments,SCIENCE - CHEMISTRY,2.0,WHOLE CLASS,"$ 184,654"
13,M692,2018,High School Departments,SCIENCE - EARTH SCIENCE,1.0,WHOLE CLASS,"$ 92,327"
14,M692,2018,High School Departments,SCIENCE - PHYSICS,2.0,WHOLE CLASS,"$ 184,654"
15,M692,2018,High School Departments,SOCIAL STUDIES,4.0,WHOLE CLASS,"$ 369,308"
16,M692,2018,High School Departments,TECHNOLOGY,3.0,WHOLE CLASS,"$ 276,981"
0,M692,2018,Special Needs - Support Services,ATTENDANCE,1.0,PUSH IN/PULL OUT,"$ 130,303"
0,M692,2018,Guidance/Social Workers,GUIDANCE COUNSELOR,2.0,,"$ 180,783"
0,M692,2018,SBST,SCHOOL SOCIAL WORKERS (MANDATED SERVICES),1.0,,"$ 95,255"
0,M692,2018,Paraprofessionals,IEP-AWAITING PLACEMENT,1.0,,"$ 39,317"
0,M692,2018,School Aides and Other Support Staff,School Aides and Other Support Staff,3.0,,"$ 199,791"
0,M692,2018,Per Diem,ABSENCE COVERAGE,,,"$ 19,415"
0,M692,2018,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 94,356"
1,M692,2018,Per Session,PARENT INVOLVEMENT,,,"$ 2,643"
2,M692,2018,Per Session,PUPIL PERSONNEL SERVICES,,,"$ 12,086"
3,M692,2018,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 14,930"
0,M692,2018,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 7,149"
1,M692,2018,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 79,411"
2,M692,2018,OTPS,EDUCATIONAL SOFTWARE,,,$ 800
3,M692,2018,OTPS,EQUIPMENT - GENERAL,,,"$ 41,868"
4,M692,2018,OTPS,FURNITURE (OBJECT 300),,,"$ 8,041"
5,M692,2018,OTPS,LIBRARY BOOKS,,,"$ 2,847"
6,M692,2018,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 7,338"
7,M692,2018,OTPS,PROFESSIONAL SERVICES OTHER,,,"$ 48,780"
8,M692,2018,OTPS,SUPPLIES - GENERAL,,,"$ 71,422"
9,M692,2018,OTPS,TELEPHONE AND OTHER COMMUNICATIONS,,,$ 900
10,M692,2018,OTPS,TEXTBOOKS,,,"$ 26,525"
11,M692,2018,OTPS,TRANSPORTATION OF PUPILS - CONTRACTUAL,,,"$ 3,000"
12,M692,2018,OTPS,TRANSPORTATION OF PUPILS - OTHER,,,"$ 8,000"
13,M692,2018,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,"$ 17,487"
0,M692,2018,People Working Partial Year,People Working Partial Year,,,"$ 54,778"
0,M692,2018,Setasides,School Funded Copier,,,"$ 10,404"
0,M670,2022,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 125,405"
1,M670,2022,Leadership,INTERIM ACTING - PRINCIPAL,1.0,,"$ 44,277"
0,M670,2022,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 39,821"
0,M670,2022,Secretary,School Secretary,2.0,,"$ 143,639"
0,M670,2022,High School Departments,ARTS,1.0,WHOLE CLASS,"$ 105,800"
1,M670,2022,High School Departments,ENGLISH LANGUAGE ARTS,1.0,REDUCED CLASS SIZE,"$ 105,800"
2,M670,2022,High School Departments,ENGLISH LANGUAGE ARTS,4.0,WHOLE CLASS,"$ 423,200"
4,M670,2022,High School Departments,ESL,1.0,PUSH IN/PULL OUT,"$ 105,800"
5,M670,2022,High School Departments,HEALTH,1.0,WHOLE CLASS,"$ 105,800"
6,M670,2022,High School Departments,LANGUAGE,1.0,WHOLE CLASS,"$ 105,800"
7,M670,2022,High School Departments,LIBRARY,1.0,WHOLE CLASS,"$ 110,323"
8,M670,2022,High School Departments,MATH,1.0,ICT - Special Ed Teacher,"$ 105,800"
9,M670,2022,High School Departments,MATH,3.0,SUBJECT SPECIFIC,"$ 317,400"
10,M670,2022,High School Departments,MATH,1.0,SUPPLEMENTARY,"$ 105,800"
11,M670,2022,High School Departments,MATH,4.0,WHOLE CLASS,"$ 465,692"
13,M670,2022,High School Departments,PHYSICAL EDUCATION,3.0,WHOLE CLASS,"$ 315,961"
14,M670,2022,High School Departments,SCIENCE - BIOLOGY,1.0,SUBJECT SPECIFIC,"$ 105,800"
15,M670,2022,High School Departments,SCIENCE - BIOLOGY,2.0,WHOLE CLASS,"$ 181,828"
17,M670,2022,High School Departments,SCIENCE - CHEMISTRY,1.0,SUBJECT SPECIFIC,"$ 105,800"
18,M670,2022,High School Departments,SCIENCE - GENERAL SCIENCE,1.0,SUBJECT SPECIFIC,"$ 105,800"
19,M670,2022,High School Departments,SOCIAL STUDIES,3.0,SUBJECT SPECIFIC,"$ 317,400"
20,M670,2022,High School Departments,SOCIAL STUDIES,4.0,WHOLE CLASS,"$ 423,200"
22,M670,2022,High School Departments,SPECIAL EDUCATION,9.0,ICT - Special Ed Teacher,"$ 989,717"
23,M670,2022,High School Departments,SPECIAL EDUCATION,1.0,WHOLE CLASS,"$ 20,800"
0,M670,2022,Special Needs - Support Services,SPEECH,1.0,PUSH IN/PULL OUT,"$ 103,083"
0,M670,2022,Guidance/Social Workers,Guidance Counselor,2.0,,"$ 297,405"
1,M670,2022,Guidance/Social Workers,School Social Worker,1.0,,"$ 154,225"
0,M670,2022,Paraprofessionals,CLASSROOM - General Ed,1.0,,"$ 41,003"
1,M670,2022,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),3.0,,"$ 75,195"
2,M670,2022,Paraprofessionals,IEP-HEALTH,2.0,,"$ 38,209"
0,M670,2022,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 216,003"
0,M670,2022,Per Diem,ABSENCE COVERAGE,,,"$ 181,284"
1,M670,2022,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 99,170"
0,M670,2022,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 243,827"
1,M670,2022,Per Session,PROFESSIONAL DEVELOPMENT,,,"$ 17,776"
2,M670,2022,Per Session,PUPIL PERSONNEL SERVICES,,,"$ 11,235"
3,M670,2022,Per Session,SPECIAL ED INSTRUCTIONAL PGMS,,,"$ 20,880"
4,M670,2022,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 120,765"
0,M670,2022,OTPS,Curriculum & Staff Development Contracts,,,"$ 9,250"
1,M670,2022,OTPS,Data Processing Repair - Contractual,,,"$ 5,888"
2,M670,2022,OTPS,Educational Consultants,,,"$ 331,272"
3,M670,2022,OTPS,Educational Software,,,"$ 10,398"
4,M670,2022,OTPS,Equipment - General,,,"$ 24,769"
5,M670,2022,OTPS,Internal DOE Services,,,"$ 17,605"
6,M670,2022,OTPS,Library Books,,,"$ 8,299"
7,M670,2022,OTPS,Non-Contractual Services,,,"$ 48,817"
8,M670,2022,OTPS,Supplies - General,,,"$ 241,789"
9,M670,2022,OTPS,Telephone and Other Communications,,,"$ 1,600"
10,M670,2022,OTPS,Textbooks,,,"$ 10,579"
11,M670,2022,OTPS,Transportation of Pupils - Contractual,,,"$ 4,500"
12,M670,2022,OTPS,Transportation of Pupils - Other,,,"$ 9,328"
0,M670,2022,Setasides,School Funded Copier,,,"$ 14,930"
0,M670,2022,Sixth period coverage,Not Available,,,"$ 35,940"
0,M670,2022,People Working Partial Year,People Working Partial Year,,,"$ 504,679"
0,M670,2021,Leadership,HEAD OF SCHOOL,1.0,,"$ 177,765"
1,M670,2021,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 164,903"
2,M670,2021,Leadership,INTERIM ACTING - ASST. PRINCIPAL,1.0,,"$ 40,109"
0,M670,2021,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 53,730"
0,M670,2021,Secretary,School Secretary,2.0,,"$ 138,115"
0,M670,2021,High School Departments,ARTS,1.0,WHOLE CLASS,"$ 102,002"
1,M670,2021,High School Departments,ENGLISH LANGUAGE ARTS,1.0,REDUCED CLASS SIZE,"$ 102,002"
2,M670,2021,High School Departments,ENGLISH LANGUAGE ARTS,3.0,WHOLE CLASS,"$ 246,062"
4,M670,2021,High School Departments,ESL,1.0,PUSH IN/PULL OUT,"$ 102,002"
5,M670,2021,High School Departments,HEALTH,1.0,WHOLE CLASS,"$ 102,002"
6,M670,2021,High School Departments,LANGUAGE,1.0,WHOLE CLASS,"$ 102,002"
7,M670,2021,High School Departments,LIBRARY,1.0,WHOLE CLASS,"$ 106,321"
8,M670,2021,High School Departments,MATH,1.0,ICT - Special Ed Teacher,"$ 102,002"
9,M670,2021,High School Departments,MATH,3.0,SUBJECT SPECIFIC,"$ 306,006"
10,M670,2021,High School Departments,MATH,1.0,SUPPLEMENTARY,"$ 102,002"
11,M670,2021,High School Departments,MATH,4.0,WHOLE CLASS,"$ 445,169"
13,M670,2021,High School Departments,MUSIC,1.0,SUBJECT SPECIFIC,"$ 102,002"
14,M670,2021,High School Departments,PHYSICAL EDUCATION,2.0,WHOLE CLASS,"$ 204,004"
15,M670,2021,High School Departments,SCIENCE - BIOLOGY,3.0,SUBJECT SPECIFIC,"$ 306,006"
16,M670,2021,High School Departments,SCIENCE - BIOLOGY,1.0,WHOLE CLASS,"$ 102,002"
18,M670,2021,High School Departments,SCIENCE - CHEMISTRY,1.0,SUBJECT SPECIFIC,"$ 102,002"
19,M670,2021,High School Departments,SCIENCE - GENERAL SCIENCE,1.0,SUBJECT SPECIFIC,"$ 103,240"
20,M670,2021,High School Departments,SOCIAL STUDIES,3.0,SUBJECT SPECIFIC,"$ 306,006"
21,M670,2021,High School Departments,SOCIAL STUDIES,3.0,WHOLE CLASS,"$ 306,006"
23,M670,2021,High School Departments,SPECIAL EDUCATION,10.0,ICT - Special Ed Teacher,"$ 904,955"
24,M670,2021,High School Departments,SPECIAL EDUCATION,1.0,WHOLE CLASS,"$ 97,524"
0,M670,2021,Special Needs - Support Services,SPEECH,1.0,PUSH IN/PULL OUT,"$ 99,109"
0,M670,2021,SAPIS,Substance Abuse Prevention & Interv Special Annual,1.0,,"$ 89,442"
0,M670,2021,Guidance/Social Workers,Guidance Counselor,2.0,,"$ 262,749"
0,M670,2021,Paraprofessionals,Class Mgr,0.0,,"$ 2,981"
1,M670,2021,Paraprofessionals,CLASSROOM - General Ed,1.0,,"$ 39,295"
2,M670,2021,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),5.0,,"$ 133,548"
3,M670,2021,Paraprofessionals,IEP-HEALTH,1.0,,"$ 7,831"
0,M670,2021,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 156,323"
0,M670,2021,Per Diem,ABSENCE COVERAGE,,,"$ 105,812"
1,M670,2021,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 94,391"
2,M670,2021,Per Diem,IEP-HEALTH,,,"$ 47,131"
0,M670,2021,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 94,185"
