,budget_assignment,num_positions,amount,budget_category,service_type,location_code,fiscal_year
270,HEAD OF SCHOOL,1.0,"$ 119,894",Leadership,,Q495,2022
271,ASST HEAD OF SCHOOL,3.0,"$ 401,645",Leadership,,Q495,2022
272,AP - ORGANIZATION,1.0,"$ 150,348",Leadership,,Q495,2022
273,AP - PUPIL PERSONNEL,1.0,"$ 142,235",Leadership,,Q495,2022
274,AP - SPECIAL ED,1.0,"$ 140,094",Leadership,,Q495,2022
275,AP - SUPERVISION,6.0,"$ 795,264",Leadership,,Q495,2022
276,PARENT COORDINATOR,1.0,"$ 43,968",Coordinator/Supervisor/Dean,,Q495,2022
277,School Secretary,8.0,"$ 538,248",Secretary,,Q495,2022
278,ARTS,1.0,"$ 106,690",High School Departments,SUBJECT SPECIFIC,Q495,2022
279,BUSINESS,2.0,"$ 206,872",High School Departments,SUBJECT SPECIFIC,Q495,2022
280,Commercial Art,4.0,"$ 476,915",High School Departments,SUBJECT SPECIFIC,Q495,2022
281,Computer Technology,1.0,"$ 106,690",High School Departments,SUBJECT SPECIFIC,Q495,2022
282,ENGLISH LANGUAGE ARTS,20.0,"$ 2,133,800",High School Departments,SUBJECT SPECIFIC,Q495,2022
283,ESL,1.0,"$ 106,690",High School Departments,SUBJECT SPECIFIC,Q495,2022
284,FL - CHINESE,3.0,"$ 320,070",High School Departments,SUBJECT SPECIFIC,Q495,2022
285,FL - FRENCH,2.0,"$ 213,380",High School Departments,SUBJECT SPECIFIC,Q495,2022
286,FL - Japanese,1.0,"$ 106,690",High School Departments,SUBJECT SPECIFIC,Q495,2022
287,FL - Korean,2.0,"$ 213,380",High School Departments,SUBJECT SPECIFIC,Q495,2022
288,FL - Mandarin,1.0,"$ 106,690",High School Departments,WHOLE CLASS,Q495,2022
289,FL - SPANISH,6.0,"$ 535,979",High School Departments,SUBJECT SPECIFIC,Q495,2022
290,HEALTH,1.0,"$ 106,690",High School Departments,SUBJECT SPECIFIC,Q495,2022
291,LIBRARY,2.0,"$ 213,380",High School Departments,SUBJECT SPECIFIC,Q495,2022
292,MATH,23.0,"$ 2,416,977",High School Departments,SUBJECT SPECIFIC,Q495,2022
293,Media Communications,2.0,"$ 148,641",High School Departments,SUBJECT SPECIFIC,Q495,2022
294,MUSIC,4.0,"$ 368,166",High School Departments,SUBJECT SPECIFIC,Q495,2022
295,PHYSICAL EDUCATION,13.0,"$ 1,333,806",High School Departments,SUBJECT SPECIFIC,Q495,2022
296,SCIENCE - BIOLOGY,9.0,"$ 930,913",High School Departments,SUBJECT SPECIFIC,Q495,2022
297,SCIENCE - CHEMISTRY,8.0,"$ 716,818",High School Departments,SUBJECT SPECIFIC,Q495,2022
298,SCIENCE - GENERAL SCIENCE,1.0,"$ 106,690",High School Departments,SUBJECT SPECIFIC,Q495,2022
299,SCIENCE - GENERAL SCIENCE,1.0,"$ 106,690",High School Departments,WHOLE CLASS,Q495,2022
300,SCIENCE - GENERAL SCIENCE,2.0,"$ 213,380",High School Departments,Sub-Total,Q495,2022
301,SCIENCE - PHYSICS,4.0,"$ 426,760",High School Departments,SUBJECT SPECIFIC,Q495,2022
302,SOCIAL STUDIES,20.0,"$ 2,042,665",High School Departments,SUBJECT SPECIFIC,Q495,2022
303,SPECIAL EDUCATION,17.0,"$ 1,716,077",High School Departments,ICT - Special Ed Teacher,Q495,2022
304,SPECIAL EDUCATION,2.0,"$ 213,380",High School Departments,SELF-CONTAINED SP ED,Q495,2022
305,SPECIAL EDUCATION,11.0,"$ 1,062,206",High School Departments,SUBJECT SPECIFIC,Q495,2022
306,SPECIAL EDUCATION,30.0,"$ 2,991,663",High School Departments,Sub-Total,Q495,2022
307,TECHNOLOGY,1.0,"$ 106,690",High School Departments,SUBJECT SPECIFIC,Q495,2022
