,allocation_category,amount,location_code,fiscal_year
129,TL NYSTL Library Books HS,"$ 6,568",Q566,2020
130,TL NYSTL Software HS,"$ 12,068",Q566,2020
131,TL NYSTL Textbooks HS,"$ 41,151",Q566,2020
132,TL OTPS for PSAL HS,"$ 2,462",Q566,2020
133,TL Parent Coordinator HS,"$ 37,879",Q566,2020
134,TL Parent Coordinator OTPS HS,$ 500,Q566,2020
135,TL RS IEP Para,"$ 26,600",Q566,2020
136,TL RS IEP Teacher HS,"$ 92,055",Q566,2020
137,TL RS Mandated Counseling Shared,"$ 55,836",Q566,2020
138,TL RS Mandated Speech Shared,"$ 193,386",Q566,2020
139,TL RS Occupational Therapist PS Shared,"$ 77,181",Q566,2020
140,TL SBST Shared,"$ 143,603",Q566,2020
141,TL SE Specialized Programs ASD,"$ 739,978",Q566,2020
142,TL Summer in the City ASD,"$ 10,924",Q566,2020
143,TL Summer in the City Shared,"$ 34,983",Q566,2020
144,TL Summer in the City Support Shared,"$ 5,201",Q566,2020
145,TL Translation Services,"$ 1,373",Q566,2020
146,Contract for Excellence FY 09 HS,"$ 93,807",Q566,2019
147,IDEA RS IEP Para,"$ 78,045",Q566,2019
148,Private Grant 56 - PlayOn Sports,$ 525,Q566,2019
149,Self Sustaining 60,$ 525,Q566,2019
150,Sequester Aid IDEA RS IEP Paras,"$ 8,339",Q566,2019
151,Sequester Aid Title I STH for Non-Title I Schools,"$ 1,101",Q566,2019
152,Title I STH for Non Title I Schools,"$ 10,801",Q566,2019
153,Title III Translation Services,"$ 4,468",Q566,2019
154,TL 09 C4E CTT HS,"$ 106,622",Q566,2019
155,TL Arts Studio HS,$ 850,Q566,2019
156,TL CB Per Session Per Diem Prep,"$ 1,941",Q566,2019
157,TL CB School Staff,"$ 15,324",Q566,2019
158,TL CB School Staff Related Services,"$ 3,282",Q566,2019
159,TL Computer Maintenance HS,"$ 25,605",Q566,2019
160,TL Deferred Program Planning Initiative HS,"$ 36,707",Q566,2019
161,TL E&E Advanced Placement for All HS,"$ 30,383",Q566,2019
162,TL E&E AP for All PSPD HS,"$ 25,302",Q566,2019
163,TL E&E AP for All Support HS,"$ 55,700",Q566,2019
164,TL E&E College Access 4 All HS,"$ 50,000",Q566,2019
165,TL ELA/Math Student Support,"$ 43,100",Q566,2019
166,TL ELL Initiative College Ready,"$ 5,009",Q566,2019
167,TL Fair Student Funding HS,"$ 6,597,619",Q566,2019
168,TL FSF Floor Raise HS,"$ 131,833",Q566,2019
169,TL FSF Legacy Teacher Supplement HS,"$ 37,522",Q566,2019
170,TL GE CB School Staff,"$ 57,387",Q566,2019
171,TL LEAP HS,"$ 1,250",Q566,2019
172,TL MOSL,"$ 1,700",Q566,2019
173,TL NYSTL Hardware HS,"$ 11,416",Q566,2019
174,TL NYSTL Library Books HS,"$ 6,703",Q566,2019
175,TL NYSTL Software HS,"$ 10,975",Q566,2019
176,TL NYSTL Textbooks HS,"$ 62,333",Q566,2019
177,TL OTPS for PSAL HS,"$ 2,462",Q566,2019
178,TL Parent Coordinator HS,"$ 28,567",Q566,2019
179,TL Parent Coordinator OTPS HS,$ 500,Q566,2019
180,TL RS IEP Para,"$ 111,802",Q566,2019
181,TL RS IEP Teacher HS,"$ 89,415",Q566,2019
182,TL RS Mandated Counseling Shared,"$ 68,734",Q566,2019
183,TL RS Mandated Speech Shared,"$ 187,274",Q566,2019
184,TL RS Occupational Therapist PS Shared,"$ 75,145",Q566,2019
185,TL SBST Shared,"$ 137,924",Q566,2019
186,TL SE CB School Staff,"$ 22,748",Q566,2019
187,TL SE Specialized Programs ASD,"$ 358,783",Q566,2019
188,TL Social and Emotional Learning HS,"$ 9,000",Q566,2019
189,TL Strong Schools Strong Communities HS,"$ 16,000",Q566,2019
190,TL Summer in the City ASD,"$ 10,530",Q566,2019
191,TL Summer in the City Shared,"$ 34,786",Q566,2019
192,TL Summer in the City Support Shared,"$ 5,097",Q566,2019
193,TL Terminal and Paid Leaves,"$ 58,148",Q566,2019
194,TL Translation Services,"$ 1,318",Q566,2019
195,TL Vision for School Improvement,"$ 24,888",Q566,2019
196,AIDP Attendance Shared,"$ 130,303",Q566,2018
197,Contract for Excellence FY 09 HS,"$ 80,233",Q566,2018
198,IDEA RS IEP Para,"$ 88,243",Q566,2018
199,IDEA SBST Shared,"$ 71,638",Q566,2018
200,Sequester Aid IDEA RS IEP Paras,"$ 9,428",Q566,2018
201,Sequester Aid Title I STH for Non-Title I Schools,$ 670,Q566,2018
202,Title I STH for Non Title I Schools,"$ 6,352",Q566,2018
203,Title III Translation Services,"$ 4,599",Q566,2018
204,TL 09 C4E CTT HS,"$ 106,622",Q566,2018
205,TL 12-Month AP HS,"$ 13,678",Q566,2018
206,TL Arts Studio HS,"$ 1,165",Q566,2018
207,TL CB School Staff,"$ 14,474",Q566,2018
208,TL Computer Maintenance HS,"$ 17,437",Q566,2018
209,TL Deferred Program Planning Initiative HS,"$ 120,000",Q566,2018
210,TL E&E Advanced Placement for All HS,"$ 29,727",Q566,2018
211,TL E&E AP for All Support HS,"$ 38,883",Q566,2018
212,TL E&E LINCT Program HS,"$ 1,068",Q566,2018
213,TL ELA/Math Student Support,"$ 33,005",Q566,2018
214,TL ELL Initiative College Ready,"$ 7,904",Q566,2018
215,TL Fair Student Funding HS,"$ 6,404,135",Q566,2018
216,TL FSF Legacy Teacher Supplement HS,"$ 12,398",Q566,2018
217,TL FSF Post-IEP Support HS,$ 980,Q566,2018
218,TL MOSL,"$ 1,700",Q566,2018
219,TL NYSTL Hardware HS,"$ 12,139",Q566,2018
220,TL NYSTL Library Books HS,"$ 6,919",Q566,2018
221,TL NYSTL Software HS,"$ 11,351",Q566,2018
222,TL NYSTL Textbooks HS,"$ 64,451",Q566,2018
223,TL OTPS for PSAL HS,"$ 2,462",Q566,2018
224,TL Parent Coordinator HS - Flexible,"$ 46,720",Q566,2018
225,TL Parent Coordinator OTPS HS,$ 500,Q566,2018
226,TL RS IEP Para,"$ 185,477",Q566,2018
227,TL RS IEP Teacher HS,"$ 86,136",Q566,2018
228,TL RS Mandated Counseling Shared,"$ 67,182",Q566,2018
229,TL RS Mandated Speech Shared,"$ 90,166",Q566,2018
230,TL RS Occupational Therapist PS Shared,"$ 72,148",Q566,2018
231,TL SBST Shared,"$ 81,723",Q566,2018
232,TL Social and Emotional Learning HS,"$ 5,000",Q566,2018
233,TL Strong Schools Strong Communities HS,"$ 16,000",Q566,2018
234,TL Summer in the City Shared,"$ 35,360",Q566,2018
235,TL Translation Services,"$ 1,357",Q566,2018
236,TL Vision for School Improvement,"$ 24,888",Q566,2018
237,ARPA Academic Recovery,"$ 480,000",Q495,2022
238,ARPA Academic Recovery Arts,"$ 120,000",Q495,2022
239,ARPA Academic Recovery NYSITELL Testing Admin,"$ 20,881",Q495,2022
240,ARPA Academic Recovery Para Summer Rising,"$ 6,978",Q495,2022
241,ARPA Academic Recovery SE After-School Instruction,"$ 265,282",Q495,2022
242,ARPA Academic Recovery SE Counseling,"$ 13,273",Q495,2022
243,ARPA Academic Recovery SE Intervention Training,"$ 2,363",Q495,2022
244,ARPA Academic Recovery SE Planning Prep,"$ 27,458",Q495,2022
245,ARPA Academic Recovery SE RS Related Services,"$ 41,935",Q495,2022
246,ARPA Academic Recovery SE Support Summer Rising,"$ 13,261",Q495,2022
247,ARPA Election Day Remote Planning,"$ 4,258",Q495,2022
248,ARPA LA MYA Register Relief,"$ 80,028",Q495,2022
249,ARPA School COVID Planning Expansion,"$ 53,543",Q495,2022
250,ARPA Vaccine Policy Coverage,"$ 181,556",Q495,2022
251,Contract for Excellence FY 09 HS,"$ 553,330",Q495,2022
252,CRRSA Computer Maintenance,"$ 10,356",Q495,2022
253,CRRSA CRSE Arts Studio,"$ 1,927",Q495,2022
254,CRRSA OTPS for PSAL,"$ 3,294",Q495,2022
255,CRRSA Restoration Arts Studio,"$ 4,883",Q495,2022
256,CRRSA Situation Room,"$ 18,107",Q495,2022
257,High Need Support for Title I,"$ 135,692",Q495,2022
258,High Need Support for Title I STH,"$ 12,404",Q495,2022
259,IDEA RS IEP Para,"$ 182,010",Q495,2022
260,Lazard Academy program-30q301 26q495 29q326 24q293,"$ 6,891",Q495,2022
261,OASAS County Initiative Prevention,"$ 10,000",Q495,2022
262,OASAS Sub Abuse,"$ 79,852",Q495,2022
263,OASAS Sub Abuse OTPS,"$ 1,500",Q495,2022
264,Perkins V,"$ 354,779",Q495,2022
265,Private Grant 32,"$ 5,000",Q495,2022
266,Title I SWP,"$ 1,264,374",Q495,2022
267,Title I SWP Carry Over,"$ 138,935",Q495,2022
268,Title I SWP Carry Over Parent and Family Engage,"$ 5,635",Q495,2022
269,Title I SWP Parent and Family Engagement,"$ 12,644",Q495,2022
270,Title I SWP STH,"$ 115,575",Q495,2022
271,Title III Immigrant Carryover,"$ 6,114",Q495,2022
272,Title III LEP,"$ 27,624",Q495,2022
273,Title III Translation Services,"$ 8,443",Q495,2022
274,Title IV Fall Reopening Planning Grant,"$ 22,344",Q495,2022
275,Title IV Safe Healthy Counseling Summer Rising,"$ 10,450",Q495,2022
276,Title IV Well Rounded ELA Math Support,"$ 33,508",Q495,2022
277,TL 09 C4E ICT HS,"$ 7,108",Q495,2022
278,TL 12-Month AP HS,"$ 29,736",Q495,2022
279,TL CB School Staff,"$ 229,409",Q495,2022
280,TL Computer Maintenance HS,"$ 50,338",Q495,2022
281,TL CRRSA COVID MYA Register Relief HS,"$ 22,572",Q495,2022
282,TL CRRSA FSF Floor Raise HS,"$ 773,766",Q495,2022
283,TL CRRSA Surplus Rollover HS,"$ 213,048",Q495,2022
284,TL CTE Programs HS,"$ 815,718",Q495,2022
285,TL E&E College Access 4 All HS,"$ 22,000",Q495,2022
286,TL ELA/Math Student Support,"$ 97,007",Q495,2022
287,TL Fair Student Funding HS,"$ 20,157,958",Q495,2022
288,TL FSF Floor Raise HS,"$ 1,310,853",Q495,2022
289,TL FSF Post-IEP Support HS,"$ 9,628",Q495,2022
290,TL High School Screened Arts Program,"$ 11,112",Q495,2022
291,TL LOTE,$ 199,Q495,2022
292,TL MOSL,"$ 2,100",Q495,2022
293,TL NYSTL Hardware HS,"$ 31,597",Q495,2022
294,TL NYSTL Library Books HS,"$ 18,486",Q495,2022
295,TL NYSTL Software HS,"$ 29,058",Q495,2022
296,TL NYSTL Textbooks HS,"$ 171,422",Q495,2022
297,TL Parent Coordinator HS,"$ 43,968",Q495,2022
298,TL Parent Coordinator OTPS HS,$ 500,Q495,2022
299,TL Permanent Placement 2022,"$ 106,690",Q495,2022
300,TL RS IEP Para,"$ 755,946",Q495,2022
301,TL RS IEP Teacher HS,"$ 106,690",Q495,2022
302,TL RS Mandated Counseling Shared,"$ 199,991",Q495,2022
303,TL RS Mandated Speech Shared,"$ 309,249",Q495,2022
304,TL RS Occupational Therapist PS Shared,"$ 81,110",Q495,2022
305,TL SBST Shared,"$ 230,372",Q495,2022
306,TL Situation Room,$ 282,Q495,2022
307,TL Student Club Advisor PS,"$ 2,125",Q495,2022
308,TL Student Club Initiative OTPS,"$ 2,300",Q495,2022
309,TL Summer Rising Shared,"$ 216,864",Q495,2022
310,TL Summer Rising Support Shared,"$ 7,193",Q495,2022
311,TL Terminal and Paid Leaves,"$ 148,403",Q495,2022
312,TL Translation Services,"$ 6,043",Q495,2022
313,Contract for Excellence FY 09 HS,"$ 553,330",Q495,2021
314,High Need Support for Title I,"$ 138,187",Q495,2021
315,IDEA RS IEP Para,"$ 40,000",Q495,2021
316,OASAS County Initiative Prevention,"$ 8,889",Q495,2021
317,OASAS Sub Abuse,"$ 80,709",Q495,2021
318,Perkins V,"$ 371,256",Q495,2021
319,Rollover New Visions 02 - Private Grants,"$ 1,376",Q495,2021
320,Title I STH,"$ 13,100",Q495,2021
321,Title I STH Carry Over,"$ 13,100",Q495,2021
322,Title I SWP,"$ 1,292,519",Q495,2021
323,Title I SWP Carry Over,"$ 153,369",Q495,2021
324,Title I SWP Parent and Family Engagement,"$ 13,203",Q495,2021
325,Title I SWP Translation Services,"$ 8,107",Q495,2021
326,Title III Immigrant,"$ 14,597",Q495,2021
327,Title III Immigrant Carryover,"$ 14,620",Q495,2021
328,Title III LEP,"$ 22,866",Q495,2021
329,Title IV Summer Rising Reopening Planning,"$ 9,649",Q495,2021
330,Title IV Well Rounded ELA Math Support,"$ 31,741",Q495,2021
331,TL 09 C4E ICT HS,"$ 7,108",Q495,2021
332,TL 12-Month AP HS,"$ 30,790",Q495,2021
333,TL Arts Studio HS,"$ 3,360",Q495,2021
334,TL CB School Staff,"$ 264,562",Q495,2021
335,TL Computer Maintenance HS,"$ 23,138",Q495,2021
336,TL CTE Programs HS,"$ 778,896",Q495,2021
337,TL CTE WBL HS,"$ 11,627",Q495,2021
338,TL E&E AP for All Support HS,"$ 19,451",Q495,2021
339,TL E&E College Access 4 All HS,"$ 50,000",Q495,2021
340,TL ELA/Math Student Support,"$ 88,860",Q495,2021
341,TL ELL Initiative College Ready,"$ 19,510",Q495,2021
342,TL Fair Student Funding HS,"$ 19,214,655",Q495,2021
343,TL FSF Post-IEP Support HS,"$ 10,924",Q495,2021
344,TL High School Screened Arts Program,"$ 5,556",Q495,2021
345,TL Implicit Bias Awareness,$ 821,Q495,2021
346,TL Instructional Leadership Framework,"$ 27,109",Q495,2021
347,TL NYSTL Hardware HS,"$ 31,007",Q495,2021
348,TL NYSTL Library Books HS,"$ 17,829",Q495,2021
349,TL NYSTL Software HS,"$ 28,595",Q495,2021
350,TL NYSTL Textbooks HS,"$ 165,628",Q495,2021
351,TL Parent Coordinator HS,"$ 43,968",Q495,2021
352,TL Parent Coordinator OTPS HS,$ 500,Q495,2021
353,TL Periodic Assessment,"$ 2,100",Q495,2021
354,TL RS IEP Para,"$ 563,667",Q495,2021
355,TL RS IEP Teacher HS,"$ 102,326",Q495,2021
356,TL RS Mandated Counseling Shared,"$ 197,951",Q495,2021
357,TL RS Mandated Speech Shared,"$ 297,327",Q495,2021
358,TL RS Occupational Therapist PS Shared,"$ 78,516",Q495,2021
359,TL SBST Shared,"$ 238,644",Q495,2021
360,TL School COVID Planning Supplement,"$ 18,111",Q495,2021
361,TL Student Club Advisor PS,"$ 1,800",Q495,2021
362,TL Student Club Initiative OTPS,"$ 2,500",Q495,2021
363,TL Summer in the City Shared,"$ 28,161",Q495,2021
364,TL Terminal and Paid Leaves,"$ 7,831",Q495,2021
365,TL Translation Services,"$ 5,681",Q495,2021
366,Contract for Excellence FY 09 HS,"$ 553,330",Q495,2020
367,FY20 Grant in Aid Assembly (08670),"$ 25,000",Q495,2020
368,High Need Support for Title I,"$ 132,784",Q495,2020
369,IDEA RS IEP Para,"$ 69,198",Q495,2020
370,New Visions 26 - Astor Collaboration,$ 499,Q495,2020
371,OASAS County Initiative Prevention,"$ 8,889",Q495,2020
372,OASAS Sub Abuse,"$ 79,200",Q495,2020
373,OASAS Sub Abuse OTPS,"$ 1,000",Q495,2020
374,Private Grant 37,$ 500,Q495,2020
375,Private Grant 39,"$ 7,000",Q495,2020
376,Private Grant 99 Energy Demand (02999),"$ 4,935",Q495,2020
377,Title I SWP,"$ 1,347,467",Q495,2020
378,Title I SWP Parent and Family Engagement,"$ 13,611",Q495,2020
379,Title III Immigrant,"$ 16,076",Q495,2020
380,Title III LEP,"$ 28,878",Q495,2020
381,Title III Translation Services,"$ 7,819",Q495,2020
382,TL 09 C4E CTT HS,"$ 7,108",Q495,2020
383,TL Arts Studio HS,"$ 6,055",Q495,2020
384,TL CB School Staff,"$ 255,333",Q495,2020
385,TL CFES RIS Rule 10,"$ 28,591",Q495,2020
386,TL Computer Maintenance HS,"$ 23,138",Q495,2020
387,TL Continuous Improvement HS,"$ 16,000",Q495,2020
388,TL CTE Programs HS,"$ 676,122",Q495,2020
389,TL E&E College Access 4 All HS,"$ 60,000",Q495,2020
390,TL E&E LINCT Program HS,$ 555,Q495,2020
391,TL ELA/Math Student Support,"$ 85,602",Q495,2020
392,TL Fair Student Funding HS,"$ 17,631,016",Q495,2020
393,TL FSF School to School Transfers Shared HS,"$ 179,842",Q495,2020
394,TL High School Screened Arts Program,"$ 8,760",Q495,2020
395,TL Implicit Bias Awareness,"$ 3,252",Q495,2020
396,TL Instructional Leadership Framework,"$ 29,907",Q495,2020
397,TL LOTE,$ 190,Q495,2020
398,TL MOSL,"$ 2,100",Q495,2020
399,TL NYSTL Hardware HS,"$ 28,565",Q495,2020
400,TL NYSTL Library Books HS,"$ 17,515",Q495,2020
401,TL NYSTL Software HS,"$ 28,252",Q495,2020
402,TL NYSTL Textbooks HS,"$ 162,775",Q495,2020
403,TL OTPS for PSAL HS,"$ 3,294",Q495,2020
404,TL Parent Coordinator HS,"$ 43,558",Q495,2020
405,TL Parent Coordinator OTPS HS,$ 500,Q495,2020
406,TL RS IEP Para,"$ 542,149",Q495,2020
407,TL RS IEP Teacher HS,"$ 97,016",Q495,2020
408,TL RS Mandated Counseling Shared,"$ 192,180",Q495,2020
409,TL RS Mandated Speech Shared,"$ 290,079",Q495,2020
410,TL RS Occupational Therapist PS Shared,"$ 77,181",Q495,2020
411,TL RS Speech Sixth Period Coverage,"$ 2,207",Q495,2020
412,TL SBST Shared,"$ 237,001",Q495,2020
413,TL Section 504,"$ 38,197",Q495,2020
414,TL Student Club Advisor PS,"$ 2,000",Q495,2020
415,TL Student Club Initiative OTPS,"$ 2,300",Q495,2020
416,TL Summer in the City Shared,"$ 98,106",Q495,2020
417,TL Summer in the City Support Shared,"$ 5,688",Q495,2020
418,TL Terminal and Paid Leaves,"$ 43,864",Q495,2020
419,TL Translation Services,"$ 4,745",Q495,2020
420,VATEA,"$ 352,548",Q495,2020
421,VATEA WBL HS,"$ 27,448",Q495,2020
422,Contract for Excellence FY 09 HS,"$ 553,330",Q495,2019
423,Funds Pub Schl 357 - Big Apple Awards,"$ 1,177",Q495,2019
424,IDEA RS IEP Para,"$ 166,819",Q495,2019
425,New Visions 09 - Curriculum Professional Develop,$ 386,Q495,2019
426,New Visions 10 - Supp/Dev for Schl Libry Curr Dev,"$ 4,750",Q495,2019
427,OASAS County Initiative Prevention,"$ 8,888",Q495,2019
428,OASAS Sub Abuse,"$ 74,236",Q495,2019
429,OASAS Sub Abuse OTPS,$ 500,Q495,2019
430,Private Grant 40,"$ 6,500",Q495,2019
431,Sequester Aid IDEA RS IEP Paras,"$ 18,135",Q495,2019
432,Sequester/2010 Census Title I SWP,"$ 138,046",Q495,2019
433,Title I SWP,"$ 1,341,251",Q495,2019
434,Title I SWP Parent and Family Engagement,"$ 13,548",Q495,2019
435,Title III LEP,"$ 27,342",Q495,2019
436,Title III Translation Services,"$ 7,819",Q495,2019
437,TL 09 C4E CTT HS,"$ 7,108",Q495,2019
438,TL Achieve Now,"$ 30,000",Q495,2019
439,TL Arts Studio HS,"$ 5,100",Q495,2019
440,TL CB Per Session Per Diem Prep,"$ 7,950",Q495,2019
441,TL CB School Staff,"$ 245,753",Q495,2019
442,TL CB School Staff Related Services,"$ 4,078",Q495,2019
443,TL Computer Maintenance HS,"$ 18,420",Q495,2019
444,TL CTE Programs HS,"$ 655,196",Q495,2019
445,TL CTE WBL HS,"$ 18,762",Q495,2019
446,TL E&E College Access 4 All HS,"$ 80,000",Q495,2019
447,TL ELA/Math Student Support,"$ 82,246",Q495,2019
448,TL Fair Student Funding HS,"$ 16,761,351",Q495,2019
449,TL FSF Floor Raise HS,"$ 528,178",Q495,2019
450,TL FSF Legacy Teacher Supplement HS,"$ 70,703",Q495,2019
451,TL FSF School to School Transfers Shared HS,"$ 77,034",Q495,2019
452,TL GE CB School Staff,"$ 210,674",Q495,2019
453,TL High School Screened Arts Program,"$ 6,864",Q495,2019
454,TL Long Term Absence,"$ 11,320",Q495,2019
