,memorandum_category,galaxy_title
91,Pre-K and 3-K for All Programs in District Schools,3-K for All
92,Pre-K and 3-K for All Programs in District Schools,4-K for All 
93,Pre-K and 3-K for All Programs in District Schools,Pre-K SCIS Classes
94,Pre-K and 3-K for All in Pre-K Center Programs,Pre-K Medicaid Speech Providers
95,Pre-K and 3-K for All in Pre-K Center Programs,4-K Pre-K Center
96,Pre-K and 3-K for All in Pre-K Center Programs,3-K Pre-K Center
97,Pre-K and 3-K for All in Pre-K Center Programs,Pre-K Special Ed Classes
98,Pre-K and 3-K for All in Pre-K Center Programs,RS Pre-K Special Classes
99,Pre-K and 3-K for All in Pre-K Center Programs,Pre-K SCIS Classes
100,Robin Hood Libraries,TL Robin Hood Libraries
101,School Support Supplement,School Support Supplement
102,District 75 Special Education Citywide Programs,TL RS ESL CW
103,District 75 Special Education Citywide Programs,TL RS Therapist OTPS CW
104,District 75 Special Education Citywide Programs,TL Supplemental Instructional Support CW
105,District 75 Special Education Citywide Programs,TL COACH CW
106,District 75 Special Education Citywide Programs,TL RS Related Services CW
107,District 75 Special Education Citywide Programs,TL Project Arts CW
108,District 75 Special Education Citywide Programs,TL RS OT CW
109,District 75 Special Education Citywide Programs,TL Supplemental Instructional Services CW
110,District 75 Special Education Citywide Programs,TL RS IEP Para CW
111,District 75 Special Education Citywide Programs,TL RS Pre-K Related Services CW
112,District 75 Special Education Citywide Programs,TL RS BUS PARAS CW
113,District 75 Special Education Citywide Programs,TL RS Attendance CW
114,District 75 Special Education Citywide Programs,TL Specialized Equipment CW
115,District 75 Special Education Citywide Programs,TL Home and Hospital
116,District 75 Special Education Citywide Programs,TL Travel Training CW and
117,District 75 Special Education Citywide Programs,IDEA RS IEP Para CW
118,District 75 Special Education Citywide Programs,TL RS Pre-K Related Services
119,District 75 Special Education Citywide Programs,TL RS Speech CW
120,District 75 Special Education Citywide Programs,TL RS PT CW
121,District 75 Special Education Citywide Programs,TL TRAVELTRAINING CW
122,District 75 Special Education Citywide Programs,TL RS Counseling CW
123,District 75 Special Education Citywide Programs,TL Home & Hospitals
124,District 75 Special Education Citywide Programs,Tax Levy Pre-K Program Support
125,District 75 Special Education Citywide Programs,TL Pre-K Program Support CW
126,District 75 Special Education Citywide Programs,TL Instructional Programs CW
127,District 75 Special Education Citywide Programs,TL BMS CW
128,District 79 Alternative Programs,TL LYFE
129,District 79 Alternative Programs,TL Close To Home
130,District 79 Alternative Programs,TL STEP 79
131,District 79 Alternative Programs,TL HS Equivalency
132,District 79 Alternative Programs,TL Instructional Programs Adult ED HS D79
133,District 79 Alternative Programs,TL ReStart D79
134,District 79 Alternative Programs,TL CTE Co-op Course D79
135,District 79 Alternative Programs,TL Instructional Program HS YABC
136,District 79 Alternative Programs,TL 80 80 Rikers D79
137,District 79 Alternative Programs,TL Instructional Programs HS D79
138,School Based IEP Team Staff,"(TL SBST Shared, TL SBST Shared D79)"
139,School Based IEP Team Staff,"TL SBST Shared, TL SBST Shared D79, IDEA SBST Shared and IDEA SBST Shared D79"
140,School Based IEP Team Staff,TL SBST Shared
141,School Based IEP Team Staff,"(IDEA SBST Shared, IDEA SBST Shared D79)"
142,School Based IEP Team Staff,TL SBST Shared D79
143,School Based IEP Team Staff,IDEA SBST Shared D79
144,School Based IEP Team Staff,IDEA SBST Shared
145,Title III Limited English Proficient (LEP) Program,Title III LEP CW
146,Title III Limited English Proficient (LEP) Program,Title III LEP
147,Salary Subsidy for Excess Staff Hired to Permanent Assignments,TL School Incentive (D79/D97) 2021 C1
148,Salary Subsidy for Excess Staff Hired to Permanent Assignments,TL Permanent Placement
149,AIDP Attendance Social Worker Community Schools,AIDP Community School Social Workers
150,Deficit Rollover,TL Instructional Programs
151,Deficit Rollover,TL Instructional Programs HS
152,Deficit Rollover,TL Fair Student Funding
153,Deficit Rollover,TL Fair Student Funding HS
154,Physical and Health Education Initiative,"TL Physical Education Initiative - Cohort 1, TL Physical Education Initiative - Cohort 2, TL Physical Education Initiative - Cohort 3"
155,Physical and Health Education Initiative,TL HEW School Wellness Council (CW)
156,Physical and Health Education Initiative,TL CHAMPS (CW)
157,Arts Funding Initiatives,"TL Broadway Junior Arts Supplement, TL Broadway Junior Arts Supplement CW, TL Broadway Junior Arts Supplement OTPS, TL Broadway Junior Arts Supplement OTPS CW"
158,Arts Funding Initiatives,"TL Arts Studio, TL Arts Studio HS, and TL Arts Studio CW"
159,Arts Funding Initiatives,TL High School Screened Arts Program Supplement
160,Arts Funding Initiatives,"TL ELL/Special Needs Partner Arts Project OTPS, TL ELL/Special Needs Partner Arts Project OTPS HS or TL ELL/Special Needs Partner Arts Project OTPS CW –"
161,Arts Funding Initiatives,TL High School Screened Arts Program
162,Arts Funding Initiatives,TL Parent and Arts Partner Program OTPS CW
163,Arts Funding Initiatives,TL HS Arts Teachers Continuation
164,Arts Funding Initiatives,"TL Parent and Arts Partner Program OTPS, TL Parent and Arts Partner Program OTPS HS"
165,Safe and Supportive Opportunity Program Expanded (SSOPE),TL SAFE & SUPPORTIVE OPPORTUNITY
166,School COVID-19 Planning Supplement,TL School COVID Planning Supplement D79
167,School COVID-19 Planning Supplement,TL School COVID Planning Supplement CW
168,School COVID-19 Planning Supplement,TL School COVID Planning Supplement
169,Guidance Counselors in High Need Schools,TL Guidance Support High Need
170,Guidance Counselors in High Need Schools,TL Guidance Support High Need HS
171,Substance Abuse Violence Prevention,"OASAS SUB ABUSE, TL SAPIS or OASAS LEGISLATIVE INITIATIVE"
172,School Social Workers in High-Need Schools,TL Social Worker Support High Need
173,Attendance Improvement/Dropout Prevention (AIDP) and Tax Levy (TL) Attendance Teachers,AIDP Attendance Shared
174,Attendance Improvement/Dropout Prevention (AIDP) and Tax Levy (TL) Attendance Teachers,TL Attendance Shared
175,AIDP Students in Temporary Housing (STH),AIDP STH School and Site Based Shared
176,Success Via Apprenticeship (SVA),TL SVA HS
177,Alternate Learning Centers,TL BOROUGH SUSPENSION CENTER
178,Smart Schools Bond Act,Smart Schools Bond Act
179,Students Attending Institutional Facilities,Title I Neglected D79 and Title I Delinquent D79
180,City Council Member Items,TL City Council Member Items
181,City Council Member Items,TL City Council Member Items Vendors
182,Translation and Interpretation Services,Title I SWP Translation Services
183,Translation and Interpretation Services,Title I Targeted Assistance Translation Services
184,Translation and Interpretation Services,TL Translation Services
185,Translation and Interpretation Services,TL Translation Services CW
186,Translation and Interpretation Services,Title III Translation Services
187,Computer Maintenance,TL Computer Maintenance CW
188,Computer Maintenance,TL Computer Maintenance
189,Computer Maintenance,TL Computer Maintenance HS
190,Law Enforcement Academy,TL Justice Center Law Enforcement HS
191,Psychologist in Training,TL SBST PITs Shared
192,School COVID-19 Reopening Staffing Supplement,TL COVID Teacher Support
193,School COVID-19 Reopening Staffing Supplement,TL COVID Teacher Support CW
194,School COVID-19 Reopening Staffing Supplement,TL CRRSA COVID Teacher Support D79
195,School COVID-19 Reopening Staffing Supplement,TL CRRSA COVID Teacher Support CW
196,School COVID-19 Reopening Staffing Supplement,TL COVID Teacher Support D79
197,School COVID-19 Reopening Staffing Supplement,TL CRRSA COVID Teacher Support
198,Equity & Excellence: Advanced Placement for All,TL E&E Advanced Placement for All HS
199,Equity & Excellence: Advanced Placement for All,TL E&E AP for All PSPD HS
200,Equity & Excellence: Advanced Placement for All,TL E&E AP for All Support HS
201,"UFT Union Officers, District Representatives and Functional Chapter Leaders",TL UFT Officers – Reps and Chapt Leaders CW
202,"UFT Union Officers, District Representatives and Functional Chapter Leaders",TL UFT Officers – Reps and Chapt Leaders
203,"UFT Union Officers, District Representatives and Functional Chapter Leaders",TL UFT Officers – Reps and Chapt Leaders HS
204,Junior Reserve Officers Training Corps (JROTC),TL ROTC
205,Carl D. Perkins Career and Technical Education (Perkins V),Perkins V
206,Teacher and School Leader Grant,TSL Grant
207,Identity-Based Student Clubs,TL Student Club Initiative OTPS
208,Identity-Based Student Clubs,TL Student Club Advisor PS (CW)
209,Student Mentoring Programs,TL YMI Eagle Academy
210,Student Mentoring Programs,TL NYC MENTORING OTPS
211,Student Mentoring Programs,TL YMI Peer to Peer
212,Student Mentoring Programs,TL YMI NINE SQUARED
213,Student Mentoring Programs,TL NYC MENTORING PS
214,College and Career Readiness for MLLs/ELLs Initiative,TL ELL Initiative College Ready
215,Long Term Absence,TL ASA HH
216,Long Term Absence,TL Long Term Absence
217,Instructional Leadership Framework,TL Instructional Leadership Framework (CW)
218,Summer in the City 12-Month Assistant Principal,TL 12-Month AP or TL 12-Month AP HS
219,Periodic Assessment Administration,TL Periodic Assessment (CW)
220,Sustainability Initiatives,Private Grant 99 Energy Demand
221,Sustainability Initiatives,PLANYC DCAS DOE Energy Challenge School Awards
222,Attendance Improvement/Dropout Prevention (AIDP) Discretionary Allocation,AIDP
223,College Access for All Initiative,TL E&E College Access 4 ALL CW
224,College Access for All Initiative,TL E&E College Access 4 ALL HS
225,Educator Pipeline Programs,TL YMI Men Teach
226,Educator Pipeline Programs,TL Urban Teacher Residency (HS)
227,Safe Schools Initiative,TL SAFE SCHOOL
228,CTE Expansion Initiatives,TL CTE WBL HS
229,Specialized High School Admissions Testing,TL Specialized Admissions HS.
230,Title III Immigrant Programs,Title III Immigrant
231,Title III Immigrant Programs,Title III Immigrant Carryover
232,Implicit Bias Awareness Workshops,TL Implicit Bias Awareness or TL Implicit Bias Awareness CW
233,Implicit Bias Awareness Workshops,TL Implicit Bias CCER or TL Implicit Bias CCER CW
234,Transcript Maintenance,TL Host Schools HS
235,School COVID-19 Register Loss Mid-Year Adjustment Restoration,TL CRRSA COVID MY Register Loss Restoration
236,School COVID-19 Register Loss Mid-Year Adjustment Restoration,Register Loss
237,School COVID-19 Register Loss Mid-Year Adjustment Restoration,TL CRRSA COVID MYA Register Loss Restoration
238,School COVID-19 Register Loss Mid-Year Adjustment Restoration,TL COVID MY Register Loss Restoration
239,School COVID-19 Register Loss Mid-Year Adjustment Restoration,TL CRRSA COVID MYA Register Loss Restoration HS
240,School COVID-19 Register Loss Mid-Year Adjustment Restoration,Restoration
241,School COVID-19 Register Loss Mid-Year Adjustment Restoration,TL CRRSA COVID MY Register Loss Restoration HS
242,School COVID-19 Register Loss Mid-Year Adjustment Restoration,TL COVID MY Register Loss Restoration HS
243,School COVID-19 Register Loss Mid-Year Adjustment Restoration,TL CRRSA COVID MY
244,Virtual Content Specialist Salary Differential Allocation,TL Virtual Content Specialist (CW)
245,Title IV Summer Rising Re-Opening Planning,Title IV Summer Rising Reopening Planning
