,Category,funding_source,confidence,responses
0,Collective Bargaining for School Based Staff,multiple,1.0,".

multiple. the memorandum states that external funders, such as the federal government and the state, did not provide additional resources to help offset costs for collective bargaining, but funding for collective bargaining increases is provided by the city. specifically, supplemental"
1,Collective Bargaining for School Based Staff,multiple,1.0,".

multiple. the memorandum states that external funders, such as the federal government and the state, did not provide additional resources to help offset costs for collective bargaining. however, the memorandum also states that all collective bargaining was funded by the city"
2,Collective Bargaining for School Based Staff,multiple,1.0,".

multiple. this memorandum allocates resources to schools to account for salary increases and other changes resulting from agreements with the council of school supervisors & administrators (csa), the united federation of teachers (uft), district council 37 ("
3,Collective Bargaining for School Based Staff,multiple,1.0,".

multiple. this memorandum allocates resources to schools to account for salary increases and other changes resulting from agreements with various unions. funding is provided for the annualized cost of increases implemented in fy 2021, as well as increases that will be implemented"
4,Collective Bargaining for School Based Staff,multiple,1.0,".

multiple. the memorandum states that external funders such as the federal government and the state did not provide additional resources to help offset costs for collective bargaining. however, it also states that ""all collective bargaining was funded by the city"""
0,Summer Rising,n/a,0.0,
0,FY 2021 Deficit Rollover Relief,multiple,1.0,".

multiple. the funding is coming from both federal and state sources. the coronavirus response and relief supplemental appropriations act (crrsa) is a federal act, while the restoration allocations provided to fully offset funds schools owed for mid"
1,FY 2021 Deficit Rollover Relief,multiple,1.0,"you may have

multiple. the funding is coming from the federal government (crrsa) and the city (funds allocated in fy 2021 sam 79 school covid-19 register loss mid-year adjustment restoration)."
2,FY 2021 Deficit Rollover Relief,multiple,1.0,"multiple. the funding mentioned in the school allocation memorandum no. 08, fy 2022 is coming from both the federal and state government. specifically, the funding is coming from the coronavirus response and relief supplemental appropriations act of 2021"
3,FY 2021 Deficit Rollover Relief,multiple,1.0,".

multiple. the funding is coming from both federal and state sources. the coronavirus response and relief supplemental appropriations act of 2021 (crrsa) is a federal law that provides stimulus funding, while the restoration allocations were provided by"
4,FY 2021 Deficit Rollover Relief,multiple,1.0,"you may have.

multiple. the funding is coming from the federal government through the coronavirus response and relief supplemental appropriations act of 2021 (crrsa), as noted in the text, as well as from the state government, as"
0,School Budget Surplus Rollover,multiple,1.0,".

multiple. the school budgets surplus rollover (sbsr) was offered in fy 2021, and this program is able to be offered this year only due to federal stimulus. additionally, the coronavirus response and relief"
1,School Budget Surplus Rollover,multiple,1.0,".

multiple. the school budget surplus rollover (sbsr) is offered only due to federal stimulus funds, while the coronavirus response and relief supplemental appropriations act (crrsa) funds are coming from the federal government"
2,School Budget Surplus Rollover,multiple,1.0,"you may have.

multiple. the school budgets surplus rollover (sbsr) program is able to be offered this year only due to federal stimulus and the coronavirus response and relief supplemental appropriations act of 2021 (cr"
3,School Budget Surplus Rollover,multiple,1.0,".

multiple. the funding for the school budget surplus rollover (sbsr) program is coming from both federal stimulus funds, as outlined in the coronavirus response and relief supplemental appropriations act (crrsa), as well"
4,School Budget Surplus Rollover,multiple,1.0,multiple. the school budget surplus rollover (sbsr) program is able to be offered in fy 2021 only due to federal stimulus and the coronavirus response and relief supplemental appropriations act of 2021 (crrsa). this
0,"New York State Textbook Law (NYSTL), Library, Software and Hardware Allocation",state,0.6,"multiple. this funding appears to be coming from both the state and federal government, as indicated by the new york state textbook law (nystl) and new york state software law (nyssl). these funds are being allocated to"
1,"New York State Textbook Law (NYSTL), Library, Software and Hardware Allocation",state,0.6,".

state"
2,"New York State Textbook Law (NYSTL), Library, Software and Hardware Allocation",state,0.6,". 

state"
3,"New York State Textbook Law (NYSTL), Library, Software and Hardware Allocation",state,0.6,"you may have. 

multiple. the new york state textbook law (nystl), library, hardware and computer software (nyssl) funds are provided by the state and the microsoft and anti-virus software programs are purchased centrally"
4,"New York State Textbook Law (NYSTL), Library, Software and Hardware Allocation",state,0.6,".

state"
0,Title I School Allocations,n/a,0.0,
0,School Support Supplement,multiple,1.0,".

multiple. the school support supplement allocation appears to include funding from both the federal government (through essa title iia supplemental funding) and the state government (through collective bargaining increases and related increased fica costs)."
1,School Support Supplement,multiple,1.0,"multiple. the school support supplement allocation is mentioned to be coming in conjunction with title iia supplemental funding, both of which are referenced in the every student succeeds act (essa). since essa is a federal act, this would"
2,School Support Supplement,multiple,1.0,".

multiple. the school support supplement allocation is provided by both the every student succeeds act (essa) title iia supplemental funding and the school support supplement allocation. essa is a federal program and the school support supplement allocation is"
3,School Support Supplement,multiple,1.0,"you may have.

multiple. the school support supplement funding comes from both the state, federal, and city governments. title iia supplemental funding is provided by the federal government, while the every student succeeds act (essa) is"
4,School Support Supplement,multiple,1.0,".

multiple. the school support supplement funding appears to come from both the federal government (under the every student succeeds act (essa) title iia supplemental funding) and the state government."
0,Title III Limited English Proficient (LEP) Program,multiple,1.0,"you have.

multiple. the funding is coming from multiple sources, including the federal government (every student succeeds act (essa) reauthorized the elementary and secondary education act (esea) of 1965) and the city (new"
1,Title III Limited English Proficient (LEP) Program,multiple,1.0,".

multiple. the school allocation memorandum states that the funding for the title iii limited english proficient (lep) program is coming from the federal every student succeeds act (essa) reauthorization of the elementary and"
2,Title III Limited English Proficient (LEP) Program,multiple,1.0,".

multiple. this allocation provides resources from the federal title iii limited english proficient (lep) initiative, as well as other funding identified as being used to serve lep pupils in conceptually consolidated allocation categories."
3,Title III Limited English Proficient (LEP) Program,multiple,1.0,"of why you gave that answer.

multiple. the funding for the title iii limited english proficient (lep) program is coming from both the state and federal government. the every student succeeds act (essa) was reauthorized"
4,Title III Limited English Proficient (LEP) Program,multiple,1.0,".

multiple. the funding is coming from the state, federal, and city governments. the every student succeeds act (essa) reauthorized the elementary and secondary education act (esea) of 1965, which provides federal funding for"
0,Title IV Programs,multiple,1.0,".

multiple. the funding for the title iv programs described in the memorandum is coming from multiple sources, including federal, state and city government funds. for instance, the title iv community coordinator program is allocated from title iv funds from the federal every"
1,Title IV Programs,multiple,1.0,".

multiple. this funding is coming from multiple sources, including the federal government (title iv programs, every student succeeds act (essa)), the state government (new york state education department (nysed)), and the city government"
2,Title IV Programs,multiple,1.0,".

multiple. the funding for the title iv programs in new york city school allocation memorandum no. 15, fy 2022 comes from multiple sources, including the federal government, the state government, and the city government. title iv community coordinator"
3,Title IV Programs,multiple,1.0,"multiple. the funding mentioned in the school allocation memorandum no. 15, fy 2022 is coming from multiple sources. it includes federal funding from title iv programs under the every student succeeds act (essa), state funding from the"
4,Title IV Programs,multiple,1.0,".

multiple. this memorandum provides title iv funding to support the following programs, which appears to draw from multiple sources: title iv community coordinator, title iv community schools, and title iv education technology. specifically, funds are allocated from the federal government"
0,Individualized Education Program (IEP)/Intervention Teacher Allocation,multiple,0.6,"as necessary

multiple. this funding for iep/intervention teacher allocation appears to be coming from multiple sources. the memorandum mentions that collective bargaining is included in the school average teacher salary amount allocated for each position and that funds are available in galaxy"
1,Individualized Education Program (IEP)/Intervention Teacher Allocation,multiple,0.6,"as to why you chose that answer

state. this funding is coming from the state as it is specified in the nycdoe division of finance website navigation."
2,Individualized Education Program (IEP)/Intervention Teacher Allocation,multiple,0.6,"state. the memorandum states that funding is provided to selected schools in order to ensure sufficient teacher participation at iep meetings as well as direct instruction and intervention to ""at risk"" and special education students. the funding for this allocation comes from the"
3,Individualized Education Program (IEP)/Intervention Teacher Allocation,multiple,0.6,"multiple. this funding appears to be coming from a variety of sources, including the city, state, and federal government. the city's department of education division of finance is responsible for providing the funding, but it is unclear from the memorandum where"
4,Individualized Education Program (IEP)/Intervention Teacher Allocation,multiple,0.6,".

multiple. the funding for this iep/intervention teacher allocation is coming from a combination of sources, including the city, state, and federal government. the exact composition of the funding is not specified in the memorandum, but the"
0, Individualized Education Program (IEP) Paraprofessional Allocation,multiple,0.8,".

multiple. the funding for individualized education program (iep) paraprofessionals is provided from the city, state and federal government. according to the memorandum, funding will be provided from the city through the transfer utility and"
1, Individualized Education Program (IEP) Paraprofessional Allocation,multiple,0.8,".

multiple. this school allocation memorandum no. 17, fy 2022 indicates that funding for iep paraprofessionals will be provided at the school level. it states that it will be funded with ""tl rs iep"
2, Individualized Education Program (IEP) Paraprofessional Allocation,multiple,0.8,".

multiple. the iep paraprofessional allocation appears to be funded from various sources, including the department of education (doe), the new york state department of education, and the office of the first deputy chancellor. additionally, the"
3, Individualized Education Program (IEP) Paraprofessional Allocation,multiple,0.8,state
4, Individualized Education Program (IEP) Paraprofessional Allocation,multiple,0.8,".

multiple. the funding for the iep paraprofessional allocation is provided from both the city and state, as indicated in the memorandum. specifically, the funding is provided in accordance with procedures and regulations from the department of education (do"
0,"Mandated Related Services - (Speech, Counseling, OT/PT)",multiple,1.0,"multiple. this school allocation memorandum no. 18, fy 2022 revised june 24, 2021 allocates funding for mandated related services including speech, counseling, occupational therapy (ot) and physical therapy (ot) in schools in the bronx."
1,"Mandated Related Services - (Speech, Counseling, OT/PT)",multiple,1.0,".

multiple. the funding appears to come from both the city and state governments, as indicated by the statement that ""funding will be provided by the mandated needs of students based upon the related workload for related services below"" and the statement that """
2,"Mandated Related Services - (Speech, Counseling, OT/PT)",multiple,1.0,".

multiple. this school allocation memorandum provides funding for mandated related services in the form of speech, counseling, ot/pt for nyc schools. funding for collective bargaining is specifically included in the updated average salaries used to determine allocation amounts."
3,"Mandated Related Services - (Speech, Counseling, OT/PT)",multiple,1.0,".

multiple. the school allocation memorandum states that the funding is coming from tax levy dollars, which can come from both state and local governments. in addition, some of the funding may come from federal sources, as the memorandum also mentions"
4,"Mandated Related Services - (Speech, Counseling, OT/PT)",multiple,1.0,".

multiple. the memorandum states that the funding is provided by the school tax levy and collective bargaining, both of which can be sourced from the state, federal, and city government."
0,Adapted Physical Education,state,0.6,"as needed.

state. the memorandum states that the funding is allocated to the itinerant ape teacher's payroll school, which is a local school district funded by the state."
1,Adapted Physical Education,state,0.6,".

state. the memorandum states that the funds are allocated to the itinerant ape teacher's payroll school. this indicates that the funding is coming from the state government."
2,Adapted Physical Education,state,0.6,"state. the memorandum indicates that the funds are allocated to the itinerant ape teacher's payroll school, and that payroll schools should schedule these teachers using funds provided as a tl rs ape teacher shared allocation category. as this funding is provided"
3,Adapted Physical Education,state,0.6,".

multiple. the memorandum states that funds are allocated to the itinerant ape teacher's payroll school, suggesting that funding is coming from multiple sources."
4,Adapted Physical Education,state,0.6,".

multiple. the school allocation memorandum no. 19, fy 2022 states that funds are allocated to the itinerant ape teacher's payroll school, which could come from a variety of sources, including the city, state, and federal"
0,"Specialized Programs - (ASD, BSE, ACES, Access)",n/a,0.0,
0, School Based IEP Team Staff,multiple,1.0,".

multiple. the funding is coming from a combination of city and federal sources, such as the american rescue plan act of 2021 (arpa) and tax levy (tl sbst shared, tl sbst shared d79). additionally, some"
1, School Based IEP Team Staff,multiple,1.0,".

multiple. the american rescue plan act (arpa) is funded by the federal government, while the tax levy and federal idea funding are funded by the city and state, respectively."
2, School Based IEP Team Staff,multiple,1.0,".

multiple. this school allocation memorandum provides targeted allocations to fund school-based iep team clinicians (psychologists and social workers) in districts 1-32 and district 79. these funds are derived from the american rescue plan act"
3, School Based IEP Team Staff,multiple,1.0,".

multiple. this funding is coming from both the federal government (arpa) and the city government (tax levy). the school-based iep team clinicians (psychologists and social workers) are funded with either 100% tax levy ("
4, School Based IEP Team Staff,multiple,1.0,"if you have it.

multiple. the american rescue plan (arpa) is a federal act that funds activities and interventions that respond to students' academic, social and emotional needs, and funds are provided via the us doe. other funds are"
0,Support for Citywide Special Education,multiple,0.6,"if you need to.

multiple. this memorandum funds district 1 - 32 schools for district 75 citywide special education students, which could mean that the funding comes from multiple sources such as the city, state, and federal government."
1,Support for Citywide Special Education,multiple,0.6,".

multiple. this funding for citywide special education is coming from multiple sources. the initial allocation is based on the number of student equivalents from the prior fiscal year's mid-year register adjustment, and allocations are adjusted each year based on the"
2,Support for Citywide Special Education,multiple,0.6,"you have.

state. this school allocation memorandum is issued by the new york city department of education (nycdoe) division of finance, indicating that the funding is coming from the state government."
3,Support for Citywide Special Education,multiple,0.6,".

multiple. the school allocation memorandum no. 22, fy 2022 states that this funding is intended to support citywide special education programs in district 1-32 schools. this indicates that the funding is likely coming from multiple sources, including"
4,Support for Citywide Special Education,multiple,0.6,"state. the funding for school allocation memorandum no. 22, fy 2022 appears to be from the state government, as it is noted that the office of special education is providing the programmatic data for the two programs mentioned (citywide"
0,Section 504 Paraprofessional,multiple,1.0,".

multiple. the funding for section 504 paraprofessionals is coming from both the city and the state government. the memorandum states that the allocation reflects an increase for collective bargaining, and indicates that the funding will be provided under the allocation"
1,Section 504 Paraprofessional,multiple,1.0,".

multiple. the funding is coming from multiple sources, including the federal government, the city of new york, and the state of new york. the increase for collective bargaining is provided by the office of the first deputy chancellor, which is a"
2,Section 504 Paraprofessional,multiple,1.0,"multiple. this funding appears to be coming from both the city and state government, as it references the federal rehabilitation act of 1973, which is a federal law. additionally, it mentions the office of the first deputy chancellor, which is a"
3,Section 504 Paraprofessional,multiple,1.0,".

multiple. this memorandum allocates funding from the office of the first deputy chancellor, which is part of the nyc department of education. the funding is likely coming from multiple sources: local, state, and federal government funds."
4,Section 504 Paraprofessional,multiple,1.0,".

multiple. this memo allocates funding from the new york city department of education (nycdoe) to schools within the city. the funding comes from the city but is likely informed by state and federal guidelines."
0,Continuous Improvement Programs,multiple,0.8,".

multiple. the new york city school allocation memorandum no. 24, fy 2022 allocates funds to schools for continuous improvement programs from multiple sources. funding such as transitional relief for sig funding loss and blueprint were not intended to be"
1,Continuous Improvement Programs,multiple,0.8,"state. this school allocation memorandum no. 24, fy 2022 is issued by the new york city department of education (nycdoe) and is allocating funding to schools for continuous improvement programs. the funding is coming from the state"
2,Continuous Improvement Programs,multiple,0.8,".

multiple. the memorandum states that the funding includes ""transitional relief for sig funding loss and blueprint [which] were not intended to be permanent allocations."" it is likely that these funds come from both state and federal sources."
3,Continuous Improvement Programs,multiple,0.8,".

multiple. the funding for continuous improvement programs is allocated from both the city and state government, as outlined in the school allocation memorandum no. 24, fy 2022. it states that schools will receive funding for collective bargaining in sam no"
4,Continuous Improvement Programs,multiple,0.8,"you have for your answer

multiple. this school allocation memorandum no. 24, fy 2022 indicates that the funding is coming from multiple sources, including new york state education department (nysed), transitional relief for sig funding loss,"
0,OTPS for New Schools,multiple,0.8,"if needed

state. the new york city department of education (nycdoe) division of finance is responsible for allocating funding to new york city schools, and this school allocation memorandum is providing funding from the state."
1,OTPS for New Schools,multiple,0.8,"you may have

multiple. the funding appears to be coming from multiple sources, including the department of education (doe) and the central office. the memorandum states that the school will receive $51,000 in start-up funds directly and"
2,OTPS for New Schools,multiple,0.8,".

multiple. this funding appears to be coming from multiple sources, as it mentions both a fixed per-school allocation and a variable per-student allocation. additionally, it mentions that some of the funds for start-up costs are provided centrally"
3,OTPS for New Schools,multiple,0.8,".

multiple. the funding appears to be coming from multiple sources, as the memorandum outlines allocations from both a fixed, per school allocation as well as a variable, per student allocation, which likely comes from different sources."
4,OTPS for New Schools,multiple,0.8,"for your answer.

multiple. the funding appears to be coming from multiple sources, including the city, state, and federal government. the fixed per-school allocation for office equipment and office furniture is allocated in the school's first year, and"
0,Pre-K and 3-K for All Programs in District Schools,multiple,1.0,".

multiple. the funding for the pre-k and 3-k for all programs in district schools comes from several sources, including state and local tax levy funds, contract for excellence, and stimulus funding, such as the coronavirus"
1,Pre-K and 3-K for All Programs in District Schools,multiple,1.0,"you think is necessary.
multiple. this funding comes from a variety of sources, including the state and city tax levy funds, contract for excellence, the coronavirus response and relief supplemental appropriations act (crrsa) of 2020, community"
2,Pre-K and 3-K for All Programs in District Schools,multiple,1.0,"multiple. the funding for pre-k and 3-k for all programs in district schools is coming from multiple sources, including state and local tax levy funds, contract for excellence, and coronavirus response and relief supplemental appropriations act ("
3,Pre-K and 3-K for All Programs in District Schools,multiple,1.0,: multiple
4,Pre-K and 3-K for All Programs in District Schools,multiple,1.0,"you need.

multiple. this funding is coming from a combination of state, local, and federal sources, including the contract for excellence, the coronavirus response and relief supplemental appropriations act (crrsa), the community development block grant"
0,Pre-K and 3-K for All Programs in Pre-K Center Programs,multiple,1.0,"you can for your answer. 

multiple. this funding appears to be coming from multiple sources, including city tax levy funds, collective bargaining, new york state education department grants, coronavirus response and relief supplemental appropriations act (""crr"
1,Pre-K and 3-K for All Programs in Pre-K Center Programs,multiple,1.0,".

multiple. the funding for the pre-k and 3-k for all program is a mix of local tax levy funds, state funds, and federal funds from the coronavirus response and relief supplemental appropriations act (crrsa"
2,Pre-K and 3-K for All Programs in Pre-K Center Programs,multiple,1.0,".

multiple. the funding for the pre-k and 3-k for all in pre-k center programs is coming from multiple sources, including state tax levy funds, local tax levy funds, collective bargaining, and the coronavirus"
3,Pre-K and 3-K for All Programs in Pre-K Center Programs,multiple,1.0,"needed.

multiple. the funding for the 3-k and pre-k for all programs is coming from both the city and the state government. the city of new york allocates funds from its tax levy and collective bargaining, while the state"
4,Pre-K and 3-K for All Programs in Pre-K Center Programs,multiple,1.0,".

multiple. the funding for the pre-k and 3-k for all programs in pre-k centers comes from both the state and city government. the pre-k program is supported by state and local tax levy funds, and the"
0,Pre-K Family Worker Allocation,multiple,1.0,".

multiple. this memorandum allocates funding for family workers in pre-k classrooms for the 2021-2022 school year. it is not specified where the funding is coming from, but it is likely a combination of city, state, and"
1,Pre-K Family Worker Allocation,multiple,1.0,".

multiple. this school allocation memorandum is from the new york city department of education (nycdoe) division of finance, which likely receives funding from multiple sources, such as city, state, and federal governments."
2,Pre-K Family Worker Allocation,multiple,1.0,"you may have.

multiple. this memorandum allocates funding for family workers in pre-k classrooms for the 2021-2022 school year. it does not specify where the funding is coming from, but given that it is coming from the new"
3,Pre-K Family Worker Allocation,multiple,1.0,multiple. the funding for pre-k family workers is allocated from both city and state funds with city funds providing the majority of funding. the source of the funds can be confirmed in the attachment: table 1 - pre-k family worker
4,Pre-K Family Worker Allocation,multiple,1.0,".

multiple. the funding appears to be coming from both state and city government sources as it is allocated from the new york city department of education (nycdoe) division of finance."
0,Robin Hood Libraries,multiple,0.6,".

multiple. the robin hood library initiative is a partnership between the robin hood foundation and the new york city department of education. the funds for this program are being allocated from the robin hood foundation, a private entity, as well as the new"
1,Robin Hood Libraries,multiple,0.6,".

state. the robin hood library initiative is a partnership between the robin hood foundation and the new york city department of education. the robin hood foundation is a private charitable organization, which suggests that the funding is coming from the state government."
2,Robin Hood Libraries,multiple,0.6,".

multiple. the robin hood library initiative is a partnership between the robin hood foundation, an independent nonprofit organization, and the new york city department of education (nycdoe). the robin hood foundation provides the funding, while the nycdoe"
3,Robin Hood Libraries,multiple,0.6,".

state. the robin hood library initiative is a partnership between the robin hood foundation and the new york city department of education. the funding for the initiative is provided by the state government and is allocated to schools for staffing, library books, and"
4,Robin Hood Libraries,multiple,0.6,".

multiple. the robin hood library initiative is a partnership between the robin hood foundation and the new york city department of education, funded by both the city and state. the robin hood foundation is a non-profit organization and thus their funding would"
0,Parent Coordinator Allocation,multiple,0.8,".

multiple. this school allocation memorandum no. 31, fy 2022 appears to be funding from both the city and state government. the new york city department of education (nycdoe) division of finance is distributing funding for the parent"
1,Parent Coordinator Allocation,multiple,0.8,".

multiple. the school allocation memorandum no. 31, fy 2022 states that funding is allocated to schools for one parent coordinator position, which implies that the funding is coming from both the city and state levels. furthermore, the memo specifies"
2,Parent Coordinator Allocation,multiple,0.8,".

multiple. the school allocation memorandum no. 31, fy 2022 indicates that funding for parent coordinator positions is allocated to schools from the new york city department of education (nycdoe) division of finance. it is likely that the"
3,Parent Coordinator Allocation,multiple,0.8,"state. this funding comes from the state government as indicated in the school allocation memorandum no. 31, fy 2022, which states that it is funding for parent coordinator positions and details the personnel allocations and otps allocations for the positions."
4,Parent Coordinator Allocation,multiple,0.8,"multiple. it is likely that the funding is coming from multiple sources: state, federal, and city. it is not explicitly stated in the memo, but it is likely that the funding comes from an amalgamation of these sources, since the"
0,Salary Subsidy for Excess Staff Hired to Permanent Assignments,multiple,0.8,"you may have.

multiple. the memorandum states that funding is allocated both through the 2018 united federation of teachers (uft) contract and the tl permanent placement incentive or tl permanent placement 2022. it is likely that these funds"
1,Salary Subsidy for Excess Staff Hired to Permanent Assignments,multiple,0.8,"multiple. the funding for this memorandum is coming from the city, state, and federal government. the memo states that funds for the subsidy are placed in the tl permanent placement incentive or tl permanent placement 2022 allocation category, implying"
2,Salary Subsidy for Excess Staff Hired to Permanent Assignments,multiple,0.8,"you may have. 

multiple. this memorandum allocates funding from both central funding and from the 2018 united federation of teachers (uft) contract. the central funding appears to be linked to the specific employee, while the funding from the 2018"
3,Salary Subsidy for Excess Staff Hired to Permanent Assignments,multiple,0.8,"state. the funding for the salary subsidy for excess staff hired to permanent assignments allocated in school allocation memorandum no. 32 is specifically coming from the state government. this is stated in the memo, which states"
4,Salary Subsidy for Excess Staff Hired to Permanent Assignments,multiple,0.8,". 

multiple. this funding is allocated from both the city and the state government. in the memorandum, it states that the funds will be placed in the tl permanent placement incentive or tl permanent placement 2022 allocation category. this"
0,Success Via Apprenticeship (SVA),multiple,0.8,".

multiple. the funding for the success via apprenticeship (sva) program is supported by both tax levy funds and government funds. the tax levy funds come from the city government, while the government funds come from the state and federal"
1,Success Via Apprenticeship (SVA),multiple,0.8,"or research you have done.

multiple. the sva program is supported by tax levy funds. tax levy funds can come from multiple sources, such as the city, state, and federal governments. depending on the specific municipality, tax levy funds"
2,Success Via Apprenticeship (SVA),multiple,0.8,"multiple. the funding for the success via apprenticeship (sva) program is stated to come from tax levy funds. tax levies are imposed by a variety of entities, including local, state, and federal governments. therefore,"
3,Success Via Apprenticeship (SVA),multiple,0.8,".

state. the funding for the success via apprenticeship (sva) program is specifically stated to be from tax levy funds, which is a type of revenue sourcing from the state."
4,Success Via Apprenticeship (SVA),multiple,0.8,"answer: multiple. the funding for the success via apprenticeship (sva) program is supported by both tax levy funds and government funding from the state, federal, and city government."
0,District 75 Special Education Citywide Programs,multiple,1.0,"of how you can tell.

multiple. the funding appears to be coming from multiple sources, including the city, state, and federal government. the tl instructional programs cw allocation, tl supplemental instructional support cw allocation, tl rs related services"
1,District 75 Special Education Citywide Programs,multiple,1.0,".

multiple. this funding for district 75 special education citywide programs is coming from multiple sources, including the city, state, and federal government, such as the new york state textbook law (nystl) and the district 75 city"
2,District 75 Special Education Citywide Programs,multiple,1.0,".

multiple. the funding for district 75 special education citywide programs come from multiple sources, including the city, state, and federal government. the city provides funds through the tax levy pre-k program support, tax levy pre-k related"
3,District 75 Special Education Citywide Programs,multiple,1.0,".

multiple. this school allocation memorandum no. 34, fy 2022 outlines funding coming from multiple sources, including both city and state funding. the memorandum includes allocations for tl instructional programs cw, tl supplemental instructional support cw, tl"
4,District 75 Special Education Citywide Programs,multiple,1.0,".

multiple. the funding for district 75 special education citywide programs is coming from multiple sources, including the city, state, and federal government. the city funds are provided through the tl instructional programs cw, tl supplemental instructional support cw"
0,District 79 Alternative Programs,multiple,1.0,"multiple. this school allocation memorandum no. 35, fy 2022 appears to allocate funding from a variety of sources: the new york city department of education (nycdoe), the division of youth and family justice of the administration for children"
1,District 79 Alternative Programs,multiple,1.0,"multiple. this funding is likely coming from a combination of sources, as the memorandum states that funds are used to hire a full-time 12 month assistant principal supervisor, hire a full-time guidance counselor, cover otps costs, and cover"
2,District 79 Alternative Programs,multiple,1.0,"multiple. the funding for the alternative programs and adult & continuing education in district 79 and the young adult borough centers is coming from multiple sources, including the city, state, and federal government. for example, the pathways to graduation program"
3,District 79 Alternative Programs,multiple,1.0,"for that answer.

multiple. this memorandum is from the new york city department of education, which is funded by state and city government, as well as federal funding. this memorandum outlines the allocation of funds for alternative programs and adult & continuing education"
4,District 79 Alternative Programs,multiple,1.0,multiple. the funding for alternative programs and adult & continuing education in district 79 (d79) is coming from both city and state sources. the funding appears to be from the department of education (doe) which is a city-level
0,Arts Funding Initiatives,multiple,1.0,".

multiple. the funding outlined in the memorandum comes from multiple sources, including the federal coronavirus response and relief supplemental appropriations act (crrsa). the other sources of funding are the nyc department of education and local tax levies"
1,Arts Funding Initiatives,multiple,1.0,". 

multiple. this funding for nyc schools is coming from multiple sources, including the city, state, and federal government. the coronavirus response and relief supplemental appropriations act (crrsa) are funds provided by the federal government"
2,Arts Funding Initiatives,multiple,1.0,".

multiple. this funding is provided through multiple sources, including the coronavirus response and relief supplemental appropriations act (crrsa) of 2021, the new york city department of education (nycdoe), and the office of arts"
