,allocation_category,amount,location_code,fiscal_year
38,TL NYSTL Software HS,"$ 4,861",M692,2022
39,TL NYSTL Textbooks HS,"$ 28,677",M692,2022
40,TL Parent Coordinator HS,"$ 43,968",M692,2022
41,TL Parent Coordinator OTPS HS,$ 500,M692,2022
42,TL Permanent Placement 2022,"$ 106,797",M692,2022
43,TL Permanent Placement Incentive,"$ 106,797",M692,2022
44,TL RS IEP Para,"$ 33,488",M692,2022
45,TL RS Mandated Counseling Shared,"$ 34,245",M692,2022
46,TL Sabbaticals,"$ 82,615",M692,2022
47,TL Situation Room,"$ 1,129",M692,2022
48,TL Summer Rising Discovery,"$ 23,159",M692,2022
49,TL Summer Rising Shared,"$ 18,623",M692,2022
50,TL Translation Services,"$ 1,305",M692,2022
51,AIDP Attendance Shared,"$ 147,079",M692,2021
52,Contract for Excellence FY 09 HS,"$ 45,445",M692,2021
53,High Need Support for Title I STH,$ 182,M692,2021
54,Private PTA Grant 02,"$ 29,000",M692,2021
55,Rollover Private PTA Grant 04,"$ 1,257",M692,2021
56,Title I STH for Non Title I Schools,"$ 4,762",M692,2021
57,Title I STH for Non Title I Schools Carry Over,$ 622,M692,2021
58,Title III Translation Services,"$ 3,315",M692,2021
59,Title IV Summer Rising Reopening Planning,"$ 3,079",M692,2021
60,Title IV Well Rounded ELA Math Support,"$ 1,808",M692,2021
61,TL 12-Month AP HS,"$ 15,395",M692,2021
62,TL CB School Staff,"$ 9,522",M692,2021
63,TL Computer Maintenance HS,"$ 8,211",M692,2021
64,TL CTE Programs HS,"$ 55,128",M692,2021
65,TL CTE WBL HS,"$ 11,627",M692,2021
66,TL E&E AP for All Support HS,"$ 4,935",M692,2021
67,TL E&E College Access 4 All HS,"$ 28,000",M692,2021
68,TL ELA/Math Student Support,"$ 5,061",M692,2021
69,TL Fair Student Funding HS,"$ 3,673,895",M692,2021
70,TL Funds Over Formula HS,"$ 378,660",M692,2021
71,TL Implicit Bias Awareness,"$ 1,251",M692,2021
72,TL Implicit Bias CCER,$ 523,M692,2021
73,TL Instructional Leadership Framework,"$ 18,938",M692,2021
74,TL NYSTL Hardware HS,"$ 5,238",M692,2021
75,TL NYSTL Library Books HS,"$ 3,012",M692,2021
76,TL NYSTL Software HS,"$ 4,831",M692,2021
77,TL NYSTL Textbooks HS,"$ 27,980",M692,2021
78,TL Parent Coordinator HS,"$ 43,968",M692,2021
79,TL Parent Coordinator OTPS HS,$ 500,M692,2021
80,TL Periodic Assessment,"$ 1,700",M692,2021
81,TL Permanent Placement Incentive,"$ 102,687",M692,2021
82,TL RS IEP Para,"$ 39,295",M692,2021
83,TL RS Mandated Counseling Shared,"$ 28,841",M692,2021
84,TL School COVID Planning Supplement,"$ 5,956",M692,2021
85,TL Summer in the City Discovery Program,"$ 22,571",M692,2021
86,TL Summer in the City Shared,"$ 12,866",M692,2021
87,TL Translation Services,"$ 1,254",M692,2021
88,AIDP Attendance Shared,"$ 142,660",M692,2020
89,Contract for Excellence FY 09 HS,"$ 45,445",M692,2020
90,High Need Support for Title I STH,$ 246,M692,2020
91,IDEA RS IEP Para,"$ 4,584",M692,2020
92,Private PTA Grant 04,"$ 35,935",M692,2020
93,Title I STH for Non Title I Schools,"$ 6,052",M692,2020
94,Title III Translation Services,"$ 3,386",M692,2020
95,TL 12-Month AP HS,"$ 15,359",M692,2020
96,TL Arts Studio HS,$ 865,M692,2020
97,TL CB School Staff,"$ 11,305",M692,2020
98,TL Computer Maintenance HS,"$ 8,211",M692,2020
99,TL Continuous Improvement HS,"$ 16,000",M692,2020
100,TL CTE Programs HS,"$ 61,163",M692,2020
101,TL Deferred Program Planning Initiative HS,"$ 24,000",M692,2020
102,TL E&E College Access 4 All HS,"$ 37,428",M692,2020
103,TL Fair Student Funding HS,"$ 3,503,015",M692,2020
104,TL Funds Over Formula HS,"$ 463,804",M692,2020
105,TL Instructional Leadership Framework,"$ 19,097",M692,2020
106,TL MOSL,"$ 1,500",M692,2020
107,TL NYSTL Hardware HS,"$ 4,905",M692,2020
108,TL NYSTL Library Books HS,"$ 3,007",M692,2020
109,TL NYSTL Software HS,"$ 4,851",M692,2020
110,TL NYSTL Textbooks HS,"$ 28,069",M692,2020
111,TL OTPS for PSAL HS,"$ 1,156",M692,2020
112,TL Parent Coordinator HS,"$ 42,469",M692,2020
113,TL Parent Coordinator OTPS HS,$ 500,M692,2020
114,TL Permanent Placement Incentive,"$ 91,489",M692,2020
115,TL Prior Year Encumbrance,$ 383,M692,2020
116,TL RS IEP Para,"$ 13,090",M692,2020
117,TL RS Mandated Counseling Shared,"$ 22,075",M692,2020
118,TL SBST Shared,"$ 103,102",M692,2020
119,TL Summer in the City Discovery Program,"$ 13,998",M692,2020
120,TL Summer in the City Shared,"$ 7,754",M692,2020
121,TL Translation Services,$ 999,M692,2020
122,AIDP Attendance Shared,"$ 138,934",M692,2019
123,Contract for Excellence FY 09 HS,"$ 48,695",M692,2019
124,IDEA RS IEP Para,"$ 11,149",M692,2019
125,Sequester Aid IDEA RS IEP Paras,"$ 1,191",M692,2019
126,Sequester Aid Title I STH for Non-Title I Schools,$ 340,M692,2019
127,Title I STH for Non Title I Schools,"$ 7,998",M692,2019
128,Title III Translation Services,"$ 3,314",M692,2019
129,TL 12-Month AP HS,"$ 14,199",M692,2019
130,TL Arts Studio HS,$ 850,M692,2019
131,TL CB Per Session Per Diem Prep,$ 626,M692,2019
132,TL CB School Staff,"$ 9,743",M692,2019
133,TL CB School Staff Related Services,"$ 1,086",M692,2019
134,TL Computer Maintenance HS,"$ 9,533",M692,2019
135,TL CTE Programs HS,"$ 100,000",M692,2019
136,TL Deferred Program Planning Initiative HS,"$ 39,024",M692,2019
137,TL E&E College Access 4 All HS,"$ 35,000",M692,2019
138,TL Fair Student Funding HS,"$ 3,310,517",M692,2019
139,TL FSF Post-IEP Support HS,$ 490,M692,2019
140,TL FSF School to School Transfers Shared HS,"$ 35,379",M692,2019
141,TL Funds Over Formula HS,"$ 535,375",M692,2019
142,TL GE CB School Staff,"$ 44,079",M692,2019
143,TL MOSL,"$ 1,500",M692,2019
144,TL NYSTL Hardware HS,"$ 5,294",M692,2019
145,TL NYSTL Library Books HS,"$ 3,109",M692,2019
146,TL NYSTL Software HS,"$ 5,090",M692,2019
147,TL NYSTL Textbooks HS,"$ 28,907",M692,2019
148,TL OTPS for PSAL HS,"$ 1,156",M692,2019
149,TL Parent Coordinator HS,"$ 35,592",M692,2019
150,TL Parent Coordinator OTPS HS,$ 500,M692,2019
151,TL RS IEP Para,"$ 28,439",M692,2019
152,TL RS Mandated Counseling Shared,"$ 26,244",M692,2019
153,TL SBST Shared,"$ 99,227",M692,2019
154,TL SE CB School Staff,"$ 1,169",M692,2019
155,TL Strong Schools Strong Communities HS,"$ 16,000",M692,2019
156,TL Summer in the City Discovery Program,"$ 16,442",M692,2019
157,TL Summer in the City Shared,"$ 4,869",M692,2019
158,TL Terminal and Paid Leaves,"$ 95,348",M692,2019
159,TL Translation Services,$ 978,M692,2019
160,TL Vision for School Improvement,"$ 24,888",M692,2019
161,AIDP Attendance Shared,"$ 130,303",M692,2018
162,Contract for Excellence FY 09 HS,"$ 52,732",M692,2018
163,IDEA RS IEP Para,"$ 11,030",M692,2018
164,Private Grant 30,"$ 11,000",M692,2018
165,Private Grant 35,"$ 2,200",M692,2018
166,Sequester Aid IDEA RS IEP Paras,"$ 1,178",M692,2018
167,Sequester Aid Title I STH for Non-Title I Schools,$ 307,M692,2018
168,Title I STH for Non Title I Schools,"$ 7,213",M692,2018
169,Title III Translation Services,"$ 2,642",M692,2018
170,TL 12-Month AP HS,"$ 13,678",M692,2018
171,TL Arts Studio HS,"$ 1,165",M692,2018
172,TL CB School Staff,"$ 8,289",M692,2018
173,TL Computer Maintenance HS,"$ 6,549",M692,2018
174,TL E&E College Access 4 All HS,"$ 30,000",M692,2018
175,TL Fair Student Funding HS,"$ 3,284,280",M692,2018
176,TL FSF Post-IEP Support HS,$ 490,M692,2018
177,TL Funds Over Formula HS,"$ 562,608",M692,2018
178,TL MOSL,"$ 1,700",M692,2018
179,TL NYSTL Hardware HS,"$ 4,996",M692,2018
180,TL NYSTL Library Books HS,"$ 2,847",M692,2018
181,TL NYSTL Software HS,"$ 4,672",M692,2018
182,TL NYSTL Textbooks HS,"$ 26,525",M692,2018
183,TL OTPS for PSAL HS,"$ 1,131",M692,2018
184,TL Parent Coordinator HS,"$ 35,592",M692,2018
185,TL Parent Coordinator OTPS HS,$ 500,M692,2018
186,TL RS IEP Para,"$ 27,109",M692,2018
187,TL RS Mandated Counseling Shared,"$ 23,994",M692,2018
188,TL SBST Shared,"$ 95,255",M692,2018
189,TL Strong Schools Strong Communities HS,"$ 16,000",M692,2018
190,TL Summer in the City Discovery Program,"$ 15,321",M692,2018
191,TL Summer in the City Shared,"$ 5,930",M692,2018
192,TL Translation Services,$ 780,M692,2018
193,TL Vision for School Improvement,"$ 19,097",M692,2018
194,ARPA Academic Recovery,"$ 205,349",M670,2022
195,ARPA Academic Recovery AP Summer Rising,"$ 17,990",M670,2022
196,ARPA Academic Recovery Arts,"$ 51,337",M670,2022
197,ARPA Academic Recovery Para Summer Rising,"$ 3,382",M670,2022
198,ARPA Academic Recovery SE After-School Instruction,"$ 82,686",M670,2022
199,ARPA Academic Recovery SE Counseling,"$ 6,468",M670,2022
200,ARPA Academic Recovery SE Intervention Training,"$ 4,726",M670,2022
201,ARPA Academic Recovery SE Planning Prep,"$ 8,558",M670,2022
202,ARPA Academic Recovery SE RS Related Services,"$ 20,880",M670,2022
203,ARPA Academic Recovery SE Support Summer Rising,"$ 14,109",M670,2022
204,ARPA Academic Recovery Social Worker,"$ 154,225",M670,2022
205,ARPA Academic Recovery Summer Rising,"$ 19,277",M670,2022
206,ARPA COVID Staffing Support,"$ 91,092",M670,2022
207,ARPA Election Day Remote Planning,"$ 7,452",M670,2022
208,ARPA LA MYA Register Relief,"$ 304,670",M670,2022
209,ARPA Restorative Justice Action Teams,"$ 11,736",M670,2022
210,ARPA School COVID Planning Expansion,"$ 17,152",M670,2022
211,ARPA Vaccine Policy Coverage,"$ 6,840",M670,2022
212,Contract for Excellence FY 09 HS,"$ 75,719",M670,2022
213,CRRSA Computer Maintenance,"$ 1,005",M670,2022
214,CRRSA CRSE Arts Studio,$ 963,M670,2022
215,CRRSA OTPS for PSAL,$ 845,M670,2022
216,CRRSA Restoration Arts Studio,"$ 2,442",M670,2022
217,CRRSA SHSAT,$ 176,M670,2022
218,CRRSA Situation Room,"$ 4,441",M670,2022
219,Funds Pub Schl 359 - PS 670M - Per Session,"$ 20,908",M670,2022
220,High Need Support for Title I,"$ 13,884",M670,2022
221,High Need Support for Title I STH,"$ 2,063",M670,2022
222,IDEA RS IEP Para,"$ 4,788",M670,2022
223,OASAS Sub Abuse,"$ 17,204",M670,2022
224,Rollover MBK Exemplry Model D5M670 (08656),"$ 249,837",M670,2022
225,Rollover Smart Schools Bond Act,"$ 21,458",M670,2022
226,Title I SWP,"$ 335,370",M670,2022
227,Title I SWP Carry Over,"$ 43,904",M670,2022
228,Title I SWP Carry Over Parent and Family Engage,"$ 1,665",M670,2022
229,Title I SWP Parent and Family Engagement,"$ 3,354",M670,2022
230,Title I SWP STH,"$ 49,831",M670,2022
231,Title I SWP Translation Services,"$ 2,570",M670,2022
232,Title IV Fall Reopening Planning Grant,"$ 7,516",M670,2022
233,Title IV Safe Healthy Counseling Summer Rising,"$ 6,179",M670,2022
234,Title IV Well Rounded ELA Math Support,"$ 10,639",M670,2022
235,TL 12-Month AP HS,"$ 14,868",M670,2022
236,TL CB School Staff,"$ 183,259",M670,2022
237,TL Computer Maintenance HS,"$ 4,883",M670,2022
238,TL CRRSA COVID MYA Register Relief HS,"$ 85,933",M670,2022
239,TL CRRSA FSF Floor Raise HS,"$ 163,757",M670,2022
240,TL E&E AP for All PSPD HS,"$ 5,310",M670,2022
241,TL E&E AP for All Support HS,"$ 6,500",M670,2022
242,TL E&E College Access 4 All HS,"$ 27,000",M670,2022
243,TL ELA/Math Student Support,"$ 30,800",M670,2022
244,TL Fair Student Funding HS,"$ 4,364,177",M670,2022
245,TL FSF Floor Raise HS,"$ 277,423",M670,2022
246,TL MOSL,"$ 1,700",M670,2022
247,TL NYSTL Hardware HS,"$ 5,639",M670,2022
248,TL NYSTL Library Books HS,"$ 3,299",M670,2022
249,TL NYSTL Software HS,"$ 5,186",M670,2022
250,TL NYSTL Textbooks HS,"$ 10,579",M670,2022
251,TL Parent Coordinator HS,"$ 43,890",M670,2022
252,TL Parent Coordinator OTPS HS,$ 500,M670,2022
253,TL Permanent Placement Incentive,"$ 105,800",M670,2022
254,TL RS IEP Para,"$ 214,506",M670,2022
255,TL RS IEP Teacher HS,"$ 105,800",M670,2022
256,TL RS Mandated Counseling Shared,"$ 82,188",M670,2022
257,TL RS Mandated Speech Shared,"$ 103,083",M670,2022
258,TL School to School Summer Rising Transfers Shared,"$ 25,000",M670,2022
259,TL Situation Room,"$ 1,694",M670,2022
260,TL Specialized Admissions HS,"$ 1,058",M670,2022
261,TL Summer Rising Shared,"$ 40,470",M670,2022
262,TL Summer Rising Support Shared,"$ 2,927",M670,2022
263,TL Temporary Shortfall Teachers,"$ 85,422",M670,2022
264,TL Translation Services,"$ 1,801",M670,2022
265,TL YMI Peer to Peer Mentoring,"$ 20,000",M670,2022
266,Contract for Excellence FY 09 HS,"$ 75,719",M670,2021
267,ESY Student Summer in the City Services RS,"$ 343,053",M670,2021
268,Funds Pub Schl 355 - PS 670M - Per Session,"$ 33,150",M670,2021
269,High Need Support for Title I,"$ 14,800",M670,2021
270,IDEA RS IEP Para,"$ 42,207",M670,2021
271,OASAS Sub Abuse,"$ 89,442",M670,2021
272,ROLLOVER MBK Exmplry Model D5 M670,"$ 249,973",M670,2021
273,Title I STH,"$ 6,100",M670,2021
274,Title I STH Carry Over,"$ 6,100",M670,2021
275,Title I SWP,"$ 377,674",M670,2021
276,Title I SWP Carry Over,"$ 44,529",M670,2021
277,Title I SWP Parent and Family Engagement,"$ 6,933",M670,2021
278,Title I SWP Summer in the City,$ 857,M670,2021
279,Title I SWP Translation Services,"$ 2,486",M670,2021
280,Title IV Summer Rising Reopening Planning,"$ 3,166",M670,2021
281,Title IV Well Rounded ELA Math Support,"$ 9,426",M670,2021
282,TL 12-Month AP HS,"$ 15,395",M670,2021
283,TL Arts Studio HS,"$ 1,120",M670,2021
284,TL CB School Staff,"$ 27,392",M670,2021
285,TL Computer Maintenance HS,"$ 4,761",M670,2021
286,TL CRRSA COVID Teacher Support,"$ 102,417",M670,2021
287,TL E&E College Access 4 All HS,"$ 26,000",M670,2021
288,TL ELA/Math Student Support,"$ 26,388",M670,2021
289,TL Fair Student Funding HS,"$ 4,326,225",M670,2021
290,TL Implicit Bias Awareness,"$ 1,855",M670,2021
291,TL Implicit Bias CCER,$ 486,M670,2021
292,TL Instructional Leadership Framework,"$ 24,568",M670,2021
293,TL NYSTL Hardware HS,"$ 5,767",M670,2021
294,TL NYSTL Library Books HS,"$ 3,316",M670,2021
295,TL NYSTL Software HS,"$ 5,319",M670,2021
296,TL NYSTL Textbooks HS,"$ 20,908",M670,2021
297,TL Parent Coordinator HS,"$ 43,890",M670,2021
298,TL Parent Coordinator OTPS HS,$ 500,M670,2021
299,TL Periodic Assessment,"$ 1,700",M670,2021
300,TL Permanent Placement Incentive,"$ 102,002",M670,2021
301,TL RS IEP Para,"$ 235,770",M670,2021
302,TL RS IEP Teacher HS,"$ 102,002",M670,2021
303,TL RS Mandated Counseling Shared,"$ 74,723",M670,2021
304,TL RS Mandated Speech Shared,"$ 99,109",M670,2021
305,TL RS Student Summer In the City Services,"$ 64,947",M670,2021
306,TL School COVID Planning Supplement,"$ 6,201",M670,2021
307,TL School Incentive 2021C1,"$ 20,209",M670,2021
308,TL School to School Summer Transfers Shared,$ 517,M670,2021
309,TL Specialized Admissions HS,$ 685,M670,2021
310,TL Summer in the City Shared,"$ 15,534",M670,2021
311,TL Summer in the City Support Shared,"$ 5,706",M670,2021
312,TL Temporary Shortfall Per Diem,"$ 20,302",M670,2021
313,TL Temporary Shortfall Per Session-OTPS,"$ 35,277",M670,2021
314,TL Temporary Shortfall Teachers,"$ 362,874",M670,2021
315,TL Translation Services,"$ 1,742",M670,2021
316,TL YMI Peer to Peer Mentoring,"$ 20,000",M670,2021
317,Contract for Excellence FY 09 HS,"$ 75,719",M670,2020
318,Funds Pub Schl 84 - PSM670 - B.O.N.D.,"$ 14,000",M670,2020
319,High Need Support for Title I,"$ 13,329",M670,2020
320,IC REV DOMH Dental 09032,"$ 1,600",M670,2020
321,IDEA RS IEP Para,"$ 82,915",M670,2020
322,OASAS Sub Abuse,"$ 87,947",M670,2020
323,OASAS Sub Abuse OTPS,"$ 1,000",M670,2020
324,Rollover MBK Exemplary Schl Model Grant,"$ 249,837",M670,2020
325,Rollover Private Grant 38 (72938),"$ 3,256",M670,2020
326,Title I SWP,"$ 325,267",M670,2020
327,Title I SWP Parent and Family Engagement,"$ 3,286",M670,2020
328,Title I SWP Translation Services,"$ 2,551",M670,2020
329,TL Arts Studio HS,"$ 1,730",M670,2020
330,TL CB School Staff,"$ 42,225",M670,2020
331,TL Computer Maintenance HS,"$ 4,761",M670,2020
332,TL Continuous Improvement HS,"$ 16,000",M670,2020
333,TL E&E Advanced Placement for All HS,"$ 31,745",M670,2020
334,TL E&E AP for All PSPD HS,"$ 13,500",M670,2020
335,TL E&E AP for All Support HS,"$ 12,959",M670,2020
336,TL E&E College Access 4 All HS,"$ 32,476",M670,2020
337,TL E&E MS College Access OTPS,"$ 10,665",M670,2020
338,TL E&E MS College Access PS,"$ 4,639",M670,2020
339,TL ELA/Math Student Support,"$ 26,918",M670,2020
340,TL Fair Student Funding HS,"$ 4,150,704",M670,2020
341,TL Instructional Leadership Framework,"$ 24,888",M670,2020
342,TL MOSL,"$ 1,700",M670,2020
343,TL MS Task Force,"$ 2,000",M670,2020
344,TL NYSTL Hardware HS,"$ 5,744",M670,2020
345,TL NYSTL Library Books HS,"$ 3,364",M670,2020
346,TL NYSTL Software HS,"$ 5,683",M670,2020
347,TL NYSTL Textbooks HS,"$ 13,103",M670,2020
348,TL OTPS for PSAL HS,$ 845,M670,2020
349,TL Parent Coordinator HS,"$ 43,481",M670,2020
350,TL Parent Coordinator OTPS HS,$ 500,M670,2020
351,TL Peer to Peer Mentoring HS,"$ 20,000",M670,2020
352,TL Permanent Placement Incentive,"$ 62,132",M670,2020
353,TL Prior Year Encumbrance,"$ 5,743",M670,2020
354,TL RS IEP Para,"$ 114,591",M670,2020
355,TL RS IEP Teacher HS,"$ 96,224",M670,2020
356,TL RS Mandated Counseling Shared,"$ 74,015",M670,2020
357,TL RS Mandated Speech Shared,"$ 96,693",M670,2020
358,TL RS Speech Sixth Period Coverage,"$ 10,269",M670,2020
359,TL School Incentive 2021C1,"$ 48,112",M670,2020
360,TL School to School Summer Transfers Shared,"$ 14,900",M670,2020
361,TL Summer in the City Shared,"$ 42,149",M670,2020
362,TL Summer in the City Support Shared,"$ 4,161",M670,2020
363,TL Temporary Shortfall Per Diem,"$ 19,429",M670,2020
364,TL Temporary Shortfall Per Session-OTPS,"$ 42,412",M670,2020
365,TL Temporary Shortfall Teachers,"$ 273,775",M670,2020
366,TL Translation Services,"$ 1,498",M670,2020
367,Contract for Excellence FY 09 HS,"$ 75,719",M670,2019
368,Funds Pub Schl 12,"$ 20,000",M670,2019
369,Funds Pub Schl 12 - PS 05M670,"$ 17,002",M670,2019
370,IC REV DOMH Dental 99032,"$ 1,600",M670,2019
371,IDEA RS IEP Para,"$ 65,948",M670,2019
372,New Visions 09 - Curriculum Professional Develop,$ 638,M670,2019
373,OASAS Sub Abuse,"$ 83,059",M670,2019
374,OASAS Sub Abuse OTPS,$ 500,M670,2019
375,Private Grant 56 - PlayOn Sports,$ 525,M670,2019
376,Rollover Private Grant 38 (72938),"$ 5,548",M670,2019
377,Sequester/2010 Census Title I SWP,"$ 12,577",M670,2019
378,Title I SWP,"$ 292,958",M670,2019
379,Title I SWP Parent and Family Engagement,"$ 2,959",M670,2019
380,Title I SWP Translation Services,"$ 2,443",M670,2019
381,Title IV Safe and Healthy,"$ 29,000",M670,2019
382,TL Arts Studio HS,"$ 1,700",M670,2019
383,TL CB Per Session Per Diem Prep,"$ 1,623",M670,2019
384,TL CB School Staff,"$ 39,414",M670,2019
385,TL City Council Member Items,"$ 30,000",M670,2019
386,TL Computer Maintenance HS,"$ 4,213",M670,2019
387,TL Core Curriculum Support,$ 429,M670,2019
388,TL E&E Advanced Placement for All HS,"$ 31,054",M670,2019
389,TL E&E Algebra for All,"$ 13,342",M670,2019
390,TL E&E AP for All PSPD HS,"$ 11,302",M670,2019
391,TL E&E AP for All Support HS,"$ 11,800",M670,2019
392,TL E&E College Access 4 All HS,"$ 30,000",M670,2019
393,TL E&E MS College Access OTPS,"$ 10,714",M670,2019
394,TL E&E MS College Access PS,"$ 4,603",M670,2019
395,TL ELA/Math Student Support,"$ 25,166",M670,2019
396,TL Fair Student Funding HS,"$ 3,785,369",M670,2019
397,TL FSF Floor Raise HS,"$ 42,504",M670,2019
398,TL GE CB School Staff,"$ 48,065",M670,2019
399,TL Implicit Bias Awareness,"$ 1,304",M670,2019
400,TL MOSL,"$ 1,700",M670,2019
401,TL MS Task Force,"$ 10,950",M670,2019
402,TL NYSTL Hardware HS,"$ 5,645",M670,2019
403,TL NYSTL Library Books HS,"$ 3,314",M670,2019
404,TL NYSTL Software HS,"$ 5,426",M670,2019
405,TL NYSTL Textbooks HS,"$ 21,923",M670,2019
406,TL OTPS for PSAL HS,$ 845,M670,2019
407,TL Parent Coordinator HS,"$ 40,929",M670,2019
408,TL Parent Coordinator OTPS HS,$ 500,M670,2019
409,TL RS IEP Para,"$ 72,040",M670,2019
410,TL RS IEP Teacher HS,"$ 92,771",M670,2019
411,TL RS Mandated Counseling Shared,"$ 59,986",M670,2019
412,TL RS Mandated Speech Shared,"$ 93,637",M670,2019
413,TL RS Speech Sixth Period Coverage,"$ 11,301",M670,2019
414,TL School Incentive 2021C1,"$ 92,771",M670,2019
415,TL School to School Summer Transfers Shared,"$ 63,740",M670,2019
416,TL SE CB School Staff,"$ 10,671",M670,2019
417,TL Showcase School Support,"$ 6,000",M670,2019
418,TL Strong Schools Strong Communities HS,"$ 16,000",M670,2019
419,TL Summer in the City Shared,"$ 50,440",M670,2019
420,TL Summer in the City Support Shared,"$ 5,097",M670,2019
421,TL Temporary Shortfall Per Diem,"$ 7,285",M670,2019
422,TL Temporary Shortfall Teachers,"$ 201,666",M670,2019
423,TL Translation Services,"$ 1,434",M670,2019
424,TL Vision for School Improvement,"$ 24,888",M670,2019
425,TL YMI Peer to Peer Mentoring,"$ 20,000",M670,2019
426,Contract for Excellence FY 09 HS,"$ 63,955",M670,2018
427,IDEA RS IEP Para,"$ 36,860",M670,2018
428,OASAS Sub Abuse,"$ 82,483",M670,2018
429,OASAS Sub Abuse OTPS,$ 500,M670,2018
430,Self Sustaining 60,$ 525,M670,2018
431,Sequester/2010 Census Title I SWP,"$ 12,328",M670,2018
432,Title I SWP,"$ 287,208",M670,2018
433,Title I SWP Parent Involvement,"$ 2,901",M670,2018
434,Title I SWP Translation Services,"$ 2,320",M670,2018
435,TL Arts Continuum Program OTPS HS,"$ 12,000",M670,2018
436,TL Arts Continuum Program PS HS,"$ 1,289",M670,2018
437,TL Arts Studio HS,"$ 1,165",M670,2018
438,TL CB School Staff,"$ 39,761",M670,2018
439,TL Computer Maintenance HS,"$ 4,036",M670,2018
440,TL Core Curriculum Support,$ 286,M670,2018
441,TL E&E Algebra for All,"$ 15,000",M670,2018
442,TL E&E AP for All Support HS,"$ 31,383",M670,2018
443,TL E&E MS College Access,"$ 14,943",M670,2018
444,TL ELA/Math Student Support,"$ 22,155",M670,2018
445,TL Fair Student Funding HS,"$ 3,475,928",M670,2018
446,TL MOSL,"$ 1,700",M670,2018
447,TL MS Task Force,"$ 10,950",M670,2018
448,TL New School Planning,"$ 41,014",M670,2018
449,TL NYSTL Library Books HS,"$ 3,370",M670,2018
450,TL NYSTL Textbooks HS,"$ 39,892",M670,2018
451,TL OTPS for PSAL HS,$ 832,M670,2018
452,TL Parent Coordinator HS,"$ 35,592",M670,2018
453,TL Parent Coordinator OTPS HS,$ 500,M670,2018
454,TL Peer to Peer Mentoring HS,"$ 20,000",M670,2018
455,TL RS IEP Para,"$ 83,906",M670,2018
456,TL RS IEP Teacher HS,"$ 87,097",M670,2018
457,TL RS Mandated Counseling Shared,"$ 47,987",M670,2018
458,TL RS Mandated Speech Shared,"$ 90,166",M670,2018
459,TL RS Speech Sixth Period Coverage,"$ 11,365",M670,2018
460,TL School to School Summer Transfers Shared,"$ 40,498",M670,2018
461,TL Showcase School Support,"$ 7,000",M670,2018
462,TL Strong Schools Strong Communities HS,"$ 16,000",M670,2018
463,TL Summer in the City Shared,"$ 47,011",M670,2018
464,TL Summer in the City Support Shared,"$ 5,755",M670,2018
465,TL Temporary Shortfall Per Diem,"$ 8,129",M670,2018
466,TL Temporary Shortfall Per Session-OTPS,"$ 30,156",M670,2018
467,TL Temporary Shortfall Teachers,"$ 326,316",M670,2018
468,TL Translation Services,"$ 1,363",M670,2018
469,TL Vision for School Improvement,"$ 24,888",M670,2018
470,4K for All,"$ 439,400",M517,2022
